Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
combined_match_with_range,3.00,4.00,3316.56,8648.11,3315.23,1331.55,4001.33,2280.64,0.00,0.00
combined_match_with_range,6.00,4.00,3350.06,8809.57,3348.73,1364.54,4096.30,2199.96,0.00,0.00
combined_match_with_range,9.00,4.00,3322.69,8702.72,3320.02,1344.34,4038.36,2239.97,0.00,0.00
combined_match_with_range,12.00,4.00,3331.32,8725.65,3329.99,1348.25,4047.41,2239.97,0.00,0.00
combined_match_with_range,15.00,4.00,3332.34,8883.30,3331.01,1387.41,4164.89,2199.99,0.00,0.00
combined_match_with_range,18.00,4.00,3286.96,8969.03,3284.29,1420.02,4264.72,2160.79,0.00,0.00
combined_match_with_range,21.00,4.00,3288.98,8834.94,3287.65,1385.99,4161.30,2160.79,0.00,0.00
combined_match_with_range,24.00,4.00,3314.04,8867.67,3313.04,1387.99,4166.64,2160.76,0.00,0.00
combined_match_with_range,27.00,4.00,3329.63,8870.64,3326.63,1384.67,4159.34,2160.76,0.00,0.00
combined_match_with_range,30.00,4.00,3358.65,8770.65,3357.32,1352.66,4060.66,2199.99,0.00,0.00
combined_match_with_range,33.00,4.00,3338.01,8842.07,3335.34,1375.35,4131.38,2199.99,0.00,0.00
combined_match_with_range,36.00,4.00,3308.99,8744.91,3307.66,1358.65,4078.61,2200.02,0.00,0.00
combined_match_with_range,39.00,4.00,3199.37,8718.09,3198.04,1379.35,4140.70,2200.16,0.00,0.00
combined_match_with_range,42.00,4.00,3239.98,8683.33,3237.31,1360.34,4085.68,2200.07,0.00,0.00
combined_match_with_range,45.00,4.00,3313.64,8779.62,3312.31,1365.99,4101.31,2200.02,0.00,0.00
combined_match_with_range,48.00,4.00,3277.32,8562.68,3275.99,1321.01,3965.69,2239.99,0.00,0.00
combined_match_with_range,51.00,4.00,3323.42,8813.45,3320.75,1372.01,4120.69,2239.97,0.00,0.00
combined_match_with_range,54.00,4.00,3283.36,8944.68,3282.03,1414.99,4247.65,2122.26,0.00,0.00
combined_match_with_range,57.00,4.00,3238.63,8787.23,3235.96,1386.32,4164.95,2160.84,0.00,0.00
combined_match_with_range,60.00,4.00,3302.66,8922.64,3301.33,1404.66,4216.65,2122.31,0.00,0.00
full_match,3.00,4.00,11521.32,16852.87,11519.99,1331.55,4001.33,2279.63,0.00,0.00
full_match,6.00,4.00,11741.46,17200.97,11740.13,1364.54,4096.30,2199.00,0.00,0.00
full_match,9.00,4.00,11656.74,17036.77,11654.07,1344.34,4038.36,2238.96,0.00,0.00
full_match,12.00,4.00,11655.81,17050.81,11655.15,1348.25,4047.41,2238.96,0.00,0.00
full_match,15.00,4.00,11731.16,17281.46,11729.17,1387.41,4164.89,2199.00,0.00,0.00
full_match,18.00,4.00,11689.00,17371.07,11686.33,1420.02,4264.72,2159.76,0.00,0.00
full_match,21.00,4.00,11653.95,17199.91,11652.62,1385.99,4161.30,2159.77,0.00,0.00
full_match,24.00,4.00,11658.01,17211.31,11656.68,1387.99,4166.64,2159.78,0.00,0.00
full_match,27.00,4.00,12231.60,17772.94,12228.93,1384.67,4159.34,2159.75,0.00,0.00
full_match,30.00,4.00,11737.12,17149.12,11735.79,1352.66,4060.66,2198.99,0.00,0.00
full_match,33.00,4.00,11691.26,17195.32,11688.59,1375.35,4131.38,2199.00,0.00,0.00
full_match,36.00,4.00,11709.75,17145.67,11708.42,1358.65,4078.61,2199.00,0.00,0.00
