Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
query_differences_insert,3,4,1.33,5332.88,0.00,1331.55,4001.33,2279.14,0.00,0.00
query_differences_insert,6,4,1.33,5460.84,0.00,1364.54,4096.30,2198.52,0.00,0.00
query_differences_insert,9,4,2.67,5382.70,0.00,1344.34,4038.36,2238.47,0.00,0.00
query_differences_insert,12,4,1.33,5395.66,0.00,1348.25,4047.41,2238.47,0.00,0.00
query_differences_insert,15,4,1.33,5552.29,0.00,1387.41,4164.89,2198.52,0.00,0.00
query_differences_insert,18,4,2.67,5684.74,0.00,1420.02,4264.72,2159.29,0.00,0.00
query_differences_insert,21,4,1.33,5547.29,0.00,1385.99,4161.30,2159.29,0.00,0.00
query_differences_insert,24,4,1.33,5554.63,0.00,1387.99,4166.64,2159.29,0.00,0.00
query_differences_insert,27,4,2.67,5544.01,0.00,1384.67,4159.34,2159.29,0.00,0.00
query_differences_insert,30,4,1.33,5413.33,0.00,1352.66,4060.66,2198.52,0.00,0.00
query_differences_insert,33,4,2.67,5506.73,0.00,1375.35,4131.38,2198.52,0.00,0.00
query_differences_insert,36,4,1.33,5437.25,0.00,1358.65,4078.61,2198.52,0.00,0.00
query_differences_insert,39,4,1.33,5520.05,0.00,1379.35,4140.70,2198.52,0.00,0.00
query_differences_insert,42,4,2.67,5446.02,0.00,1360.34,4085.68,2198.52,0.00,0.00
query_differences_insert,45,4,1.33,5467.31,0.00,1365.99,4101.31,2198.52,0.00,0.00
query_differences_insert,48,4,1.33,5286.69,0.00,1321.01,3965.69,2238.47,0.00,0.00
query_differences_insert,51,4,2.67,5492.70,0.00,1372.01,4120.69,2238.47,0.00,0.00
query_differences_insert,54,4,1.33,5662.65,0.00,1414.99,4247.65,2120.76,0.00,0.00
query_differences_insert,57,4,2.67,5551.27,0.00,1386.32,4164.95,2159.29,0.00,0.00
query_differences_insert,60,4,1.33,5621.31,0.00,1404.66,4216.65,2120.76,0.00,0.00
query_differences_select_combined_match_with_range,3,4,3315.23,3315.23,3315.23,0.00,0.00,1.50,0.00,0.00
query_differences_select_combined_match_with_range,6,4,3348.73,3348.73,3348.73,0.00,0.00,1.44,0.00,0.00
query_differences_select_combined_match_with_range,9,4,3320.02,3320.02,3320.02,0.00,0.00,1.50,0.00,0.00
query_differences_select_combined_match_with_range,12,4,3329.99,3329.99,3329.99,0.00,0.00,1.50,0.00,0.00
