Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
query_differences_insert,1,1,0.00,1075.07,0.00,1072.08,3.00,0.00,0.00,0.00
query_differences_insert,2,1,0.00,955.42,0.00,955.42,0.00,0.00,0.00,0.00
query_differences_insert,3,1,1.00,989.99,0.00,987.99,2.00,2985.89,0.00,0.00
query_differences_insert,4,1,0.00,848.00,0.00,848.00,0.00,0.00,0.00,0.00
query_differences_insert,5,1,0.00,841.01,0.00,841.01,0.00,0.00,0.00,0.00
query_differences_insert,6,1,0.00,977.96,0.00,977.96,0.00,0.00,0.00,0.00
query_differences_insert,7,1,1.00,1171.03,0.00,1169.03,2.00,3326.55,0.00,0.00
query_differences_insert,8,1,0.00,1135.98,0.00,1135.98,0.00,0.00,0.00,0.00
query_differences_select_combined_match_with_range,1,1,1474.03,1474.03,1474.03,0.00,0.00,0.74,0.00,0.00
query_differences_select_combined_match_with_range,2,1,1474.00,1474.00,1474.00,0.00,0.00,0.73,0.00,0.00
query_differences_select_combined_match_with_range,3,1,1478.33,1478.33,1478.33,0.00,0.00,0.74,0.00,0.00
query_differences_select_combined_match_with_range,4,1,1496.00,1496.00,1496.00,0.00,0.00,0.70,0.00,0.00
query_differences_select_combined_match_with_range,5,1,1505.96,1505.96,1505.96,0.00,0.00,0.70,0.00,0.00
query_differences_select_combined_match_with_range,6,1,1519.05,1519.05,1519.05,0.00,0.00,0.70,0.00,0.00
query_differences_select_combined_match_with_range,7,1,1488.96,1488.96,1488.96,0.00,0.00,0.74,0.00,0.00
query_differences_select_combined_match_with_range,8,1,1479.93,1479.93,1479.93,0.00,0.00,0.74,0.00,0.00
query_differences_select_full_match,1,1,4609.61,4609.61,4609.61,0.00,0.00,0.24,0.00,0.00
query_differences_select_full_match,2,1,4535.00,4535.00,4535.00,0.00,0.00,0.24,0.00,0.00
query_differences_select_full_match,3,1,4387.38,4387.38,4387.38,0.00,0.00,0.25,0.00,0.00
query_differences_select_full_match,4,1,4639.90,4639.90,4639.90,0.00,0.00,0.24,0.00,0.00
query_differences_select_full_match,5,1,4582.84,4582.84,4582.84,0.00,0.00,0.24,0.00,0.00
query_differences_select_full_match,6,1,4689.04,4689.04,4689.04,0.00,0.00,0.23,0.00,0.00
query_differences_select_full_match,7,1,4565.13,4565.13,4565.13,0.00,0.00,0.24,0.00,0.00
query_differences_select_leftmost_prefix,1,1,1371.05,1371.05,1371.05,0.00,0.00,0.77,0.00,0.00
query_differences_select_leftmost_prefix,2,1,1359.28,1359.28,1359.28,0.00,0.00,0.81,0.00,0.00
query_differences_select_leftmost_prefix,3,1,1372.89,1372.89,1372.89,0.00,0.00,0.77,0.00,0.00
query_differences_select_leftmost_prefix,4,1,1361.95,1361.95,1361.95,0.00,0.00,0.80,0.00,0.00
query_differences_select_leftmost_prefix,5,1,1364.21,1364.21,1364.21,0.00,0.00,0.80,0.00,0.00
query_differences_select_leftmost_prefix,6,1,1340.01,1340.01,1340.01,0.00,0.00,0.83,0.00,0.00
query_differences_select_leftmost_prefix,7,1,1368.99,1368.99,1368.99,0.00,0.00,0.78,0.00,0.00
query_differences_select_partial_match_range_query,1,1,1434.00,1434.00,1434.00,0.00,0.00,0.73,0.00,0.00
query_differences_select_partial_match_range_query,2,1,1448.34,1448.34,1448.34,0.00,0.00,0.73,0.00,0.00
query_differences_select_partial_match_range_query,3,1,1445.03,1445.03,1445.03,0.00,0.00,0.73,0.00,0.00
query_differences_select_partial_match_range_query,4,1,1455.99,1455.99,1455.99,0.00,0.00,0.74,0.00,0.00
query_differences_select_partial_match_range_query,5,1,1454.97,1454.97,1454.97,0.00,0.00,0.73,0.00,0.00
query_differences_select_partial_match_range_query,6,1,1450.03,1450.03,1450.03,0.00,0.00,0.74,0.00,0.00
query_differences_select_partial_match_range_query,7,1,1462.74,1462.74,1462.74,0.00,0.00,0.73,0.00,0.00
query_differences_select_partial_match_range_query,8,1,1465.26,1465.26,1465.26,0.00,0.00,0.73,0.00,0.00
