Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
combined_match_with_range,2,4,2949.08,7934.48,2949.08,1245.85,3739.55,1.86,0.00,0.00,4985.40
combined_match_with_range,4,4,3213.54,8898.97,3211.54,1420.86,4266.57,2364.33,0.00,0.00,5687.43
combined_match_with_range,6,4,3234.01,8744.08,3232.01,1377.02,4135.06,2122.31,0.00,0.00,5512.07
combined_match_with_range,8,4,3230.45,8694.44,3228.45,1365.50,4100.49,2200.10,0.00,0.00,5465.99
combined_match_with_range,10,4,3274.29,8468.67,3272.29,1298.47,3897.91,2200.04,0.00,0.00,5196.38
combined_match_with_range,12,4,3260.65,8122.27,3258.65,1214.53,3649.09,2450.86,0.00,0.00,4863.62
combined_match_with_range,14,4,3037.05,7964.59,3035.05,1231.39,3698.16,2451.09,0.00,0.00,4929.54
combined_match_with_range,16,4,3188.43,8196.79,3188.43,1252.09,3756.27,1.58,0.00,0.00,5008.36
combined_match_with_range,18,4,3024.16,7820.16,3022.16,1198.50,3599.50,2407.38,0.00,0.00,4798.00
full_match,2,4,11379.64,16365.04,11379.64,1245.85,3739.55,0.50,0.00,0.00,4985.40
full_match,4,4,11596.40,17281.83,11594.40,1420.86,4266.57,2363.21,0.00,0.00,5687.43
full_match,6,4,11540.55,17050.62,11538.55,1377.02,4135.06,2121.26,0.00,0.00,5512.07
full_match,8,4,11598.08,17062.07,11596.08,1365.50,4100.49,2199.01,0.00,0.00,5465.99
full_match,10,4,11577.05,16771.43,11575.05,1298.47,3897.91,2199.02,0.00,0.00,5196.38
full_match,12,4,11498.31,16359.93,11496.31,1214.53,3649.09,2449.86,0.00,0.00,4863.62
full_match,14,4,11338.54,16266.08,11336.54,1231.39,3698.16,2449.87,0.00,0.00,4929.54
full_match,16,4,11545.06,16553.42,11545.06,1252.09,3756.27,0.50,0.00,0.00,5008.36
full_match,18,4,11486.45,16282.45,11484.45,1198.50,3599.50,2406.15,0.00,0.00,4798.00
leftmost_prefix,2,4,2497.63,7483.03,2497.63,1245.85,3739.55,2.07,0.00,0.00,4985.40
leftmost_prefix,4,4,2617.03,8302.46,2615.03,1420.86,4266.57,2364.72,0.00,0.00,5687.43
leftmost_prefix,6,4,2685.97,8196.04,2683.97,1377.02,4135.06,2122.76,0.00,0.00,5512.07
leftmost_prefix,8,4,2339.59,7803.58,2337.59,1365.50,4100.49,2200.66,0.00,0.00,5465.99
leftmost_prefix,10,4,2462.95,7657.33,2460.95,1298.47,3897.91,2200.66,0.00,0.00,5196.38
leftmost_prefix,12,4,2553.96,7415.58,2551.96,1214.53,3649.09,2451.39,0.00,0.00,4863.62
leftmost_prefix,14,4,2797.99,7726.03,2796.49,1231.39,3698.16,2451.25,0.00,0.00,4929.54
leftmost_prefix,16,4,2728.52,7736.38,2728.02,1252.09,3756.27,2.03,0.00,0.00,5008.36
leftmost_prefix,18,4,2698.33,7494.33,2696.33,1198.50,3599.50,2407.58,0.00,0.00,4798.00
partial_match_range_query,2,4,3052.48,8037.88,3052.48,1245.85,3739.55,1.64,0.00,0.00,4985.40
partial_match_range_query,4,4,3126.58,8812.01,3124.58,1420.86,4266.57,2364.30,0.00,0.00,5687.43
partial_match_range_query,6,4,3039.89,8549.96,3037.89,1377.02,4135.06,2122.46,0.00,0.00,5512.07
partial_match_range_query,8,4,2995.53,8459.52,2993.53,1365.50,4100.49,2200.25,0.00,0.00,5465.99
partial_match_range_query,10,4,2831.09,8025.47,2829.09,1298.47,3897.91,2200.41,0.00,0.00,5196.38
partial_match_range_query,12,4,2812.92,7674.54,2810.92,1214.53,3649.09,2451.29,0.00,0.00,4863.62
partial_match_range_query,14,4,2631.06,7558.60,2629.06,1231.39,3698.16,2451.36,0.00,0.00,4929.54
partial_match_range_query,16,4,2762.98,7771.34,2762.98,1252.09,3756.27,1.93,0.00,0.00,5008.36
partial_match_range_query,18,4,2875.07,7671.57,2873.57,1198.50,3599.50,2407.47,0.00,0.00,4798.00
