Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
combined_match_with_range,1,1,1514.96,2957.64,1514.96,1439.69,3.00,0.69,0.00,0.00,1442.68
combined_match_with_range,2,1,1546.01,2961.59,1546.01,1415.58,0.00,0.68,0.00,0.00,1415.58
combined_match_with_range,3,1,1481.06,2853.88,1480.06,1371.82,2.00,2121.62,0.00,0.00,1373.82
combined_match_with_range,4,1,1490.22,2897.38,1490.22,1407.16,0.00,0.87,0.00,0.00,1407.16
combined_match_with_range,5,1,1535.76,2919.77,1534.76,1383.01,2.00,2159.98,0.00,0.00,1385.01
combined_match_with_range,6,1,1534.30,2804.26,1534.30,1269.96,0.00,0.69,0.00,0.00,1269.96
combined_match_with_range,7,1,1538.96,2851.03,1537.96,1311.07,2.00,2279.83,0.00,0.00,1313.07
full_match,1,1,4536.68,5979.36,4536.68,1439.69,3.00,0.24,0.00,0.00,1442.68
full_match,2,1,4549.26,5964.84,4549.26,1415.58,0.00,0.24,0.00,0.00,1415.58
full_match,3,1,4593.70,5966.52,4592.70,1371.82,2.00,2121.00,0.00,0.00,1373.82
full_match,4,1,4609.87,6017.03,4609.87,1407.16,0.00,0.24,0.00,0.00,1407.16
full_match,5,1,4607.42,5991.43,4606.42,1383.01,2.00,2159.53,0.00,0.00,1385.01
full_match,6,1,4542.95,5812.91,4542.95,1269.96,0.00,0.24,0.00,0.00,1269.96
full_match,7,1,4618.57,5931.64,4618.57,1311.07,2.00,2279.38,0.00,0.00,1313.07
full_match,8,1,4621.44,6015.41,4620.44,1394.97,0.00,0.24,0.00,0.00,1394.97
leftmost_prefix,1,1,1371.08,2813.76,1371.08,1439.69,3.00,0.75,0.00,0.00,1442.68
leftmost_prefix,2,1,1398.35,2813.93,1398.35,1415.58,0.00,0.74,0.00,0.00,1415.58
leftmost_prefix,3,1,1392.74,2765.56,1391.74,1371.82,2.00,2121.51,0.00,0.00,1373.82
leftmost_prefix,4,1,1394.26,2801.42,1394.26,1407.16,0.00,0.75,0.00,0.00,1407.16
leftmost_prefix,5,1,1397.00,2781.01,1396.00,1383.01,2.00,2160.03,0.00,0.00,1385.01
leftmost_prefix,6,1,1396.01,2665.97,1396.01,1269.96,0.00,0.74,0.00,0.00,1269.96
leftmost_prefix,7,1,1391.97,2704.04,1390.97,1311.07,2.00,2279.88,0.00,0.00,1313.07
leftmost_prefix,8,1,1403.03,2798.00,1403.03,1394.97,0.00,0.74,0.00,0.00,1394.97
partial_match_range_query,1,1,1444.03,2886.71,1444.03,1439.69,3.00,0.72,0.00,0.00,1442.68
partial_match_range_query,2,1,1459.35,2874.93,1459.35,1415.58,0.00,0.72,0.00,0.00,1415.58
partial_match_range_query,3,1,1446.00,2818.82,1445.00,1371.82,2.00,2121.49,0.00,0.00,1373.82
partial_match_range_query,4,1,1456.97,2864.13,1456.97,1407.16,0.00,0.72,0.00,0.00,1407.16
partial_match_range_query,5,1,1447.72,2831.73,1446.72,1383.01,2.00,2160.02,0.00,0.00,1385.01
partial_match_range_query,6,1,1451.09,2721.05,1451.09,1269.96,0.00,0.73,0.00,0.00,1269.96
partial_match_range_query,7,1,1451.23,2763.30,1450.23,1311.07,2.00,2279.87,0.00,0.00,1313.07
partial_match_range_query,8,1,1450.93,2845.90,1450.93,1394.97,0.00,0.73,0.00,0.00,1394.97
