Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
combined_match_with_range,2,4,3329.87,9179.93,3329.87,1462.76,4387.29,1.55,0.00,0.00,5850.06
combined_match_with_range,4,4,3364.05,9176.47,3362.05,1452.35,4362.07,2047.26,0.00,0.00,5814.42
combined_match_with_range,6,4,3376.97,9392.91,3374.97,1503.49,4514.46,2084.38,0.00,0.00,6017.94
combined_match_with_range,8,4,3361.03,9326.96,3359.03,1490.98,4476.95,2010.75,0.00,0.00,5967.93
combined_match_with_range,10,4,3362.94,9166.97,3360.94,1450.51,4355.52,2010.75,0.00,0.00,5806.03
combined_match_with_range,12,4,3377.55,9175.13,3375.55,1448.89,4350.68,2084.35,0.00,0.00,5799.58
combined_match_with_range,14,4,3382.95,9223.30,3380.95,1459.59,4382.76,2047.18,0.00,0.00,5842.35
combined_match_with_range,16,4,3374.00,9190.20,3372.00,1453.55,4364.65,2047.21,0.00,0.00,5818.20
combined_match_with_range,18,4,3378.15,9188.05,3376.15,1451.98,4359.93,2084.35,0.00,0.00,5811.90
full_match,2,4,11566.66,17416.72,11566.66,1462.76,4387.29,0.51,0.00,0.00,5850.06
full_match,4,4,11747.91,17560.83,11746.41,1452.35,4362.07,2046.23,0.00,0.00,5814.42
full_match,6,4,11755.68,17771.12,11753.18,1503.49,4514.46,2083.41,0.00,0.00,6017.94
full_match,8,4,11752.79,17718.72,11750.79,1490.98,4476.95,2009.72,0.00,0.00,5967.93
full_match,10,4,11730.13,17534.16,11728.13,1450.51,4355.52,2009.72,0.00,0.00,5806.03
full_match,12,4,11828.88,17626.46,11826.88,1448.89,4350.68,2083.40,0.00,0.00,5799.58
full_match,14,4,11703.48,17543.83,11701.48,1459.59,4382.76,2046.24,0.00,0.00,5842.35
full_match,16,4,11735.82,17552.02,11733.82,1453.55,4364.65,2046.23,0.00,0.00,5818.20
full_match,18,4,11806.26,17616.16,11804.26,1451.98,4359.93,2083.40,0.00,0.00,5811.90
leftmost_prefix,2,4,2816.15,8666.21,2816.15,1462.76,4387.29,1.86,0.00,0.00,5850.06
leftmost_prefix,4,4,2879.96,8692.38,2877.96,1452.35,4362.07,2047.56,0.00,0.00,5814.42
leftmost_prefix,6,4,2888.01,8903.95,2886.01,1503.49,4514.46,2084.70,0.00,0.00,6017.94
leftmost_prefix,8,4,2878.92,8844.85,2876.92,1490.98,4476.95,2011.05,0.00,0.00,5967.93
leftmost_prefix,10,4,2886.10,8690.13,2884.10,1450.51,4355.52,2011.05,0.00,0.00,5806.03
leftmost_prefix,12,4,2870.94,8668.52,2868.94,1448.89,4350.68,2084.73,0.00,0.00,5799.58
leftmost_prefix,14,4,2887.04,8727.39,2885.04,1459.59,4382.76,2047.53,0.00,0.00,5842.35
leftmost_prefix,16,4,2890.31,8706.51,2888.31,1453.55,4364.65,2047.56,0.00,0.00,5818.20
leftmost_prefix,18,4,2863.75,8673.65,2861.75,1451.98,4359.93,2084.73,0.00,0.00,5811.90
partial_match_range_query,2,4,3130.01,8980.07,3130.01,1462.76,4387.29,1.58,0.00,0.00,5850.06
partial_match_range_query,4,4,3205.02,9017.44,3203.02,1452.35,4362.07,2047.24,0.00,0.00,5814.42
partial_match_range_query,6,4,3218.01,9233.95,3216.01,1503.49,4514.46,2084.41,0.00,0.00,6017.94
partial_match_range_query,8,4,3208.48,9174.41,3206.48,1490.98,4476.95,2010.73,0.00,0.00,5967.93
partial_match_range_query,10,4,3197.81,9001.84,3195.81,1450.51,4355.52,2010.73,0.00,0.00,5806.03
partial_match_range_query,12,4,3199.11,8996.69,3197.11,1448.89,4350.68,2084.43,0.00,0.00,5799.58
partial_match_range_query,14,4,3210.09,9050.44,3208.09,1459.59,4382.76,2047.24,0.00,0.00,5842.35
partial_match_range_query,16,4,3205.96,9022.16,3203.96,1453.55,4364.65,2047.24,0.00,0.00,5818.20
partial_match_range_query,18,4,3203.36,9013.26,3201.36,1451.98,4359.93,2084.41,0.00,0.00,5811.90
