Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
query_differences_insert,2,4,0.00,5850.06,0.00,1462.76,4387.29,0.00,0.00,0.00
query_differences_insert,4,4,2.00,5814.42,0.00,1452.35,4362.07,2045.74,0.00,0.00
query_differences_insert,6,4,2.00,6017.94,0.00,1503.49,4514.46,2082.91,0.00,0.00
query_differences_insert,8,4,2.00,5967.93,0.00,1490.98,4476.95,2009.23,0.00,0.00
query_differences_insert,10,4,2.00,5806.03,0.00,1450.51,4355.52,2009.23,0.00,0.00
query_differences_insert,12,4,2.00,5799.58,0.00,1448.89,4350.68,2082.91,0.00,0.00
query_differences_insert,14,4,2.00,5842.35,0.00,1459.59,4382.76,2045.74,0.00,0.00
query_differences_insert,16,4,2.00,5818.20,0.00,1453.55,4364.65,2045.74,0.00,0.00
query_differences_insert,18,4,2.00,5811.90,0.00,1451.98,4359.93,2082.91,0.00,0.00
query_differences_select_combined_match_with_range,2,4,3329.87,3329.87,3329.87,0.00,0.00,1.55,0.00,0.00
query_differences_select_combined_match_with_range,4,4,3362.05,3362.05,3362.05,0.00,0.00,1.52,0.00,0.00
query_differences_select_combined_match_with_range,6,4,3374.97,3374.97,3374.97,0.00,0.00,1.47,0.00,0.00
query_differences_select_combined_match_with_range,8,4,3359.03,3359.03,3359.03,0.00,0.00,1.52,0.00,0.00
query_differences_select_combined_match_with_range,10,4,3360.94,3360.94,3360.94,0.00,0.00,1.52,0.00,0.00
query_differences_select_combined_match_with_range,12,4,3375.55,3375.55,3375.55,0.00,0.00,1.44,0.00,0.00
query_differences_select_combined_match_with_range,14,4,3380.95,3380.95,3380.95,0.00,0.00,1.44,0.00,0.00
query_differences_select_combined_match_with_range,16,4,3372.00,3372.00,3372.00,0.00,0.00,1.47,0.00,0.00
query_differences_select_combined_match_with_range,18,4,3376.15,3376.15,3376.15,0.00,0.00,1.44,0.00,0.00
query_differences_select_full_match,2,4,11566.66,11566.66,11566.66,0.00,0.00,0.51,0.00,0.00
query_differences_select_full_match,4,4,11745.91,11746.41,11746.41,0.00,0.00,0.49,0.00,0.00
query_differences_select_full_match,6,4,11753.68,11753.18,11753.18,0.00,0.00,0.50,0.00,0.00
query_differences_select_full_match,8,4,11750.79,11750.79,11750.79,0.00,0.00,0.49,0.00,0.00
query_differences_select_full_match,10,4,11728.13,11728.13,11728.13,0.00,0.00,0.49,0.00,0.00
query_differences_select_full_match,12,4,11826.88,11826.88,11826.88,0.00,0.00,0.49,0.00,0.00
query_differences_select_full_match,14,4,11701.48,11701.48,11701.48,0.00,0.00,0.50,0.00,0.00
query_differences_select_full_match,16,4,11733.82,11733.82,11733.82,0.00,0.00,0.49,0.00,0.00
query_differences_select_full_match,18,4,11804.26,11804.26,11804.26,0.00,0.00,0.49,0.00,0.00
query_differences_select_leftmost_prefix,2,4,2816.15,2816.15,2816.15,0.00,0.00,1.86,0.00,0.00
query_differences_select_leftmost_prefix,4,4,2877.96,2877.96,2877.96,0.00,0.00,1.82,0.00,0.00
query_differences_select_leftmost_prefix,6,4,2886.01,2886.01,2886.01,0.00,0.00,1.79,0.00,0.00
query_differences_select_leftmost_prefix,8,4,2876.92,2876.92,2876.92,0.00,0.00,1.82,0.00,0.00
query_differences_select_leftmost_prefix,10,4,2884.10,2884.10,2884.10,0.00,0.00,1.82,0.00,0.00
query_differences_select_leftmost_prefix,12,4,2868.94,2868.94,2868.94,0.00,0.00,1.82,0.00,0.00
query_differences_select_leftmost_prefix,14,4,2885.04,2885.04,2885.04,0.00,0.00,1.79,0.00,0.00
query_differences_select_leftmost_prefix,16,4,2888.31,2888.31,2888.31,0.00,0.00,1.82,0.00,0.00
query_differences_select_leftmost_prefix,18,4,2861.75,2861.75,2861.75,0.00,0.00,1.82,0.00,0.00
query_differences_select_partial_match_range_query,2,4,3130.01,3130.01,3130.01,0.00,0.00,1.58,0.00,0.00
query_differences_select_partial_match_range_query,4,4,3203.02,3203.02,3203.02,0.00,0.00,1.50,0.00,0.00
query_differences_select_partial_match_range_query,6,4,3216.01,3216.01,3216.01,0.00,0.00,1.50,0.00,0.00
query_differences_select_partial_match_range_query,8,4,3206.48,3206.48,3206.48,0.00,0.00,1.50,0.00,0.00
query_differences_select_partial_match_range_query,10,4,3195.81,3195.81,3195.81,0.00,0.00,1.50,0.00,0.00
query_differences_select_partial_match_range_query,12,4,3197.11,3197.11,3197.11,0.00,0.00,1.52,0.00,0.00
query_differences_select_partial_match_range_query,14,4,3208.09,3208.09,3208.09,0.00,0.00,1.50,0.00,0.00
query_differences_select_partial_match_range_query,16,4,3203.96,3203.96,3203.96,0.00,0.00,1.50,0.00,0.00
query_differences_select_partial_match_range_query,18,4,3201.36,3201.36,3201.36,0.00,0.00,1.50,0.00,0.00
