Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
combined_match_with_range,1.00,1.00,1464.05,2822.82,1464.05,1355.77,3.00,0.73,0.00,0.00
combined_match_with_range,2.00,1.00,1487.30,2972.00,1487.30,1484.70,0.00,0.77,0.00,0.00
combined_match_with_range,3.00,1.00,1389.00,2915.93,1388.00,1525.93,2.00,2121.68,0.00,0.00
combined_match_with_range,4.00,1.00,1512.06,3043.08,1512.06,1531.02,0.00,0.70,0.00,0.00
combined_match_with_range,5.00,1.00,1486.99,3017.02,1485.99,1529.03,2.00,1974.12,0.00,0.00
combined_match_with_range,6.00,1.00,1511.99,3067.98,1511.99,1555.99,0.00,0.70,0.00,0.00
combined_match_with_range,7.00,1.00,1474.00,3306.97,1473.00,1831.97,2.00,1938.96,0.00,0.00
combined_match_with_range,8.00,1.00,1344.02,3177.07,1343.02,1832.05,2.00,1619.64,0.00,0.00
full_match,1.00,1.00,4530.85,5889.62,4530.85,1355.77,3.00,0.25,0.00,0.00
full_match,2.00,1.00,4678.04,6162.74,4678.04,1484.70,0.00,0.24,0.00,0.00
full_match,3.00,1.00,4567.09,6094.02,4566.09,1525.93,2.00,2121.00,0.00,0.00
full_match,4.00,1.00,4619.53,6150.55,4619.53,1531.02,0.00,0.24,0.00,0.00
full_match,5.00,1.00,4660.00,6190.03,4659.00,1529.03,2.00,1973.62,0.00,0.00
full_match,6.00,1.00,4622.39,6178.38,4622.39,1555.99,0.00,0.24,0.00,0.00
full_match,7.00,1.00,4613.01,6445.98,4612.01,1831.97,2.00,1938.40,0.00,0.00
leftmost_prefix,1.00,1.00,1358.71,2717.48,1358.71,1355.77,3.00,0.77,0.00,0.00
leftmost_prefix,2.00,1.00,1380.48,2865.18,1380.48,1484.70,0.00,0.77,0.00,0.00
leftmost_prefix,3.00,1.00,1396.18,2923.11,1395.18,1525.93,2.00,2121.51,0.00,0.00
leftmost_prefix,4.00,1.00,1378.95,2909.97,1378.95,1531.02,0.00,0.77,0.00,0.00
leftmost_prefix,5.00,1.00,1408.06,2938.09,1407.06,1529.03,2.00,1974.12,0.00,0.00
leftmost_prefix,6.00,1.00,1387.83,2943.82,1387.83,1555.99,0.00,0.75,0.00,0.00
leftmost_prefix,7.00,1.00,1395.90,3228.87,1394.90,1831.97,2.00,1938.91,0.00,0.00
leftmost_prefix,8.00,1.00,1395.12,3228.17,1394.12,1832.05,2.00,1619.53,0.00,0.00
partial_match_range_query,1.00,1.00,1415.08,2773.85,1415.08,1355.77,3.00,0.74,0.00,0.00
partial_match_range_query,2.00,1.00,1460.12,2944.82,1460.12,1484.70,0.00,0.73,0.00,0.00
partial_match_range_query,3.00,1.00,1460.23,2987.16,1459.23,1525.93,2.00,2121.48,0.00,0.00
partial_match_range_query,4.00,1.00,1467.79,2998.81,1467.79,1531.02,0.00,0.72,0.00,0.00
partial_match_range_query,5.00,1.00,1433.22,2963.25,1432.22,1529.03,2.00,1974.13,0.00,0.00
partial_match_range_query,6.00,1.00,1425.75,2981.74,1425.75,1555.99,0.00,0.75,0.00,0.00
partial_match_range_query,7.00,1.00,1451.00,3283.97,1450.00,1831.97,2.00,1938.89,0.00,0.00
partial_match_range_query,8.00,1.00,1449.01,3282.06,1448.01,1832.05,2.00,1619.50,0.00,0.00
