Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
combined_match_with_range,2,4,3379.91,9570.74,3377.91,1549.71,4643.12,1939.60,0.00,0.00,6192.83
combined_match_with_range,4,4,3419.48,9742.81,3417.48,1580.33,4745.00,1905.04,0.00,0.00,6325.33
combined_match_with_range,6,4,3423.05,9647.08,3421.05,1555.51,4670.52,1905.01,0.00,0.00,6226.03
combined_match_with_range,8,4,3432.46,9670.42,3430.46,1558.99,4680.97,1939.58,0.00,0.00,6239.96
combined_match_with_range,10,4,3396.01,9783.97,3394.01,1596.49,4793.47,1905.07,0.00,0.00,6389.96
combined_match_with_range,12,4,3428.50,9740.56,3426.50,1577.51,4736.54,1904.99,0.00,0.00,6314.06
combined_match_with_range,14,4,3434.56,9740.52,3432.56,1575.99,4731.97,1904.99,0.00,0.00,6307.96
combined_match_with_range,16,4,3427.46,9733.56,3425.46,1576.03,4732.08,1905.01,0.00,0.00,6308.10
combined_match_with_range,18,4,3423.45,9539.43,3421.45,1528.50,4589.49,1905.01,0.00,0.00,6117.98
full_match,2,4,11681.98,17872.81,11679.98,1549.71,4643.12,1938.65,0.00,0.00,6192.83
full_match,4,4,11885.53,18208.86,11883.53,1580.33,4745.00,1904.04,0.00,0.00,6325.33
full_match,6,4,11877.68,18102.21,11876.18,1555.51,4670.52,1904.05,0.00,0.00,6226.03
full_match,8,4,11869.61,18107.07,11867.11,1558.99,4680.97,1938.63,0.00,0.00,6239.96
full_match,10,4,12061.22,18449.18,12059.22,1596.49,4793.47,1904.04,0.00,0.00,6389.96
full_match,12,4,11881.50,18193.56,11879.50,1577.51,4736.54,1904.05,0.00,0.00,6314.06
full_match,14,4,11883.51,18189.47,11881.51,1575.99,4731.97,1904.05,0.00,0.00,6307.96
full_match,16,4,11789.46,18095.56,11787.46,1576.03,4732.08,1904.04,0.00,0.00,6308.10
full_match,18,4,11791.43,17907.41,11789.43,1528.50,4589.49,1904.04,0.00,0.00,6117.98
leftmost_prefix,2,4,2793.11,8983.94,2791.11,1549.71,4643.12,1940.09,0.00,0.00,6192.83
leftmost_prefix,4,4,2906.64,9229.97,2904.64,1580.33,4745.00,1905.36,0.00,0.00,6325.33
leftmost_prefix,6,4,2914.81,9138.84,2912.81,1555.51,4670.52,1905.36,0.00,0.00,6226.03
leftmost_prefix,8,4,2922.87,9160.83,2920.87,1558.99,4680.97,1939.95,0.00,0.00,6239.96
leftmost_prefix,10,4,2911.63,9299.59,2909.63,1596.49,4793.47,1905.36,0.00,0.00,6389.96
leftmost_prefix,12,4,2897.02,9209.08,2895.02,1577.51,4736.54,1905.46,0.00,0.00,6314.06
leftmost_prefix,14,4,2933.00,9238.96,2931.00,1575.99,4731.97,1905.33,0.00,0.00,6307.96
leftmost_prefix,16,4,2933.98,9240.08,2931.98,1576.03,4732.08,1905.33,0.00,0.00,6308.10
leftmost_prefix,18,4,2931.02,9047.00,2929.02,1528.50,4589.49,1905.36,0.00,0.00,6117.98
partial_match_range_query,2,4,3235.96,9426.79,3233.96,1549.71,4643.12,1939.66,0.00,0.00,6192.83
partial_match_range_query,4,4,3278.48,9601.81,3276.48,1580.33,4745.00,1905.04,0.00,0.00,6325.33
partial_match_range_query,6,4,3272.06,9496.09,3270.06,1555.51,4670.52,1905.04,0.00,0.00,6226.03
partial_match_range_query,8,4,3273.44,9511.40,3271.44,1558.99,4680.97,1939.60,0.00,0.00,6239.96
partial_match_range_query,10,4,3283.49,9671.45,3281.49,1596.49,4793.47,1905.01,0.00,0.00,6389.96
partial_match_range_query,12,4,3269.54,9581.60,3267.54,1577.51,4736.54,1905.01,0.00,0.00,6314.06
partial_match_range_query,14,4,3269.52,9575.48,3267.52,1575.99,4731.97,1905.07,0.00,0.00,6307.96
partial_match_range_query,16,4,3266.41,9572.51,3264.41,1576.03,4732.08,1905.04,0.00,0.00,6308.10
partial_match_range_query,18,4,3282.06,9398.04,3280.06,1528.50,4589.49,1905.01,0.00,0.00,6117.98
