Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
combined_match_with_range,1,1,1462.02,3017.53,1462.02,1552.51,3.00,0.73,0.00,0.00,1555.51
combined_match_with_range,2,1,1422.08,2969.75,1421.08,1546.66,2.00,1939.05,0.00,0.00,1548.67
combined_match_with_range,3,1,1470.22,2986.16,1470.22,1515.94,0.00,0.75,0.00,0.00,1515.94
combined_match_with_range,4,1,1517.02,3017.14,1516.02,1499.12,2.00,2009.93,0.00,0.00,1501.12
combined_match_with_range,5,1,1501.02,3100.12,1501.02,1599.10,0.00,0.73,0.00,0.00,1599.10
combined_match_with_range,6,1,1474.97,2974.88,1473.97,1498.91,2.00,1938.89,0.00,0.00,1500.91
combined_match_with_range,7,1,1453.99,3011.00,1453.99,1557.01,0.00,0.75,0.00,0.00,1557.01
combined_match_with_range,8,1,1499.03,3077.97,1498.03,1577.94,2.00,1938.86,0.00,0.00,1579.94
full_match,1,1,4465.85,6021.36,4465.85,1552.51,3.00,0.25,0.00,0.00,1555.51
full_match,2,1,4514.04,6061.71,4513.04,1546.66,2.00,1938.40,0.00,0.00,1548.67
full_match,3,1,4628.78,6144.72,4628.78,1515.94,0.00,0.24,0.00,0.00,1515.94
full_match,4,1,4654.89,6155.01,4653.89,1499.12,2.00,2009.47,0.00,0.00,1501.12
full_match,5,1,4645.03,6244.13,4645.03,1599.10,0.00,0.24,0.00,0.00,1599.10
full_match,6,1,4532.00,6031.91,4531.00,1498.91,2.00,1938.40,0.00,0.00,1500.91
full_match,7,1,4617.22,6174.23,4617.22,1557.01,0.00,0.24,0.00,0.00,1557.01
leftmost_prefix,1,1,1366.10,2921.61,1366.10,1552.51,3.00,0.78,0.00,0.00,1555.51
leftmost_prefix,2,1,1417.22,2964.89,1416.22,1546.66,2.00,1938.90,0.00,0.00,1548.67
leftmost_prefix,3,1,1422.07,2938.01,1422.07,1515.94,0.00,0.74,0.00,0.00,1515.94
leftmost_prefix,4,1,1407.01,2907.13,1406.01,1499.12,2.00,2009.97,0.00,0.00,1501.12
leftmost_prefix,5,1,1414.76,3013.86,1414.76,1599.10,0.00,0.74,0.00,0.00,1599.10
leftmost_prefix,6,1,1408.00,2907.91,1407.00,1498.91,2.00,1938.91,0.00,0.00,1500.91
leftmost_prefix,7,1,1399.23,2956.24,1399.23,1557.01,0.00,0.77,0.00,0.00,1557.01
partial_match_range_query,1,1,1424.63,2980.14,1424.63,1552.51,3.00,0.75,0.00,0.00,1555.51
partial_match_range_query,2,1,1416.43,2964.10,1415.43,1546.66,2.00,1938.94,0.00,0.00,1548.67
partial_match_range_query,3,1,1372.34,2888.28,1372.34,1515.94,0.00,0.80,0.00,0.00,1515.94
partial_match_range_query,4,1,1364.98,2865.10,1363.98,1499.12,2.00,2010.09,0.00,0.00,1501.12
partial_match_range_query,5,1,1389.02,2988.12,1389.02,1599.10,0.00,0.77,0.00,0.00,1599.10
partial_match_range_query,6,1,1413.01,2912.92,1412.01,1498.91,2.00,1938.91,0.00,0.00,1500.91
partial_match_range_query,7,1,1412.95,2969.96,1412.95,1557.01,0.00,0.75,0.00,0.00,1557.01
