Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
combined_match_with_range,1,1,1466.02,3292.37,1466.02,1823.35,3.00,0.72,0.00,0.00,1826.35
combined_match_with_range,2,1,1398.29,3256.17,1397.29,1856.88,2.00,1619.68,0.00,0.00,1858.88
combined_match_with_range,3,1,1452.05,3348.06,1452.05,1896.01,0.00,0.87,0.00,0.00,1896.01
combined_match_with_range,4,1,1512.00,3388.90,1511.00,1875.90,2.00,1619.48,0.00,0.00,1877.90
combined_match_with_range,5,1,1505.70,3392.76,1504.70,1886.06,2.00,1590.60,0.00,0.00,1888.06
combined_match_with_range,6,1,1488.29,3383.26,1488.29,1894.97,0.00,0.70,0.00,0.00,1894.97
combined_match_with_range,7,1,1494.97,3381.94,1493.97,1885.97,2.00,1590.62,0.00,0.00,1887.97
full_match,1,1,4574.67,6401.02,4574.67,1823.35,3.00,0.25,0.00,0.00,1826.35
full_match,2,1,4596.97,6454.85,4595.97,1856.88,2.00,1619.02,0.00,0.00,1858.88
full_match,3,1,4537.73,6433.74,4537.73,1896.01,0.00,0.25,0.00,0.00,1896.01
full_match,4,1,4528.44,6405.34,4527.44,1875.90,2.00,1619.03,0.00,0.00,1877.90
full_match,5,1,4545.07,6432.13,4544.07,1886.06,2.00,1590.15,0.00,0.00,1888.06
full_match,6,1,4500.86,6395.83,4500.86,1894.97,0.00,0.25,0.00,0.00,1894.97
full_match,7,1,4562.64,6449.61,4561.64,1885.97,2.00,1590.14,0.00,0.00,1887.97
leftmost_prefix,1,1,1344.05,3170.40,1344.05,1823.35,3.00,0.77,0.00,0.00,1826.35
leftmost_prefix,2,1,1343.04,3200.92,1342.04,1856.88,2.00,1619.59,0.00,0.00,1858.88
leftmost_prefix,3,1,1358.01,3254.02,1358.01,1896.01,0.00,0.78,0.00,0.00,1896.01
leftmost_prefix,4,1,1355.23,3232.13,1354.23,1875.90,2.00,1619.58,0.00,0.00,1877.90
leftmost_prefix,5,1,1344.02,3231.08,1343.02,1886.06,2.00,1590.70,0.00,0.00,1888.06
leftmost_prefix,6,1,1363.73,3258.70,1363.73,1894.97,0.00,0.77,0.00,0.00,1894.97
leftmost_prefix,7,1,1355.26,3242.23,1354.26,1885.97,2.00,1590.68,0.00,0.00,1887.97
leftmost_prefix,8,1,1366.01,3242.83,1366.01,1876.82,0.00,0.78,0.00,0.00,1876.82
partial_match_range_query,1,1,1396.67,3223.02,1396.67,1823.35,3.00,0.75,0.00,0.00,1826.35
partial_match_range_query,2,1,1412.75,3270.63,1411.75,1856.88,2.00,1619.53,0.00,0.00,1858.88
partial_match_range_query,3,1,1403.98,3299.99,1403.98,1896.01,0.00,0.77,0.00,0.00,1896.01
partial_match_range_query,4,1,1362.01,3238.91,1361.01,1875.90,2.00,1619.58,0.00,0.00,1877.90
partial_match_range_query,5,1,1409.75,3296.81,1408.75,1886.06,2.00,1590.65,0.00,0.00,1888.06
partial_match_range_query,6,1,1425.25,3320.22,1425.25,1894.97,0.00,0.74,0.00,0.00,1894.97
partial_match_range_query,7,1,1423.97,3310.94,1422.97,1885.97,2.00,1590.65,0.00,0.00,1887.97
partial_match_range_query,8,1,1414.99,3291.81,1414.99,1876.82,0.00,0.77,0.00,0.00,1876.82
