Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
query_differences_insert,1,1,0.00,1826.35,0.00,1823.35,3.00,0.00,0.00,0.00
query_differences_insert,2,1,1.00,1858.88,0.00,1856.88,2.00,1618.78,0.00,0.00
query_differences_insert,3,1,0.00,1896.01,0.00,1896.01,0.00,0.00,0.00,0.00
query_differences_insert,4,1,1.00,1877.90,0.00,1875.90,2.00,1618.78,0.00,0.00
query_differences_insert,5,1,1.00,1888.06,0.00,1886.06,2.00,1589.90,0.00,0.00
query_differences_insert,6,1,0.00,1894.97,0.00,1894.97,0.00,0.00,0.00,0.00
query_differences_insert,7,1,1.00,1887.97,0.00,1885.97,2.00,1589.90,0.00,0.00
query_differences_insert,8,1,0.00,1876.82,0.00,1876.82,0.00,0.00,0.00,0.00
query_differences_select_combined_match_with_range,1,1,1466.02,1466.02,1466.02,0.00,0.00,0.72,0.00,0.00
query_differences_select_combined_match_with_range,2,1,1397.29,1397.29,1397.29,0.00,0.00,0.90,0.00,0.00
query_differences_select_combined_match_with_range,3,1,1452.05,1452.05,1452.05,0.00,0.00,0.87,0.00,0.00
query_differences_select_combined_match_with_range,4,1,1511.00,1511.00,1511.00,0.00,0.00,0.70,0.00,0.00
query_differences_select_combined_match_with_range,5,1,1504.70,1504.70,1504.70,0.00,0.00,0.70,0.00,0.00
query_differences_select_combined_match_with_range,6,1,1488.29,1488.29,1488.29,0.00,0.00,0.70,0.00,0.00
query_differences_select_combined_match_with_range,7,1,1493.97,1493.97,1493.97,0.00,0.00,0.72,0.00,0.00
query_differences_select_full_match,1,1,4574.67,4574.67,4574.67,0.00,0.00,0.25,0.00,0.00
query_differences_select_full_match,2,1,4595.97,4595.97,4595.97,0.00,0.00,0.24,0.00,0.00
query_differences_select_full_match,3,1,4537.73,4537.73,4537.73,0.00,0.00,0.25,0.00,0.00
query_differences_select_full_match,4,1,4527.44,4527.44,4527.44,0.00,0.00,0.25,0.00,0.00
query_differences_select_full_match,5,1,4544.07,4544.07,4544.07,0.00,0.00,0.25,0.00,0.00
query_differences_select_full_match,6,1,4500.86,4500.86,4500.86,0.00,0.00,0.25,0.00,0.00
query_differences_select_full_match,7,1,4561.64,4561.64,4561.64,0.00,0.00,0.24,0.00,0.00
query_differences_select_leftmost_prefix,1,1,1344.05,1344.05,1344.05,0.00,0.00,0.77,0.00,0.00
query_differences_select_leftmost_prefix,2,1,1342.04,1342.04,1342.04,0.00,0.00,0.81,0.00,0.00
query_differences_select_leftmost_prefix,3,1,1358.01,1358.01,1358.01,0.00,0.00,0.78,0.00,0.00
query_differences_select_leftmost_prefix,4,1,1354.23,1354.23,1354.23,0.00,0.00,0.80,0.00,0.00
query_differences_select_leftmost_prefix,5,1,1343.02,1343.02,1343.02,0.00,0.00,0.80,0.00,0.00
query_differences_select_leftmost_prefix,6,1,1363.73,1363.73,1363.73,0.00,0.00,0.77,0.00,0.00
query_differences_select_leftmost_prefix,7,1,1354.26,1354.26,1354.26,0.00,0.00,0.78,0.00,0.00
query_differences_select_leftmost_prefix,8,1,1366.01,1366.01,1366.01,0.00,0.00,0.78,0.00,0.00
query_differences_select_partial_match_range_query,1,1,1396.67,1396.67,1396.67,0.00,0.00,0.75,0.00,0.00
query_differences_select_partial_match_range_query,2,1,1411.75,1411.75,1411.75,0.00,0.00,0.75,0.00,0.00
query_differences_select_partial_match_range_query,3,1,1403.98,1403.98,1403.98,0.00,0.00,0.77,0.00,0.00
query_differences_select_partial_match_range_query,4,1,1361.01,1361.01,1361.01,0.00,0.00,0.80,0.00,0.00
query_differences_select_partial_match_range_query,5,1,1408.75,1408.75,1408.75,0.00,0.00,0.75,0.00,0.00
query_differences_select_partial_match_range_query,6,1,1425.25,1425.25,1425.25,0.00,0.00,0.74,0.00,0.00
query_differences_select_partial_match_range_query,7,1,1422.97,1422.97,1422.97,0.00,0.00,0.75,0.00,0.00
query_differences_select_partial_match_range_query,8,1,1414.99,1414.99,1414.99,0.00,0.00,0.77,0.00,0.00
