Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
combined_match_with_range,1,1,1415.70,3011.14,1415.70,1592.44,3.00,0.86,0.00,0.00,1595.44
combined_match_with_range,2,1,1460.69,2805.31,1460.69,1344.62,0.00,0.77,0.00,0.00,1344.62
combined_match_with_range,3,1,1490.06,2730.03,1489.06,1238.97,2.00,2046.49,0.00,0.00,1240.97
combined_match_with_range,4,1,1469.97,2732.03,1469.97,1262.06,0.00,0.77,0.00,0.00,1262.06
combined_match_with_range,5,1,1456.76,2670.76,1455.76,1213.00,2.00,2406.42,0.00,0.00,1215.00
combined_match_with_range,6,1,1490.98,2684.01,1490.98,1193.03,0.00,0.74,0.00,0.00,1193.03
combined_match_with_range,7,1,1464.99,2708.95,1463.99,1242.96,2.00,2450.13,0.00,0.00,1244.96
full_match,1,1,4559.68,6155.12,4559.68,1592.44,3.00,0.24,0.00,0.00,1595.44
full_match,2,1,4330.03,5674.65,4330.03,1344.62,0.00,0.26,0.00,0.00,1344.62
full_match,3,1,4244.03,5484.00,4243.03,1238.97,2.00,2046.00,0.00,0.00,1240.97
full_match,4,1,4559.04,5821.10,4559.04,1262.06,0.00,0.24,0.00,0.00,1262.06
full_match,5,1,4589.02,5803.02,4588.02,1213.00,2.00,2405.89,0.00,0.00,1215.00
full_match,6,1,4608.63,5801.66,4608.63,1193.03,0.00,0.24,0.00,0.00,1193.03
full_match,7,1,4608.45,5852.41,4607.45,1242.96,2.00,2449.60,0.00,0.00,1244.96
leftmost_prefix,1,1,1316.06,2911.50,1316.06,1592.44,3.00,0.84,0.00,0.00,1595.44
leftmost_prefix,2,1,1253.15,2597.77,1253.15,1344.62,0.00,0.92,0.00,0.00,1344.62
leftmost_prefix,3,1,1334.20,2574.17,1333.20,1238.97,2.00,2046.57,0.00,0.00,1240.97
leftmost_prefix,4,1,1340.81,2602.87,1340.81,1262.06,0.00,0.81,0.00,0.00,1262.06
leftmost_prefix,5,1,1346.92,2560.92,1345.92,1213.00,2.00,2406.46,0.00,0.00,1215.00
leftmost_prefix,6,1,1302.07,2495.10,1302.07,1193.03,0.00,0.84,0.00,0.00,1193.03
leftmost_prefix,7,1,1318.19,2562.15,1317.19,1242.96,2.00,2450.19,0.00,0.00,1244.96
partial_match_range_query,1,1,1374.07,2969.51,1374.07,1592.44,3.00,0.80,0.00,0.00,1595.44
partial_match_range_query,2,1,1414.33,2758.95,1414.33,1344.62,0.00,0.77,0.00,0.00,1344.62
partial_match_range_query,3,1,1409.76,2649.73,1408.76,1238.97,2.00,2046.51,0.00,0.00,1240.97
partial_match_range_query,4,1,1389.22,2651.28,1389.22,1262.06,0.00,0.80,0.00,0.00,1262.06
partial_match_range_query,5,1,1422.03,2636.03,1421.03,1213.00,2.00,2406.42,0.00,0.00,1215.00
partial_match_range_query,6,1,1418.95,2611.98,1418.95,1193.03,0.00,0.77,0.00,0.00,1193.03
partial_match_range_query,7,1,1418.06,2662.02,1417.06,1242.96,2.00,2450.13,0.00,0.00,1244.96
partial_match_range_query,8,1,1370.99,2508.97,1370.99,1137.98,0.00,0.86,0.00,0.00,1137.98
