Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
combined_match_with_range,1,1,1412.08,2449.18,1412.08,1034.10,3.00,0.74,0.00,0.00,1037.10
combined_match_with_range,2,1,1422.34,2493.75,1422.34,1071.41,0.00,0.75,0.00,0.00,1071.41
combined_match_with_range,3,1,1429.76,2493.76,1428.76,1063.00,2.00,2829.61,0.00,0.00,1065.00
combined_match_with_range,4,1,1440.25,2385.25,1440.25,945.00,0.00,0.75,0.00,0.00,945.00
combined_match_with_range,5,1,1438.98,2542.99,1438.98,1104.01,0.00,0.73,0.00,0.00,1104.01
combined_match_with_range,6,1,1451.98,2512.99,1450.98,1060.01,2.00,2881.00,0.00,0.00,1062.01
combined_match_with_range,7,1,1445.01,2522.03,1445.01,1077.02,0.00,0.73,0.00,0.00,1077.02
combined_match_with_range,8,1,1410.80,2400.79,1410.80,989.99,0.00,0.75,0.00,0.00,989.99
full_match,1,1,4587.71,5624.81,4587.71,1034.10,3.00,0.24,0.00,0.00,1037.10
full_match,2,1,4504.71,5576.12,4504.71,1071.41,0.00,0.25,0.00,0.00,1071.41
full_match,3,1,4308.39,5372.39,4307.39,1063.00,2.00,2829.13,0.00,0.00,1065.00
full_match,4,1,4559.96,5504.96,4559.96,945.00,0.00,0.25,0.00,0.00,945.00
full_match,5,1,4492.02,5596.03,4492.02,1104.01,0.00,0.25,0.00,0.00,1104.01
full_match,6,1,4567.90,5628.91,4566.90,1060.01,2.00,2880.51,0.00,0.00,1062.01
full_match,7,1,4603.04,5680.06,4603.04,1077.02,0.00,0.24,0.00,0.00,1077.02
leftmost_prefix,1,1,1348.08,2385.18,1348.08,1034.10,3.00,0.80,0.00,0.00,1037.10
leftmost_prefix,2,1,1363.24,2434.65,1363.24,1071.41,0.00,0.78,0.00,0.00,1071.41
leftmost_prefix,3,1,1364.06,2428.06,1363.06,1063.00,2.00,2829.65,0.00,0.00,1065.00
leftmost_prefix,4,1,1378.00,2323.00,1378.00,945.00,0.00,0.77,0.00,0.00,945.00
leftmost_prefix,5,1,1365.00,2469.01,1365.00,1104.01,0.00,0.78,0.00,0.00,1104.01
leftmost_prefix,6,1,1367.00,2428.01,1366.00,1060.01,2.00,2881.04,0.00,0.00,1062.01
leftmost_prefix,7,1,1360.99,2438.01,1360.99,1077.02,0.00,0.78,0.00,0.00,1077.02
leftmost_prefix,8,1,1365.03,2355.02,1365.03,989.99,0.00,0.77,0.00,0.00,989.99
partial_match_range_query,1,1,1407.84,2444.94,1407.84,1034.10,3.00,0.75,0.00,0.00,1037.10
partial_match_range_query,2,1,1457.25,2528.66,1457.25,1071.41,0.00,0.73,0.00,0.00,1071.41
partial_match_range_query,3,1,1441.31,2505.31,1440.31,1063.00,2.00,2829.61,0.00,0.00,1065.00
partial_match_range_query,4,1,1448.02,2393.02,1448.02,945.00,0.00,0.74,0.00,0.00,945.00
partial_match_range_query,5,1,1450.70,2554.71,1450.70,1104.01,0.00,0.73,0.00,0.00,1104.01
partial_match_range_query,6,1,1426.03,2487.04,1425.03,1060.01,2.00,2881.02,0.00,0.00,1062.01
partial_match_range_query,7,1,1440.22,2517.24,1440.22,1077.02,0.00,0.75,0.00,0.00,1077.02
partial_match_range_query,8,1,1427.87,2417.86,1427.87,989.99,0.00,0.74,0.00,0.00,989.99
