Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
query_differences_insert,1,1,0.00,1037.10,0.00,1034.10,3.00,0.00,0.00,0.00
query_differences_insert,2,1,0.00,1071.41,0.00,1071.41,0.00,0.00,0.00,0.00
query_differences_insert,3,1,1.00,1065.00,0.00,1063.00,2.00,2828.87,0.00,0.00
query_differences_insert,4,1,0.00,945.00,0.00,945.00,0.00,0.00,0.00,0.00
query_differences_insert,5,1,0.00,1104.01,0.00,1104.01,0.00,0.00,0.00,0.00
query_differences_insert,6,1,1.00,1062.01,0.00,1060.01,2.00,2880.27,0.00,0.00
query_differences_insert,7,1,0.00,1077.02,0.00,1077.02,0.00,0.00,0.00,0.00
query_differences_insert,8,1,0.00,989.99,0.00,989.99,0.00,0.00,0.00,0.00
query_differences_select_combined_match_with_range,1,1,1412.08,1412.08,1412.08,0.00,0.00,0.74,0.00,0.00
query_differences_select_combined_match_with_range,2,1,1422.34,1422.34,1422.34,0.00,0.00,0.75,0.00,0.00
query_differences_select_combined_match_with_range,3,1,1428.76,1428.76,1428.76,0.00,0.00,0.74,0.00,0.00
query_differences_select_combined_match_with_range,4,1,1440.25,1440.25,1440.25,0.00,0.00,0.75,0.00,0.00
query_differences_select_combined_match_with_range,5,1,1438.98,1438.98,1438.98,0.00,0.00,0.73,0.00,0.00
query_differences_select_combined_match_with_range,6,1,1450.98,1450.98,1450.98,0.00,0.00,0.73,0.00,0.00
query_differences_select_combined_match_with_range,7,1,1445.01,1445.01,1445.01,0.00,0.00,0.73,0.00,0.00
query_differences_select_combined_match_with_range,8,1,1410.80,1410.80,1410.80,0.00,0.00,0.75,0.00,0.00
query_differences_select_full_match,1,1,4587.71,4587.71,4587.71,0.00,0.00,0.24,0.00,0.00
query_differences_select_full_match,2,1,4504.71,4504.71,4504.71,0.00,0.00,0.25,0.00,0.00
query_differences_select_full_match,3,1,4307.39,4307.39,4307.39,0.00,0.00,0.26,0.00,0.00
query_differences_select_full_match,4,1,4559.96,4559.96,4559.96,0.00,0.00,0.25,0.00,0.00
query_differences_select_full_match,5,1,4492.02,4492.02,4492.02,0.00,0.00,0.25,0.00,0.00
query_differences_select_full_match,6,1,4566.90,4566.90,4566.90,0.00,0.00,0.24,0.00,0.00
query_differences_select_full_match,7,1,4603.04,4603.04,4603.04,0.00,0.00,0.24,0.00,0.00
query_differences_select_leftmost_prefix,1,1,1348.08,1348.08,1348.08,0.00,0.00,0.80,0.00,0.00
query_differences_select_leftmost_prefix,2,1,1363.24,1363.24,1363.24,0.00,0.00,0.78,0.00,0.00
query_differences_select_leftmost_prefix,3,1,1363.06,1363.06,1363.06,0.00,0.00,0.78,0.00,0.00
query_differences_select_leftmost_prefix,4,1,1378.00,1378.00,1378.00,0.00,0.00,0.77,0.00,0.00
query_differences_select_leftmost_prefix,5,1,1365.00,1365.00,1365.00,0.00,0.00,0.78,0.00,0.00
query_differences_select_leftmost_prefix,6,1,1366.00,1366.00,1366.00,0.00,0.00,0.77,0.00,0.00
query_differences_select_leftmost_prefix,7,1,1360.99,1360.99,1360.99,0.00,0.00,0.78,0.00,0.00
query_differences_select_leftmost_prefix,8,1,1365.03,1365.03,1365.03,0.00,0.00,0.77,0.00,0.00
query_differences_select_partial_match_range_query,1,1,1407.84,1407.84,1407.84,0.00,0.00,0.75,0.00,0.00
query_differences_select_partial_match_range_query,2,1,1457.25,1457.25,1457.25,0.00,0.00,0.73,0.00,0.00
query_differences_select_partial_match_range_query,3,1,1440.31,1440.31,1440.31,0.00,0.00,0.74,0.00,0.00
query_differences_select_partial_match_range_query,4,1,1448.02,1448.02,1448.02,0.00,0.00,0.74,0.00,0.00
query_differences_select_partial_match_range_query,5,1,1450.70,1450.70,1450.70,0.00,0.00,0.73,0.00,0.00
query_differences_select_partial_match_range_query,6,1,1425.03,1425.03,1425.03,0.00,0.00,0.75,0.00,0.00
query_differences_select_partial_match_range_query,7,1,1440.22,1440.22,1440.22,0.00,0.00,0.75,0.00,0.00
query_differences_select_partial_match_range_query,8,1,1427.87,1427.87,1427.87,0.00,0.00,0.74,0.00,0.00
