Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
combined_match_with_range,1.00,1.00,1436.63,2804.13,1436.63,1364.50,3.00,0.73,0.00,0.00
combined_match_with_range,2.00,1.00,1458.43,2781.11,1458.43,1322.68,0.00,0.73,0.00,0.00
combined_match_with_range,3.00,1.00,1455.01,2805.17,1454.01,1349.16,2.00,2239.20,0.00,0.00
combined_match_with_range,4.00,1.00,1453.99,3013.83,1453.99,1559.84,0.00,0.73,0.00,0.00
combined_match_with_range,5.00,1.00,1461.00,2937.05,1460.00,1475.05,2.00,2046.46,0.00,0.00
combined_match_with_range,6.00,1.00,1458.98,2865.99,1458.98,1407.01,0.00,0.72,0.00,0.00
combined_match_with_range,7.00,1.00,1408.02,2779.05,1407.02,1370.03,2.00,2121.68,0.00,0.00
combined_match_with_range,8.00,1.00,1456.02,2893.01,1456.02,1436.99,0.00,0.73,0.00,0.00
full_match,1.00,1.00,3848.50,5216.00,3848.50,1364.50,3.00,0.28,0.00,0.00
full_match,2.00,1.00,3869.28,5191.96,3869.28,1322.68,0.00,0.28,0.00,0.00
full_match,3.00,1.00,3891.00,5241.16,3890.00,1349.16,2.00,2238.75,0.00,0.00
full_match,4.00,1.00,3843.00,5402.84,3843.00,1559.84,0.00,0.28,0.00,0.00
full_match,5.00,1.00,3852.98,5329.03,3851.98,1475.05,2.00,2046.02,0.00,0.00
full_match,6.00,1.00,3870.04,5277.05,3870.04,1407.01,0.00,0.28,0.00,0.00
full_match,7.00,1.00,3884.00,5255.03,3883.00,1370.03,2.00,2121.04,0.00,0.00
leftmost_prefix,1.00,1.00,1204.83,2572.33,1204.83,1364.50,3.00,0.86,0.00,0.00
leftmost_prefix,2.00,1.00,1220.39,2543.07,1220.39,1322.68,0.00,0.86,0.00,0.00
leftmost_prefix,3.00,1.00,1215.04,2565.20,1214.04,1349.16,2.00,2239.34,0.00,0.00
leftmost_prefix,4.00,1.00,1214.97,2774.81,1214.97,1559.84,0.00,0.87,0.00,0.00
leftmost_prefix,5.00,1.00,1216.97,2693.02,1215.97,1475.05,2.00,2046.61,0.00,0.00
leftmost_prefix,6.00,1.00,1217.00,2624.01,1217.00,1407.01,0.00,0.86,0.00,0.00
leftmost_prefix,7.00,1.00,1219.01,2590.04,1218.01,1370.03,2.00,2121.62,0.00,0.00
leftmost_prefix,8.00,1.00,1209.01,2646.00,1209.01,1436.99,0.00,0.89,0.00,0.00
partial_match_range_query,1.00,1.00,1354.74,2722.24,1354.74,1364.50,3.00,0.77,0.00,0.00
partial_match_range_query,2.00,1.00,1375.40,2698.08,1375.40,1322.68,0.00,0.75,0.00,0.00
partial_match_range_query,3.00,1.00,1374.06,2724.22,1373.06,1349.16,2.00,2239.22,0.00,0.00
partial_match_range_query,4.00,1.00,1380.93,2940.77,1380.93,1559.84,0.00,0.75,0.00,0.00
partial_match_range_query,5.00,1.00,1352.00,2828.05,1351.00,1475.05,2.00,2046.68,0.00,0.00
partial_match_range_query,6.00,1.00,1373.09,2780.10,1373.09,1407.01,0.00,0.77,0.00,0.00
partial_match_range_query,7.00,1.00,1378.95,2749.98,1377.95,1370.03,2.00,2121.51,0.00,0.00
partial_match_range_query,8.00,1.00,1376.05,2813.04,1376.05,1436.99,0.00,0.75,0.00,0.00
