Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
query_differences_insert,1,1,0.00,1367.50,0.00,1364.50,3.00,0.00,0.00,0.00
query_differences_insert,2,1,0.00,1322.68,0.00,1322.68,0.00,0.00,0.00,0.00
query_differences_insert,3,1,1.00,1351.16,0.00,1349.16,2.00,2238.47,0.00,0.00
query_differences_insert,4,1,0.00,1559.84,0.00,1559.84,0.00,0.00,0.00,0.00
query_differences_insert,5,1,1.00,1477.05,0.00,1475.05,2.00,2045.74,0.00,0.00
query_differences_insert,6,1,0.00,1407.01,0.00,1407.01,0.00,0.00,0.00,0.00
query_differences_insert,7,1,1.00,1372.03,0.00,1370.03,2.00,2120.76,0.00,0.00
query_differences_insert,8,1,0.00,1436.99,0.00,1436.99,0.00,0.00,0.00,0.00
query_differences_select_combined_match_with_range,1,1,1436.63,1436.63,1436.63,0.00,0.00,0.73,0.00,0.00
query_differences_select_combined_match_with_range,2,1,1458.43,1458.43,1458.43,0.00,0.00,0.73,0.00,0.00
query_differences_select_combined_match_with_range,3,1,1454.01,1454.01,1454.01,0.00,0.00,0.73,0.00,0.00
query_differences_select_combined_match_with_range,4,1,1453.99,1453.99,1453.99,0.00,0.00,0.73,0.00,0.00
query_differences_select_combined_match_with_range,5,1,1460.00,1460.00,1460.00,0.00,0.00,0.72,0.00,0.00
query_differences_select_combined_match_with_range,6,1,1458.98,1458.98,1458.98,0.00,0.00,0.72,0.00,0.00
query_differences_select_combined_match_with_range,7,1,1407.02,1407.02,1407.02,0.00,0.00,0.92,0.00,0.00
query_differences_select_combined_match_with_range,8,1,1456.02,1456.02,1456.02,0.00,0.00,0.73,0.00,0.00
query_differences_select_full_match,1,1,3848.50,3848.50,3848.50,0.00,0.00,0.28,0.00,0.00
query_differences_select_full_match,2,1,3869.28,3869.28,3869.28,0.00,0.00,0.28,0.00,0.00
query_differences_select_full_match,3,1,3890.00,3890.00,3890.00,0.00,0.00,0.28,0.00,0.00
query_differences_select_full_match,4,1,3843.00,3843.00,3843.00,0.00,0.00,0.28,0.00,0.00
query_differences_select_full_match,5,1,3851.98,3851.98,3851.98,0.00,0.00,0.28,0.00,0.00
query_differences_select_full_match,6,1,3870.04,3870.04,3870.04,0.00,0.00,0.28,0.00,0.00
query_differences_select_full_match,7,1,3883.00,3883.00,3883.00,0.00,0.00,0.28,0.00,0.00
query_differences_select_leftmost_prefix,1,1,1204.83,1204.83,1204.83,0.00,0.00,0.86,0.00,0.00
query_differences_select_leftmost_prefix,2,1,1220.39,1220.39,1220.39,0.00,0.00,0.86,0.00,0.00
query_differences_select_leftmost_prefix,3,1,1214.04,1214.04,1214.04,0.00,0.00,0.87,0.00,0.00
query_differences_select_leftmost_prefix,4,1,1214.97,1214.97,1214.97,0.00,0.00,0.87,0.00,0.00
query_differences_select_leftmost_prefix,5,1,1215.97,1215.97,1215.97,0.00,0.00,0.87,0.00,0.00
query_differences_select_leftmost_prefix,6,1,1217.00,1217.00,1217.00,0.00,0.00,0.86,0.00,0.00
query_differences_select_leftmost_prefix,7,1,1218.01,1218.01,1218.01,0.00,0.00,0.86,0.00,0.00
query_differences_select_leftmost_prefix,8,1,1209.01,1209.01,1209.01,0.00,0.00,0.89,0.00,0.00
query_differences_select_partial_match_range_query,1,1,1354.74,1354.74,1354.74,0.00,0.00,0.77,0.00,0.00
query_differences_select_partial_match_range_query,2,1,1375.40,1375.40,1375.40,0.00,0.00,0.75,0.00,0.00
query_differences_select_partial_match_range_query,3,1,1373.06,1373.06,1373.06,0.00,0.00,0.75,0.00,0.00
query_differences_select_partial_match_range_query,4,1,1380.93,1380.93,1380.93,0.00,0.00,0.75,0.00,0.00
query_differences_select_partial_match_range_query,5,1,1351.00,1351.00,1351.00,0.00,0.00,0.94,0.00,0.00
query_differences_select_partial_match_range_query,6,1,1373.09,1373.09,1373.09,0.00,0.00,0.77,0.00,0.00
query_differences_select_partial_match_range_query,7,1,1377.95,1377.95,1377.95,0.00,0.00,0.75,0.00,0.00
query_differences_select_partial_match_range_query,8,1,1376.05,1376.05,1376.05,0.00,0.00,0.75,0.00,0.00
