Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
combined_match_with_range,1.00,1.00,986.03,2281.70,986.03,1292.67,3.00,1.25,0.00,0.00
combined_match_with_range,2.00,1.00,1100.35,2448.02,1100.35,1347.67,0.00,1.12,0.00,0.00
combined_match_with_range,3.00,1.00,1107.99,2486.02,1106.99,1377.03,2.00,2239.57,0.00,0.00
combined_match_with_range,4.00,1.00,1035.03,2370.07,1035.03,1335.04,0.00,1.21,0.00,0.00
combined_match_with_range,5.00,1.00,1115.97,2656.92,1114.97,1539.95,2.00,2160.39,0.00,0.00
combined_match_with_range,6.00,1.00,1102.03,2452.02,1102.03,1349.99,0.00,1.21,0.00,0.00
combined_match_with_range,7.00,1.00,1101.97,2426.98,1100.97,1324.01,2.00,2160.41,0.00,0.00
combined_match_with_range,8.00,1.00,1079.00,2284.10,1079.00,1205.10,0.00,1.14,0.00,0.00
full_match,1.00,1.00,3823.01,5118.68,3823.01,1292.67,3.00,0.29,0.00,0.00
full_match,2.00,1.00,3843.71,5191.38,3843.71,1347.67,0.00,0.29,0.00,0.00
full_match,3.00,1.00,3830.10,5208.13,3829.10,1377.03,2.00,2238.76,0.00,0.00
full_match,4.00,1.00,3839.97,5175.01,3839.97,1335.04,0.00,0.29,0.00,0.00
full_match,5.00,1.00,3855.10,5396.05,3854.10,1539.95,2.00,2159.58,0.00,0.00
full_match,6.00,1.00,3845.36,5195.35,3845.36,1349.99,0.00,0.29,0.00,0.00
full_match,7.00,1.00,3843.80,5168.81,3842.80,1324.01,2.00,2159.58,0.00,0.00
leftmost_prefix,1.00,1.00,876.18,2171.85,876.18,1292.67,3.00,1.39,0.00,0.00
leftmost_prefix,2.00,1.00,830.27,2177.94,830.27,1347.67,0.00,1.47,0.00,0.00
leftmost_prefix,3.00,1.00,816.00,2194.03,815.00,1377.03,2.00,2239.91,0.00,0.00
leftmost_prefix,4.00,1.00,778.96,2114.00,778.96,1335.04,0.00,1.47,0.00,0.00
leftmost_prefix,5.00,1.00,788.03,2328.98,787.03,1539.95,2.00,2160.76,0.00,0.00
leftmost_prefix,6.00,1.00,816.99,2166.98,816.99,1349.99,0.00,1.37,0.00,0.00
leftmost_prefix,7.00,1.00,815.98,2140.99,814.98,1324.01,2.00,2160.68,0.00,0.00
leftmost_prefix,8.00,1.00,902.02,2107.12,902.02,1205.10,0.00,1.27,0.00,0.00
partial_match_range_query,1.00,1.00,1058.01,2353.68,1058.01,1292.67,3.00,1.12,0.00,0.00
partial_match_range_query,2.00,1.00,1106.27,2453.94,1106.27,1347.67,0.00,1.14,0.00,0.00
partial_match_range_query,3.00,1.00,1065.06,2443.09,1064.06,1377.03,2.00,2239.59,0.00,0.00
partial_match_range_query,4.00,1.00,1080.97,2416.01,1080.97,1335.04,0.00,1.10,0.00,0.00
partial_match_range_query,5.00,1.00,1003.06,2544.01,1002.06,1539.95,2.00,2160.47,0.00,0.00
partial_match_range_query,6.00,1.00,1060.99,2410.98,1060.99,1349.99,0.00,1.39,0.00,0.00
partial_match_range_query,7.00,1.00,1058.92,2383.93,1057.92,1324.01,2.00,2160.43,0.00,0.00
partial_match_range_query,8.00,1.00,1073.04,2278.14,1073.04,1205.10,0.00,1.14,0.00,0.00
