Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
query_differences_insert,1,1,0.00,1295.67,0.00,1292.67,3.00,0.00,0.00,0.00
query_differences_insert,2,1,0.00,1347.67,0.00,1347.67,0.00,0.00,0.00,0.00
query_differences_insert,3,1,1.00,1379.03,0.00,1377.03,2.00,2238.47,0.00,0.00
query_differences_insert,4,1,0.00,1335.04,0.00,1335.04,0.00,0.00,0.00,0.00
query_differences_insert,5,1,1.00,1541.95,0.00,1539.95,2.00,2159.29,0.00,0.00
query_differences_insert,6,1,0.00,1349.99,0.00,1349.99,0.00,0.00,0.00,0.00
query_differences_insert,7,1,1.00,1326.01,0.00,1324.01,2.00,2159.29,0.00,0.00
query_differences_insert,8,1,0.00,1205.10,0.00,1205.10,0.00,0.00,0.00,0.00
query_differences_select_combined_match_with_range,1,1,986.03,986.03,986.03,0.00,0.00,1.25,0.00,0.00
query_differences_select_combined_match_with_range,2,1,1100.35,1100.35,1100.35,0.00,0.00,1.12,0.00,0.00
query_differences_select_combined_match_with_range,3,1,1106.99,1106.99,1106.99,0.00,0.00,1.10,0.00,0.00
query_differences_select_combined_match_with_range,4,1,1035.03,1035.03,1035.03,0.00,0.00,1.21,0.00,0.00
query_differences_select_combined_match_with_range,5,1,1114.97,1114.97,1114.97,0.00,0.00,1.10,0.00,0.00
query_differences_select_combined_match_with_range,6,1,1102.03,1102.03,1102.03,0.00,0.00,1.21,0.00,0.00
query_differences_select_combined_match_with_range,7,1,1100.97,1100.97,1100.97,0.00,0.00,1.12,0.00,0.00
query_differences_select_combined_match_with_range,8,1,1079.00,1079.00,1079.00,0.00,0.00,1.14,0.00,0.00
query_differences_select_full_match,1,1,3823.01,3823.01,3823.01,0.00,0.00,0.29,0.00,0.00
query_differences_select_full_match,2,1,3843.71,3843.71,3843.71,0.00,0.00,0.29,0.00,0.00
query_differences_select_full_match,3,1,3829.10,3829.10,3829.10,0.00,0.00,0.29,0.00,0.00
query_differences_select_full_match,4,1,3839.97,3839.97,3839.97,0.00,0.00,0.29,0.00,0.00
query_differences_select_full_match,5,1,3854.10,3854.10,3854.10,0.00,0.00,0.29,0.00,0.00
query_differences_select_full_match,6,1,3845.36,3845.36,3845.36,0.00,0.00,0.29,0.00,0.00
query_differences_select_full_match,7,1,3842.80,3842.80,3842.80,0.00,0.00,0.29,0.00,0.00
query_differences_select_leftmost_prefix,1,1,876.18,876.18,876.18,0.00,0.00,1.39,0.00,0.00
query_differences_select_leftmost_prefix,2,1,830.27,830.27,830.27,0.00,0.00,1.47,0.00,0.00
query_differences_select_leftmost_prefix,3,1,815.00,815.00,815.00,0.00,0.00,1.44,0.00,0.00
query_differences_select_leftmost_prefix,4,1,778.96,778.96,778.96,0.00,0.00,1.47,0.00,0.00
query_differences_select_leftmost_prefix,5,1,787.03,787.03,787.03,0.00,0.00,1.47,0.00,0.00
query_differences_select_leftmost_prefix,6,1,816.99,816.99,816.99,0.00,0.00,1.37,0.00,0.00
query_differences_select_leftmost_prefix,7,1,814.98,814.98,814.98,0.00,0.00,1.39,0.00,0.00
query_differences_select_leftmost_prefix,8,1,902.02,902.02,902.02,0.00,0.00,1.27,0.00,0.00
query_differences_select_partial_match_range_query,1,1,1058.01,1058.01,1058.01,0.00,0.00,1.12,0.00,0.00
query_differences_select_partial_match_range_query,2,1,1106.27,1106.27,1106.27,0.00,0.00,1.14,0.00,0.00
query_differences_select_partial_match_range_query,3,1,1064.06,1064.06,1064.06,0.00,0.00,1.12,0.00,0.00
query_differences_select_partial_match_range_query,4,1,1080.97,1080.97,1080.97,0.00,0.00,1.10,0.00,0.00
query_differences_select_partial_match_range_query,5,1,1002.06,1002.06,1002.06,0.00,0.00,1.18,0.00,0.00
query_differences_select_partial_match_range_query,6,1,1060.99,1060.99,1060.99,0.00,0.00,1.39,0.00,0.00
query_differences_select_partial_match_range_query,7,1,1057.92,1057.92,1057.92,0.00,0.00,1.14,0.00,0.00
query_differences_select_partial_match_range_query,8,1,1073.04,1073.04,1073.04,0.00,0.00,1.14,0.00,0.00
