Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
query_differences_insert,1,1,0.00,1268.89,0.00,1265.89,3.00,0.00,0.00,0.00
query_differences_insert,2,1,0.00,1293.49,0.00,1293.49,0.00,0.00,0.00,0.00
query_differences_insert,3,1,1.00,1351.06,0.00,1349.06,2.00,2320.55,0.00,0.00
query_differences_insert,4,1,0.00,1458.98,0.00,1458.98,0.00,0.00,0.00,0.00
query_differences_insert,5,1,1.00,1332.04,0.00,1330.04,2.00,2082.91,0.00,0.00
query_differences_insert,6,1,0.00,1290.99,0.00,1290.99,0.00,0.00,0.00,0.00
query_differences_insert,7,1,1.00,1398.98,0.00,1396.98,2.00,2279.14,0.00,0.00
query_differences_insert,8,1,0.00,1322.01,0.00,1322.01,0.00,0.00,0.00,0.00
query_differences_insert,9,1,0.00,1285.01,0.00,1285.01,0.00,0.00,0.00,0.00
query_differences_select_combined_match_with_range,1,1,1487.00,1487.00,1487.00,0.00,0.00,0.73,0.00,0.00
query_differences_select_combined_match_with_range,2,1,1548.38,1548.38,1548.38,0.00,0.00,0.69,0.00,0.00
query_differences_select_combined_match_with_range,3,1,1541.97,1541.97,1541.97,0.00,0.00,0.69,0.00,0.00
query_differences_select_combined_match_with_range,4,1,1503.02,1503.02,1503.02,0.00,0.00,0.78,0.00,0.00
query_differences_select_combined_match_with_range,5,1,1525.99,1525.99,1525.99,0.00,0.00,0.70,0.00,0.00
query_differences_select_combined_match_with_range,6,1,1511.02,1511.02,1511.02,0.00,0.00,0.72,0.00,0.00
query_differences_select_combined_match_with_range,7,1,1529.92,1529.92,1529.92,0.00,0.00,0.69,0.00,0.00
query_differences_select_combined_match_with_range,8,1,1543.07,1543.07,1543.07,0.00,0.00,0.69,0.00,0.00
query_differences_select_full_match,1,1,4540.11,4540.11,4540.11,0.00,0.00,0.24,0.00,0.00
query_differences_select_full_match,2,1,4606.34,4606.34,4606.34,0.00,0.00,0.24,0.00,0.00
query_differences_select_full_match,3,1,4524.37,4524.37,4524.37,0.00,0.00,0.24,0.00,0.00
query_differences_select_full_match,4,1,4616.01,4616.01,4616.01,0.00,0.00,0.24,0.00,0.00
query_differences_select_full_match,5,1,4613.94,4613.94,4613.94,0.00,0.00,0.24,0.00,0.00
query_differences_select_full_match,6,1,4667.06,4667.06,4667.06,0.00,0.00,0.23,0.00,0.00
query_differences_select_full_match,7,1,4675.90,4675.90,4675.90,0.00,0.00,0.23,0.00,0.00
query_differences_select_leftmost_prefix,1,1,1379.00,1379.00,1379.00,0.00,0.00,0.77,0.00,0.00
query_differences_select_leftmost_prefix,2,1,1388.37,1388.37,1388.37,0.00,0.00,0.77,0.00,0.00
query_differences_select_leftmost_prefix,3,1,1377.00,1377.00,1377.00,0.00,0.00,0.80,0.00,0.00
query_differences_select_leftmost_prefix,4,1,1398.00,1398.00,1398.00,0.00,0.00,0.75,0.00,0.00
query_differences_select_leftmost_prefix,5,1,1382.99,1382.99,1382.99,0.00,0.00,0.77,0.00,0.00
query_differences_select_leftmost_prefix,6,1,1396.00,1396.00,1396.00,0.00,0.00,0.77,0.00,0.00
query_differences_select_leftmost_prefix,7,1,1396.03,1396.03,1396.03,0.00,0.00,0.75,0.00,0.00
query_differences_select_leftmost_prefix,8,1,1386.90,1386.90,1386.90,0.00,0.00,0.77,0.00,0.00
query_differences_select_partial_match_range_query,1,1,1420.77,1420.77,1420.77,0.00,0.00,0.77,0.00,0.00
query_differences_select_partial_match_range_query,2,1,1453.66,1453.66,1453.66,0.00,0.00,0.74,0.00,0.00
query_differences_select_partial_match_range_query,3,1,1412.98,1412.98,1412.98,0.00,0.00,0.80,0.00,0.00
query_differences_select_partial_match_range_query,4,1,1428.78,1428.78,1428.78,0.00,0.00,0.75,0.00,0.00
query_differences_select_partial_match_range_query,5,1,1421.93,1421.93,1421.93,0.00,0.00,0.78,0.00,0.00
query_differences_select_partial_match_range_query,6,1,1420.26,1420.26,1420.26,0.00,0.00,0.78,0.00,0.00
query_differences_select_partial_match_range_query,7,1,1323.78,1323.78,1323.78,0.00,0.00,0.99,0.00,0.00
query_differences_select_partial_match_range_query,8,1,1321.26,1321.26,1321.26,0.00,0.00,0.92,0.00,0.00
