Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
combined_match_with_range,2,4,3090.94,8402.31,3090.94,1327.34,3984.03,1.76,0.00,0.00,5311.37
combined_match_with_range,4,4,3160.07,8573.43,3158.07,1352.84,4062.52,2240.17,0.00,0.00,5415.36
combined_match_with_range,6,4,3200.93,8584.77,3198.93,1345.46,4040.38,2240.05,0.00,0.00,5385.84
combined_match_with_range,8,4,3154.50,8836.50,3152.50,1420.00,4264.00,2161.02,0.00,0.00,5684.00
combined_match_with_range,10,4,3098.55,8422.64,3096.55,1330.52,3995.57,2200.25,0.00,0.00,5326.09
combined_match_with_range,12,4,3167.99,8520.04,3165.99,1337.51,4016.54,2240.11,0.00,0.00,5354.05
combined_match_with_range,14,4,3139.54,8441.45,3137.54,1324.98,3978.93,2240.20,0.00,0.00,5303.91
combined_match_with_range,16,4,3181.47,8319.57,3179.47,1284.02,3856.07,2364.36,0.00,0.00,5140.10
combined_match_with_range,18,4,3160.55,8482.55,3158.55,1330.00,3994.00,2280.81,0.00,0.00,5324.00
full_match,2,4,11414.36,16725.73,11414.36,1327.34,3984.03,0.49,0.00,0.00,5311.37
full_match,4,4,11645.90,17059.26,11643.90,1352.84,4062.52,2238.96,0.00,0.00,5415.36
full_match,6,4,11595.44,16979.28,11593.44,1345.46,4040.38,2238.96,0.00,0.00,5385.84
full_match,8,4,11575.07,17257.07,11573.07,1420.00,4264.00,2159.78,0.00,0.00,5684.00
full_match,10,4,11505.41,16829.50,11503.41,1330.52,3995.57,2199.02,0.00,0.00,5326.09
full_match,12,4,11530.42,16882.47,11528.42,1337.51,4016.54,2238.96,0.00,0.00,5354.05
full_match,14,4,11581.58,16883.49,11579.58,1324.98,3978.93,2238.96,0.00,0.00,5303.91
full_match,16,4,11525.58,16663.68,11523.58,1284.02,3856.07,2363.22,0.00,0.00,5140.10
full_match,18,4,11572.93,16894.93,11570.93,1330.00,3994.00,2279.63,0.00,0.00,5324.00
leftmost_prefix,2,4,2708.68,8020.05,2708.68,1327.34,3984.03,1.96,0.00,0.00,5311.37
leftmost_prefix,4,4,2750.98,8164.34,2748.98,1352.84,4062.52,2240.40,0.00,0.00,5415.36
leftmost_prefix,6,4,2717.95,8101.79,2715.95,1345.46,4040.38,2240.43,0.00,0.00,5385.84
leftmost_prefix,8,4,2692.86,8374.86,2690.86,1420.00,4264.00,2161.32,0.00,0.00,5684.00
leftmost_prefix,10,4,2769.01,8093.10,2767.01,1330.52,3995.57,2200.45,0.00,0.00,5326.09
leftmost_prefix,12,4,2788.18,8140.23,2786.18,1337.51,4016.54,2240.33,0.00,0.00,5354.05
leftmost_prefix,14,4,2759.96,8061.87,2757.96,1324.98,3978.93,2240.40,0.00,0.00,5303.91
leftmost_prefix,16,4,2718.00,7856.10,2716.00,1284.02,3856.07,2364.68,0.00,0.00,5140.10
leftmost_prefix,18,4,2722.45,8044.45,2720.45,1330.00,3994.00,2281.14,0.00,0.00,5324.00
partial_match_range_query,2,4,2957.53,8268.90,2957.53,1327.34,3984.03,1.82,0.00,0.00,5311.37
partial_match_range_query,4,4,2914.44,8327.80,2912.44,1352.84,4062.52,2240.47,0.00,0.00,5415.36
partial_match_range_query,6,4,2963.04,8346.88,2961.04,1345.46,4040.38,2240.36,0.00,0.00,5385.84
partial_match_range_query,8,4,3022.97,8704.97,3020.97,1420.00,4264.00,2161.08,0.00,0.00,5684.00
partial_match_range_query,10,4,2970.56,8294.65,2968.56,1330.52,3995.57,2200.38,0.00,0.00,5326.09
partial_match_range_query,12,4,3046.99,8399.04,3044.99,1337.51,4016.54,2240.20,0.00,0.00,5354.05
partial_match_range_query,14,4,2987.48,8289.39,2985.48,1324.98,3978.93,2240.29,0.00,0.00,5303.91
partial_match_range_query,16,4,3058.05,8196.15,3056.05,1284.02,3856.07,2364.39,0.00,0.00,5140.10
partial_match_range_query,18,4,3108.00,8430.00,3106.00,1330.00,3994.00,2280.72,0.00,0.00,5324.00
