Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
query_differences_insert,2,4,0.00,5311.37,0.00,1327.34,3984.03,0.00,0.00,0.00
query_differences_insert,4,4,2.00,5415.36,0.00,1352.84,4062.52,2238.47,0.00,0.00
query_differences_insert,6,4,2.00,5385.84,0.00,1345.46,4040.38,2238.47,0.00,0.00
query_differences_insert,8,4,2.00,5684.00,0.00,1420.00,4264.00,2159.29,0.00,0.00
query_differences_insert,10,4,2.00,5326.09,0.00,1330.52,3995.57,2198.52,0.00,0.00
query_differences_insert,12,4,2.00,5354.05,0.00,1337.51,4016.54,2238.47,0.00,0.00
query_differences_insert,14,4,2.00,5303.91,0.00,1324.98,3978.93,2238.47,0.00,0.00
query_differences_insert,16,4,2.00,5140.10,0.00,1284.02,3856.07,2362.72,0.00,0.00
query_differences_insert,18,4,2.00,5324.00,0.00,1330.00,3994.00,2279.14,0.00,0.00
query_differences_insert,20,4,0.00,5331.87,0.00,1332.97,3998.90,0.00,0.00,0.00
query_differences_select_combined_match_with_range,2,4,3090.94,3090.94,3090.94,0.00,0.00,1.76,0.00,0.00
query_differences_select_combined_match_with_range,4,4,3158.07,3158.07,3158.07,0.00,0.00,1.70,0.00,0.00
query_differences_select_combined_match_with_range,6,4,3198.93,3198.93,3198.93,0.00,0.00,1.58,0.00,0.00
query_differences_select_combined_match_with_range,8,4,3152.50,3152.50,3152.50,0.00,0.00,1.73,0.00,0.00
query_differences_select_combined_match_with_range,10,4,3096.55,3096.55,3096.55,0.00,0.00,1.73,0.00,0.00
query_differences_select_combined_match_with_range,12,4,3165.99,3165.99,3165.99,0.00,0.00,1.64,0.00,0.00
query_differences_select_combined_match_with_range,14,4,3137.54,3137.54,3137.54,0.00,0.00,1.73,0.00,0.00
query_differences_select_combined_match_with_range,16,4,3179.47,3179.47,3179.47,0.00,0.00,1.64,0.00,0.00
query_differences_select_combined_match_with_range,18,4,3158.55,3158.55,3158.55,0.00,0.00,1.67,0.00,0.00
query_differences_select_full_match,2,4,11414.36,11414.36,11414.36,0.00,0.00,0.49,0.00,0.00
query_differences_select_full_match,4,4,11643.90,11643.90,11643.90,0.00,0.00,0.49,0.00,0.00
query_differences_select_full_match,6,4,11593.44,11593.44,11593.44,0.00,0.00,0.49,0.00,0.00
query_differences_select_full_match,8,4,11573.07,11573.07,11573.07,0.00,0.00,0.49,0.00,0.00
query_differences_select_full_match,10,4,11503.41,11503.41,11503.41,0.00,0.00,0.50,0.00,0.00
query_differences_select_full_match,12,4,11528.42,11528.42,11528.42,0.00,0.00,0.49,0.00,0.00
query_differences_select_full_match,14,4,11579.58,11579.58,11579.58,0.00,0.00,0.49,0.00,0.00
query_differences_select_full_match,16,4,11523.58,11523.58,11523.58,0.00,0.00,0.50,0.00,0.00
query_differences_select_full_match,18,4,11570.93,11570.93,11570.93,0.00,0.00,0.49,0.00,0.00
query_differences_select_leftmost_prefix,2,4,2708.68,2708.68,2708.68,0.00,0.00,1.96,0.00,0.00
query_differences_select_leftmost_prefix,4,4,2748.98,2748.98,2748.98,0.00,0.00,1.93,0.00,0.00
query_differences_select_leftmost_prefix,6,4,2715.95,2715.95,2715.95,0.00,0.00,1.96,0.00,0.00
query_differences_select_leftmost_prefix,8,4,2690.86,2690.86,2690.86,0.00,0.00,2.03,0.00,0.00
query_differences_select_leftmost_prefix,10,4,2767.01,2767.01,2767.01,0.00,0.00,1.93,0.00,0.00
query_differences_select_leftmost_prefix,12,4,2786.18,2786.18,2786.18,0.00,0.00,1.86,0.00,0.00
query_differences_select_leftmost_prefix,14,4,2757.96,2757.96,2757.96,0.00,0.00,1.93,0.00,0.00
query_differences_select_leftmost_prefix,16,4,2716.00,2716.00,2716.00,0.00,0.00,1.96,0.00,0.00
query_differences_select_leftmost_prefix,18,4,2720.45,2720.45,2720.45,0.00,0.00,2.00,0.00,0.00
query_differences_select_partial_match_range_query,2,4,2957.53,2957.53,2957.53,0.00,0.00,1.82,0.00,0.00
query_differences_select_partial_match_range_query,4,4,2912.44,2912.44,2912.44,0.00,0.00,2.00,0.00,0.00
query_differences_select_partial_match_range_query,6,4,2961.04,2961.04,2961.04,0.00,0.00,1.89,0.00,0.00
query_differences_select_partial_match_range_query,8,4,3020.97,3020.97,3020.97,0.00,0.00,1.79,0.00,0.00
query_differences_select_partial_match_range_query,10,4,2968.56,2968.56,2968.56,0.00,0.00,1.86,0.00,0.00
query_differences_select_partial_match_range_query,12,4,3044.99,3044.99,3044.99,0.00,0.00,1.73,0.00,0.00
query_differences_select_partial_match_range_query,14,4,2985.48,2985.48,2985.48,0.00,0.00,1.82,0.00,0.00
query_differences_select_partial_match_range_query,16,4,3056.05,3056.05,3056.05,0.00,0.00,1.67,0.00,0.00
query_differences_select_partial_match_range_query,18,4,3106.00,3106.00,3106.00,0.00,0.00,1.58,0.00,0.00
