Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
combined_match_with_range,2,4,3274.41,8345.86,3274.41,1270.36,3801.09,1.52,0.00,0.00,5071.45
combined_match_with_range,4,4,3331.01,8269.18,3329.01,1234.29,3705.88,2407.09,0.00,0.00,4940.17
combined_match_with_range,6,4,3302.52,8395.55,3300.52,1272.51,3822.52,2407.15,0.00,0.00,5095.03
combined_match_with_range,8,4,3332.96,8586.87,3330.96,1312.98,3942.93,2321.99,0.00,0.00,5255.91
combined_match_with_range,10,4,3343.55,8471.51,3341.55,1281.49,3848.47,2364.16,0.00,0.00,5129.96
combined_match_with_range,12,4,3305.05,8264.76,3303.05,1239.43,3722.29,2364.22,0.00,0.00,4961.71
combined_match_with_range,14,4,3335.06,8553.52,3335.06,1304.62,3913.85,1.47,0.00,0.00,5218.46
combined_match_with_range,16,4,3329.38,8507.49,3327.38,1294.03,3886.08,2321.99,0.00,0.00,5180.11
combined_match_with_range,18,4,3327.46,8114.82,3325.46,1196.47,3592.90,2364.22,0.00,0.00,4789.36
full_match,2,4,11436.86,16508.31,11436.86,1270.36,3801.09,0.50,0.00,0.00,5071.45
full_match,4,4,11438.85,16377.02,11436.85,1234.29,3705.88,2406.17,0.00,0.00,4940.17
full_match,6,4,11760.43,16853.46,11758.43,1272.51,3822.52,2406.14,0.00,0.00,5095.03
full_match,8,4,11650.00,16903.91,11648.00,1312.98,3942.93,2321.04,0.00,0.00,5255.91
full_match,10,4,11620.56,16748.52,11618.56,1281.49,3848.47,2363.21,0.00,0.00,5129.96
full_match,12,4,11790.94,16750.65,11788.94,1239.43,3722.29,2363.20,0.00,0.00,4961.71
full_match,14,4,11685.84,16904.30,11685.84,1304.62,3913.85,0.49,0.00,0.00,5218.46
full_match,16,4,11646.69,16824.80,11644.69,1294.03,3886.08,2321.04,0.00,0.00,5180.11
full_match,18,4,11676.53,16463.89,11674.53,1196.47,3592.90,2363.20,0.00,0.00,4789.36
leftmost_prefix,2,4,2872.26,7943.71,2872.26,1270.36,3801.09,1.82,0.00,0.00,5071.45
leftmost_prefix,4,4,2866.75,7804.92,2864.75,1234.29,3705.88,2407.47,0.00,0.00,4940.17
leftmost_prefix,6,4,2863.52,7957.05,2862.02,1272.51,3822.52,2407.47,0.00,0.00,5095.03
leftmost_prefix,8,4,2909.58,8162.99,2907.08,1312.98,3942.93,2322.34,0.00,0.00,5255.91
leftmost_prefix,10,4,2892.89,8020.85,2890.89,1281.49,3848.47,2364.51,0.00,0.00,5129.96
leftmost_prefix,12,4,2904.56,7864.27,2902.56,1239.43,3722.29,2364.54,0.00,0.00,4961.71
leftmost_prefix,14,4,2894.50,8112.96,2894.50,1304.62,3913.85,1.82,0.00,0.00,5218.46
leftmost_prefix,16,4,2911.50,8089.61,2909.50,1294.03,3886.08,2322.31,0.00,0.00,5180.11
leftmost_prefix,18,4,2918.51,7705.87,2916.51,1196.47,3592.90,2364.48,0.00,0.00,4789.36
partial_match_range_query,2,4,3131.94,8203.39,3131.94,1270.36,3801.09,1.58,0.00,0.00,5071.45
partial_match_range_query,4,4,3138.00,8076.17,3136.00,1234.29,3705.88,2407.23,0.00,0.00,4940.17
partial_match_range_query,6,4,3140.99,8234.02,3138.99,1272.51,3822.52,2407.32,0.00,0.00,5095.03
partial_match_range_query,8,4,3197.00,8450.91,3195.00,1312.98,3942.93,2322.05,0.00,0.00,5255.91
partial_match_range_query,10,4,3182.04,8310.00,3180.04,1281.49,3848.47,2364.27,0.00,0.00,5129.96
partial_match_range_query,12,4,3173.47,8133.18,3171.47,1239.43,3722.29,2364.27,0.00,0.00,4961.71
partial_match_range_query,14,4,3177.01,8395.47,3177.01,1304.62,3913.85,1.55,0.00,0.00,5218.46
partial_match_range_query,16,4,3195.01,8373.12,3193.01,1294.03,3886.08,2322.07,0.00,0.00,5180.11
partial_match_range_query,18,4,3131.10,7918.46,3129.10,1196.47,3592.90,2364.39,0.00,0.00,4789.36
