Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
query_differences_insert,2,4,0.00,5145.41,0.00,1288.35,3857.06,0.00,0.00,0.00
query_differences_insert,4,4,2.00,5167.09,0.00,1290.77,3876.32,2320.55,0.00,0.00
query_differences_insert,6,4,2.00,5118.00,0.00,1278.50,3839.50,2362.72,0.00,0.00
query_differences_insert,8,4,2.00,5574.20,0.00,1392.55,4181.65,2238.47,0.00,0.00
query_differences_insert,10,4,2.00,5230.34,0.00,1306.96,3923.38,2198.52,0.00,0.00
query_differences_insert,12,4,2.00,5439.46,0.00,1358.49,4080.97,2238.47,0.00,0.00
query_differences_insert,14,4,2.00,5386.63,0.00,1346.03,4040.59,2238.47,0.00,0.00
query_differences_insert,16,4,2.00,5229.51,0.00,1306.00,3923.51,2279.14,0.00,0.00
query_differences_insert,18,4,0.00,5033.90,0.00,1258.48,3775.43,0.00,0.00,0.00
query_differences_select_combined_match_with_range,2,4,3293.39,3293.39,3293.39,0.00,0.00,1.50,0.00,0.00
query_differences_select_combined_match_with_range,4,4,3283.98,3283.98,3283.98,0.00,0.00,1.55,0.00,0.00
query_differences_select_combined_match_with_range,6,4,3252.09,3252.09,3252.09,0.00,0.00,1.61,0.00,0.00
query_differences_select_combined_match_with_range,8,4,3298.46,3298.46,3298.46,0.00,0.00,1.50,0.00,0.00
query_differences_select_combined_match_with_range,10,4,3328.46,3328.46,3328.46,0.00,0.00,1.47,0.00,0.00
query_differences_select_combined_match_with_range,12,4,3310.00,3310.00,3310.00,0.00,0.00,1.50,0.00,0.00
query_differences_select_combined_match_with_range,14,4,3295.99,3295.99,3295.99,0.00,0.00,1.52,0.00,0.00
query_differences_select_combined_match_with_range,16,4,3323.98,3323.98,3323.98,0.00,0.00,1.47,0.00,0.00
query_differences_select_combined_match_with_range,18,4,3297.53,3297.53,3297.53,0.00,0.00,1.50,0.00,0.00
query_differences_select_full_match,2,4,11503.39,11503.39,11503.39,0.00,0.00,0.50,0.00,0.00
query_differences_select_full_match,4,4,11580.43,11580.43,11580.43,0.00,0.00,0.50,0.00,0.00
query_differences_select_full_match,6,4,11574.90,11574.90,11574.90,0.00,0.00,0.49,0.00,0.00
query_differences_select_full_match,8,4,11604.35,11604.35,11604.35,0.00,0.00,0.49,0.00,0.00
query_differences_select_full_match,10,4,11594.90,11594.90,11594.90,0.00,0.00,0.50,0.00,0.00
query_differences_select_full_match,12,4,11673.22,11673.22,11673.22,0.00,0.00,0.48,0.00,0.00
query_differences_select_full_match,14,4,11613.61,11613.61,11613.61,0.00,0.00,0.49,0.00,0.00
query_differences_select_full_match,16,4,11680.51,11680.51,11680.51,0.00,0.00,0.48,0.00,0.00
query_differences_select_full_match,18,4,12199.40,12199.40,12199.40,0.00,0.00,0.46,0.00,0.00
query_differences_select_leftmost_prefix,2,4,2819.97,2819.97,2819.97,0.00,0.00,1.82,0.00,0.00
query_differences_select_leftmost_prefix,4,4,2837.91,2837.91,2837.91,0.00,0.00,1.79,0.00,0.00
query_differences_select_leftmost_prefix,6,4,2810.16,2810.16,2810.16,0.00,0.00,1.89,0.00,0.00
query_differences_select_leftmost_prefix,8,4,2788.52,2788.52,2788.52,0.00,0.00,1.86,0.00,0.00
query_differences_select_leftmost_prefix,10,4,2779.46,2779.46,2779.46,0.00,0.00,1.89,0.00,0.00
query_differences_select_leftmost_prefix,12,4,2817.01,2817.01,2817.01,0.00,0.00,1.86,0.00,0.00
query_differences_select_leftmost_prefix,14,4,2856.99,2856.99,2856.99,0.00,0.00,1.82,0.00,0.00
query_differences_select_leftmost_prefix,16,4,2879.48,2879.48,2879.48,0.00,0.00,1.86,0.00,0.00
query_differences_select_leftmost_prefix,18,4,2785.59,2785.59,2785.59,0.00,0.00,1.93,0.00,0.00
query_differences_select_partial_match_range_query,2,4,3145.42,3145.42,3145.42,0.00,0.00,1.58,0.00,0.00
query_differences_select_partial_match_range_query,4,4,3109.21,3109.21,3109.21,0.00,0.00,1.79,0.00,0.00
query_differences_select_partial_match_range_query,6,4,3170.77,3170.77,3170.77,0.00,0.00,1.61,0.00,0.00
query_differences_select_partial_match_range_query,8,4,3184.87,3184.87,3184.87,0.00,0.00,1.61,0.00,0.00
query_differences_select_partial_match_range_query,10,4,3182.64,3182.64,3182.64,0.00,0.00,1.61,0.00,0.00
query_differences_select_partial_match_range_query,12,4,3195.04,3195.04,3195.04,0.00,0.00,1.55,0.00,0.00
query_differences_select_partial_match_range_query,14,4,3180.46,3180.46,3180.46,0.00,0.00,1.58,0.00,0.00
query_differences_select_partial_match_range_query,16,4,3178.04,3178.04,3178.04,0.00,0.00,1.58,0.00,0.00
query_differences_select_partial_match_range_query,18,4,3179.00,3179.00,3179.00,0.00,0.00,1.52,0.00,0.00
