Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
combined_match_with_range,2,4,3279.45,7169.42,3279.45,971.99,2917.97,1.64,0.00,0.00,3889.97
combined_match_with_range,4,4,3357.43,7007.39,3355.43,912.24,2739.72,3096.88,0.00,0.00,3651.96
combined_match_with_range,6,4,3356.97,7223.93,3356.97,966.49,2900.47,1.44,0.00,0.00,3866.96
combined_match_with_range,8,4,3298.97,7506.86,3296.97,1051.47,3158.42,3153.12,0.00,0.00,4209.89
combined_match_with_range,10,4,3374.54,7350.61,3372.54,993.52,2984.56,2987.31,0.00,0.00,3978.07
combined_match_with_range,12,4,3345.06,7560.90,3345.06,1053.96,3161.88,1.47,0.00,0.00,4215.84
combined_match_with_range,14,4,3376.92,7377.00,3374.92,999.52,3002.56,2881.69,0.00,0.00,4002.08
combined_match_with_range,16,4,3370.02,7634.28,3368.02,1065.56,3200.69,2934.04,0.00,0.00,4266.26
combined_match_with_range,18,4,3377.65,7432.02,3375.65,1013.47,3042.90,2934.02,0.00,0.00,4056.37
full_match,2,4,11699.46,15589.43,11699.46,971.99,2917.97,0.48,0.00,0.00,3889.97
full_match,4,4,11753.34,15403.30,11751.34,912.24,2739.72,3095.86,0.00,0.00,3651.96
full_match,6,4,11755.96,15622.92,11755.96,966.49,2900.47,0.48,0.00,0.00,3866.96
full_match,8,4,11827.29,16035.18,11825.29,1051.47,3158.42,3152.09,0.00,0.00,4209.89
full_match,10,4,11766.70,15742.77,11764.70,993.52,2984.56,2986.37,0.00,0.00,3978.07
full_match,12,4,11823.04,16038.88,11823.04,1053.96,3161.88,0.47,0.00,0.00,4215.84
full_match,14,4,11782.53,15782.61,11780.53,999.52,3002.56,2880.74,0.00,0.00,4002.08
full_match,16,4,11988.47,16252.73,11986.47,1065.56,3200.69,2933.08,0.00,0.00,4266.26
full_match,18,4,11975.53,16029.90,11973.53,1013.47,3042.90,2933.07,0.00,0.00,4056.37
leftmost_prefix,2,4,2820.11,6710.08,2820.11,971.99,2917.97,1.76,0.00,0.00,3889.97
leftmost_prefix,4,4,2846.37,6496.33,2844.37,912.24,2739.72,3097.20,0.00,0.00,3651.96
leftmost_prefix,6,4,2852.60,6719.56,2852.60,966.49,2900.47,1.82,0.00,0.00,3866.96
leftmost_prefix,8,4,2845.94,7053.83,2843.94,1051.47,3158.42,3153.44,0.00,0.00,4209.89
leftmost_prefix,10,4,2758.58,6734.65,2756.58,993.52,2984.56,2987.75,0.00,0.00,3978.07
leftmost_prefix,12,4,2791.50,7007.34,2791.50,1053.96,3161.88,1.82,0.00,0.00,4215.84
leftmost_prefix,14,4,2772.99,6773.07,2770.99,999.52,3002.56,2882.09,0.00,0.00,4002.08
leftmost_prefix,16,4,2782.94,7047.20,2780.94,1065.56,3200.69,2934.53,0.00,0.00,4266.26
leftmost_prefix,18,4,2714.56,6768.93,2712.56,1013.47,3042.90,2934.56,0.00,0.00,4056.37
partial_match_range_query,2,4,3087.00,6976.97,3087.00,971.99,2917.97,1.61,0.00,0.00,3889.97
partial_match_range_query,4,4,3202.48,6852.44,3200.48,912.24,2739.72,3096.90,0.00,0.00,3651.96
partial_match_range_query,6,4,3181.59,7048.55,3181.59,966.49,2900.47,1.52,0.00,0.00,3866.96
partial_match_range_query,8,4,3201.91,7409.80,3199.91,1051.47,3158.42,3153.14,0.00,0.00,4209.89
partial_match_range_query,10,4,3181.52,7157.59,3179.52,993.52,2984.56,2987.44,0.00,0.00,3978.07
partial_match_range_query,12,4,3198.56,7414.40,3198.56,1053.96,3161.88,1.52,0.00,0.00,4215.84
partial_match_range_query,14,4,3194.51,7194.59,3192.51,999.52,3002.56,2881.79,0.00,0.00,4002.08
partial_match_range_query,16,4,3201.88,7466.14,3199.88,1065.56,3200.69,2934.10,0.00,0.00,4266.26
partial_match_range_query,18,4,3202.60,7256.97,3200.60,1013.47,3042.90,2934.12,0.00,0.00,4056.37
