Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
query_differences_insert,2,4,0.00,3889.97,0.00,971.99,2917.97,0.00,0.00,0.00
query_differences_insert,4,4,2.00,3651.96,0.00,912.24,2739.72,3095.38,0.00,0.00
query_differences_insert,6,4,0.00,3866.96,0.00,966.49,2900.47,0.00,0.00,0.00
query_differences_insert,8,4,2.00,4209.89,0.00,1051.47,3158.42,3151.62,0.00,0.00
query_differences_insert,10,4,2.00,3978.07,0.00,993.52,2984.56,2985.89,0.00,0.00
query_differences_insert,12,4,0.00,4215.84,0.00,1053.96,3161.88,0.00,0.00,0.00
query_differences_insert,14,4,2.00,4002.08,0.00,999.52,3002.56,2880.27,0.00,0.00
query_differences_insert,16,4,2.00,4266.26,0.00,1065.56,3200.69,2932.60,0.00,0.00
query_differences_insert,18,4,2.00,4056.37,0.00,1013.47,3042.90,2932.60,0.00,0.00
query_differences_insert,20,4,0.00,4073.55,0.00,1018.01,3055.53,0.00,0.00,0.00
query_differences_select_combined_match_with_range,2,4,3279.45,3279.45,3279.45,0.00,0.00,1.64,0.00,0.00
query_differences_select_combined_match_with_range,4,4,3355.43,3355.43,3355.43,0.00,0.00,1.50,0.00,0.00
query_differences_select_combined_match_with_range,6,4,3356.97,3356.97,3356.97,0.00,0.00,1.44,0.00,0.00
query_differences_select_combined_match_with_range,8,4,3296.97,3296.97,3296.97,0.00,0.00,1.50,0.00,0.00
query_differences_select_combined_match_with_range,10,4,3372.54,3372.54,3372.54,0.00,0.00,1.42,0.00,0.00
query_differences_select_combined_match_with_range,12,4,3345.06,3345.06,3345.06,0.00,0.00,1.47,0.00,0.00
query_differences_select_combined_match_with_range,14,4,3374.92,3374.92,3374.92,0.00,0.00,1.42,0.00,0.00
query_differences_select_combined_match_with_range,16,4,3368.02,3368.02,3368.02,0.00,0.00,1.44,0.00,0.00
query_differences_select_combined_match_with_range,18,4,3375.65,3375.65,3375.65,0.00,0.00,1.42,0.00,0.00
query_differences_select_full_match,2,4,11699.46,11699.46,11699.46,0.00,0.00,0.48,0.00,0.00
query_differences_select_full_match,4,4,11751.34,11751.34,11751.34,0.00,0.00,0.48,0.00,0.00
query_differences_select_full_match,6,4,11755.96,11755.96,11755.96,0.00,0.00,0.48,0.00,0.00
query_differences_select_full_match,8,4,11825.29,11825.29,11825.29,0.00,0.00,0.47,0.00,0.00
query_differences_select_full_match,10,4,11764.70,11764.70,11764.70,0.00,0.00,0.48,0.00,0.00
query_differences_select_full_match,12,4,11823.04,11823.04,11823.04,0.00,0.00,0.47,0.00,0.00
query_differences_select_full_match,14,4,11780.53,11780.53,11780.53,0.00,0.00,0.47,0.00,0.00
query_differences_select_full_match,16,4,11986.47,11986.47,11986.47,0.00,0.00,0.48,0.00,0.00
query_differences_select_full_match,18,4,11973.53,11973.53,11973.53,0.00,0.00,0.47,0.00,0.00
query_differences_select_leftmost_prefix,2,4,2820.11,2820.11,2820.11,0.00,0.00,1.76,0.00,0.00
query_differences_select_leftmost_prefix,4,4,2844.37,2844.37,2844.37,0.00,0.00,1.82,0.00,0.00
query_differences_select_leftmost_prefix,6,4,2852.60,2852.60,2852.60,0.00,0.00,1.82,0.00,0.00
query_differences_select_leftmost_prefix,8,4,2843.94,2843.94,2843.94,0.00,0.00,1.82,0.00,0.00
query_differences_select_leftmost_prefix,10,4,2756.58,2756.58,2756.58,0.00,0.00,1.86,0.00,0.00
query_differences_select_leftmost_prefix,12,4,2791.50,2791.50,2791.50,0.00,0.00,1.82,0.00,0.00
query_differences_select_leftmost_prefix,14,4,2770.99,2770.99,2770.99,0.00,0.00,1.82,0.00,0.00
query_differences_select_leftmost_prefix,16,4,2780.94,2780.94,2780.94,0.00,0.00,1.93,0.00,0.00
query_differences_select_leftmost_prefix,18,4,2712.56,2712.56,2712.56,0.00,0.00,1.96,0.00,0.00
query_differences_select_partial_match_range_query,2,4,3087.00,3087.00,3087.00,0.00,0.00,1.61,0.00,0.00
query_differences_select_partial_match_range_query,4,4,3200.48,3200.48,3200.48,0.00,0.00,1.52,0.00,0.00
query_differences_select_partial_match_range_query,6,4,3181.59,3181.59,3181.59,0.00,0.00,1.52,0.00,0.00
query_differences_select_partial_match_range_query,8,4,3199.91,3199.91,3199.91,0.00,0.00,1.52,0.00,0.00
query_differences_select_partial_match_range_query,10,4,3179.52,3179.52,3179.52,0.00,0.00,1.55,0.00,0.00
query_differences_select_partial_match_range_query,12,4,3198.56,3198.56,3198.56,0.00,0.00,1.52,0.00,0.00
query_differences_select_partial_match_range_query,14,4,3192.51,3192.51,3192.51,0.00,0.00,1.52,0.00,0.00
query_differences_select_partial_match_range_query,16,4,3199.88,3199.88,3199.88,0.00,0.00,1.50,0.00,0.00
query_differences_select_partial_match_range_query,18,4,3200.60,3200.60,3200.60,0.00,0.00,1.52,0.00,0.00
