Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
query_differences_insert,2,4,2.00,6005.42,0.00,1503.35,4502.07,2009.23,0.00,0.00
query_differences_insert,4,4,0.00,5894.88,0.00,1473.22,4421.66,0.00,0.00,0.00
query_differences_insert,6,4,4.00,6127.97,0.00,1529.99,4597.98,2045.74,0.00,0.00
query_differences_insert,8,4,0.00,5868.20,0.00,1467.05,4401.15,0.00,0.00,0.00
query_differences_insert,10,4,2.00,5829.81,0.00,1456.45,4373.36,2045.74,0.00,0.00
query_differences_insert,12,4,2.00,6063.98,0.00,1514.99,4548.98,2045.74,0.00,0.00
query_differences_insert,14,4,2.00,6084.08,0.00,1520.02,4564.06,1973.38,0.00,0.00
query_differences_insert,16,4,2.00,5977.04,0.00,1493.51,4483.53,1973.38,0.00,0.00
query_differences_insert,18,4,2.00,6050.81,0.00,1511.45,4539.36,2009.23,0.00,0.00
query_differences_select_combined_match_with_range,2,4,3348.33,3348.33,3348.33,0.00,0.00,1.47,0.00,0.00
query_differences_select_combined_match_with_range,4,4,3377.03,3377.03,3377.03,0.00,0.00,1.47,0.00,0.00
query_differences_select_combined_match_with_range,6,4,3369.50,3369.50,3369.50,0.00,0.00,1.44,0.00,0.00
query_differences_select_combined_match_with_range,8,4,3399.08,3399.08,3399.08,0.00,0.00,1.44,0.00,0.00
query_differences_select_combined_match_with_range,10,4,3357.95,3357.95,3357.95,0.00,0.00,1.50,0.00,0.00
query_differences_select_combined_match_with_range,12,4,3376.46,3376.46,3376.46,0.00,0.00,1.44,0.00,0.00
query_differences_select_combined_match_with_range,14,4,3388.04,3388.04,3388.04,0.00,0.00,1.44,0.00,0.00
query_differences_select_combined_match_with_range,16,4,3395.96,3395.96,3395.96,0.00,0.00,1.42,0.00,0.00
query_differences_select_combined_match_with_range,18,4,3386.09,3386.09,3386.09,0.00,0.00,1.47,0.00,0.00
query_differences_select_full_match,2,4,11756.34,11756.34,11756.34,0.00,0.00,0.48,0.00,0.00
query_differences_select_full_match,4,4,11853.87,11853.87,11853.87,0.00,0.00,0.47,0.00,0.00
query_differences_select_full_match,6,4,11992.55,11992.55,11992.55,0.00,0.00,0.46,0.00,0.00
query_differences_select_full_match,8,4,11941.47,11941.47,11941.47,0.00,0.00,0.47,0.00,0.00
query_differences_select_full_match,10,4,11932.24,11932.24,11932.24,0.00,0.00,0.47,0.00,0.00
query_differences_select_full_match,12,4,11826.28,11826.28,11826.28,0.00,0.00,0.48,0.00,0.00
query_differences_select_full_match,14,4,11792.69,11792.69,11792.69,0.00,0.00,0.48,0.00,0.00
query_differences_select_full_match,16,4,11823.81,11823.81,11823.81,0.00,0.00,0.48,0.00,0.00
query_differences_select_full_match,18,4,11833.95,11833.95,11833.95,0.00,0.00,0.48,0.00,0.00
query_differences_select_leftmost_prefix,2,4,2862.18,2862.18,2862.18,0.00,0.00,1.76,0.00,0.00
query_differences_select_leftmost_prefix,4,4,2900.35,2900.35,2900.35,0.00,0.00,1.76,0.00,0.00
query_differences_select_leftmost_prefix,6,4,2895.05,2895.05,2895.05,0.00,0.00,1.79,0.00,0.00
query_differences_select_leftmost_prefix,8,4,2894.36,2894.36,2894.36,0.00,0.00,1.79,0.00,0.00
query_differences_select_leftmost_prefix,10,4,2893.69,2893.69,2893.69,0.00,0.00,1.82,0.00,0.00
query_differences_select_leftmost_prefix,12,4,2900.97,2900.97,2900.97,0.00,0.00,1.79,0.00,0.00
query_differences_select_leftmost_prefix,14,4,2895.42,2895.42,2895.42,0.00,0.00,1.79,0.00,0.00
query_differences_select_leftmost_prefix,16,4,2888.02,2888.02,2888.02,0.00,0.00,1.79,0.00,0.00
query_differences_select_leftmost_prefix,18,4,2870.55,2870.55,2870.55,0.00,0.00,1.82,0.00,0.00
query_differences_select_partial_match_range_query,2,4,3107.43,3107.43,3107.43,0.00,0.00,1.73,0.00,0.00
query_differences_select_partial_match_range_query,4,4,3173.05,3173.05,3173.05,0.00,0.00,1.55,0.00,0.00
query_differences_select_partial_match_range_query,6,4,3152.50,3152.50,3152.50,0.00,0.00,1.61,0.00,0.00
query_differences_select_partial_match_range_query,8,4,3162.06,3162.06,3162.06,0.00,0.00,1.67,0.00,0.00
query_differences_select_partial_match_range_query,10,4,3207.48,3207.48,3207.48,0.00,0.00,1.50,0.00,0.00
query_differences_select_partial_match_range_query,12,4,3204.60,3204.60,3204.60,0.00,0.00,1.50,0.00,0.00
query_differences_select_partial_match_range_query,14,4,3210.44,3210.44,3210.44,0.00,0.00,1.52,0.00,0.00
query_differences_select_partial_match_range_query,16,4,3165.50,3165.50,3165.50,0.00,0.00,1.58,0.00,0.00
query_differences_select_partial_match_range_query,18,4,3212.05,3212.05,3212.05,0.00,0.00,1.50,0.00,0.00
