Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
query_differences_insert,2,4,2.00,6502.56,0.00,1623.14,4879.42,1836.24,0.00,0.00
query_differences_insert,4,4,2.00,6543.61,0.00,1634.90,4908.71,1836.24,0.00,0.00
query_differences_insert,6,4,2.00,6660.08,0.00,1664.02,4996.06,1803.47,0.00,0.00
query_differences_insert,8,4,2.00,6550.15,0.00,1636.54,4913.61,1836.24,0.00,0.00
query_differences_insert,10,4,2.00,6641.61,0.00,1659.40,4982.21,1836.24,0.00,0.00
query_differences_insert,12,4,2.00,6618.26,0.00,1653.56,4964.69,1803.47,0.00,0.00
query_differences_insert,14,4,2.00,6603.95,0.00,1649.99,4953.96,1803.47,0.00,0.00
query_differences_insert,16,4,2.00,6607.66,0.00,1651.04,4956.62,1836.24,0.00,0.00
query_differences_insert,18,4,2.00,6682.39,0.00,1669.47,5012.92,1803.47,0.00,0.00
query_differences_select_combined_match_with_range,2,4,3246.86,3246.86,3246.86,0.00,0.00,1.70,0.00,0.00
query_differences_select_combined_match_with_range,4,4,3357.13,3357.13,3357.13,0.00,0.00,1.44,0.00,0.00
query_differences_select_combined_match_with_range,6,4,3353.42,3353.42,3353.42,0.00,0.00,1.44,0.00,0.00
query_differences_select_combined_match_with_range,8,4,3344.07,3344.07,3344.07,0.00,0.00,1.44,0.00,0.00
query_differences_select_combined_match_with_range,10,4,3358.95,3358.95,3358.95,0.00,0.00,1.44,0.00,0.00
query_differences_select_combined_match_with_range,12,4,3358.05,3358.05,3358.05,0.00,0.00,1.47,0.00,0.00
query_differences_select_combined_match_with_range,14,4,3355.89,3355.89,3355.89,0.00,0.00,1.44,0.00,0.00
query_differences_select_combined_match_with_range,16,4,3367.54,3367.54,3367.54,0.00,0.00,1.42,0.00,0.00
query_differences_select_combined_match_with_range,18,4,3355.62,3355.62,3355.62,0.00,0.00,1.47,0.00,0.00
query_differences_select_full_match,2,4,11739.65,11739.65,11739.65,0.00,0.00,0.47,0.00,0.00
query_differences_select_full_match,4,4,11839.42,11839.42,11839.42,0.00,0.00,0.48,0.00,0.00
query_differences_select_full_match,6,4,11810.98,11810.98,11810.98,0.00,0.00,0.48,0.00,0.00
query_differences_select_full_match,8,4,11889.03,11889.03,11889.03,0.00,0.00,0.47,0.00,0.00
query_differences_select_full_match,10,4,11826.97,11826.97,11826.97,0.00,0.00,0.48,0.00,0.00
query_differences_select_full_match,12,4,11896.04,11896.04,11896.04,0.00,0.00,0.48,0.00,0.00
query_differences_select_full_match,14,4,11847.91,11847.91,11847.91,0.00,0.00,0.48,0.00,0.00
query_differences_select_full_match,16,4,11824.59,11824.59,11824.59,0.00,0.00,0.47,0.00,0.00
query_differences_select_full_match,18,4,11834.97,11834.97,11834.97,0.00,0.00,0.48,0.00,0.00
query_differences_select_leftmost_prefix,2,4,2840.11,2840.11,2840.11,0.00,0.00,1.79,0.00,0.00
query_differences_select_leftmost_prefix,4,4,2867.44,2867.44,2867.44,0.00,0.00,1.79,0.00,0.00
query_differences_select_leftmost_prefix,6,4,2870.53,2870.53,2870.53,0.00,0.00,1.79,0.00,0.00
query_differences_select_leftmost_prefix,8,4,2870.52,2870.52,2870.52,0.00,0.00,1.79,0.00,0.00
query_differences_select_leftmost_prefix,10,4,2871.47,2871.47,2871.47,0.00,0.00,1.82,0.00,0.00
query_differences_select_leftmost_prefix,12,4,2863.97,2863.97,2863.97,0.00,0.00,1.82,0.00,0.00
query_differences_select_leftmost_prefix,14,4,2865.51,2865.51,2865.51,0.00,0.00,1.79,0.00,0.00
query_differences_select_leftmost_prefix,16,4,2832.04,2832.04,2832.04,0.00,0.00,1.86,0.00,0.00
query_differences_select_leftmost_prefix,18,4,2835.03,2835.03,2835.03,0.00,0.00,1.93,0.00,0.00
query_differences_select_partial_match_range_query,2,4,3101.36,3101.36,3101.36,0.00,0.00,1.67,0.00,0.00
query_differences_select_partial_match_range_query,4,4,3209.31,3209.31,3209.31,0.00,0.00,1.50,0.00,0.00
query_differences_select_partial_match_range_query,6,4,3209.37,3209.37,3209.37,0.00,0.00,1.50,0.00,0.00
query_differences_select_partial_match_range_query,8,4,3210.89,3210.89,3210.89,0.00,0.00,1.52,0.00,0.00
query_differences_select_partial_match_range_query,10,4,3219.13,3219.13,3219.13,0.00,0.00,1.50,0.00,0.00
query_differences_select_partial_match_range_query,12,4,3212.34,3212.34,3212.34,0.00,0.00,1.52,0.00,0.00
query_differences_select_partial_match_range_query,14,4,3179.52,3179.52,3179.52,0.00,0.00,1.55,0.00,0.00
query_differences_select_partial_match_range_query,16,4,3177.55,3177.55,3177.55,0.00,0.00,1.55,0.00,0.00
query_differences_select_partial_match_range_query,18,4,3175.99,3175.99,3175.99,0.00,0.00,1.55,0.00,0.00
