Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
with_index_length_400,1.00,1.00,1098.18,3888.99,3292.53,591.46,5.00,658.90,0.00,0.00
with_index_length_400,2.00,1.00,1094.32,3872.24,3280.96,589.28,2.00,695.44,0.00,0.00
with_index_length_400,3.00,1.00,1116.98,4032.95,3342.94,686.01,4.00,683.03,0.00,0.00
with_index_length_400,4.00,1.00,1108.01,4049.00,3319.02,725.98,4.00,570.66,0.00,0.00
with_index_length_400,5.00,1.00,1101.96,3972.89,3300.87,668.02,4.00,613.20,0.00,0.00
with_index_length_400,6.00,1.00,1097.06,3983.18,3287.19,693.99,2.00,570.66,0.00,0.00
with_index_length_400,7.00,1.00,1094.00,3891.01,3277.00,610.01,4.00,635.65,0.00,0.00
with_index_length_400,8.00,1.00,1114.00,3909.00,3337.01,569.99,2.00,695.42,0.00,0.00
with_index_length_4000,1.00,1.00,351.77,1727.70,1057.30,667.41,3.00,2.97,0.00,0.00
with_index_length_4000,2.00,1.00,357.06,1747.47,1070.19,677.28,0.00,2.91,0.00,0.00
with_index_length_4000,3.00,1.00,356.02,1741.06,1069.06,672.00,0.00,2.97,0.00,0.00
with_index_length_4000,4.00,1.00,359.96,1731.87,1077.88,653.99,0.00,2.91,0.00,0.00
with_index_length_4000,5.00,1.00,358.03,1685.10,1075.08,610.02,0.00,2.91,0.00,0.00
with_index_length_4000,6.00,1.00,353.00,1606.00,1059.01,546.99,0.00,2.97,0.00,0.00
with_index_length_4000,7.00,1.00,359.00,1596.02,1073.00,521.02,2.00,6363.82,0.00,0.00
with_index_length_4000,8.00,1.00,360.00,1723.00,1081.00,642.00,0.00,2.91,0.00,0.00
without_index_length_400,1.00,1.00,859.42,3428.46,2574.26,847.21,6.99,468.51,0.00,0.00
without_index_length_400,2.00,1.00,858.20,3237.90,2571.59,664.31,2.00,581.27,0.00,0.00
without_index_length_400,3.00,1.00,859.95,3301.85,2571.85,726.00,4.00,635.91,0.00,0.00
without_index_length_400,4.00,1.00,852.05,3163.15,2552.15,607.00,4.00,695.70,0.00,0.00
without_index_length_400,5.00,1.00,845.00,3193.02,2530.01,661.01,2.00,647.46,0.00,0.00
without_index_length_400,6.00,1.00,845.03,3185.08,2531.09,649.99,4.00,581.29,0.00,0.00
without_index_length_400,7.00,1.00,849.93,3118.79,2546.79,570.00,2.00,708.32,0.00,0.00
without_index_length_400,8.00,1.00,860.03,3278.04,2573.09,700.95,4.00,695.68,0.00,0.00
without_index_length_4000,1.00,1.00,178.87,1095.11,538.62,553.49,3.00,5.67,0.00,0.00
without_index_length_4000,2.00,1.00,181.02,1117.31,542.07,575.24,0.00,5.67,0.00,0.00
without_index_length_4000,3.00,1.00,179.02,1148.10,536.05,612.05,0.00,6.32,0.00,0.00
without_index_length_4000,4.00,1.00,175.99,1199.96,527.98,671.98,0.00,6.43,0.00,0.00
without_index_length_4000,5.00,1.00,179.00,1156.00,538.01,617.99,0.00,5.77,0.00,0.00
without_index_length_4000,6.00,1.00,183.01,1231.05,548.04,683.01,0.00,5.57,0.00,0.00
without_index_length_4000,7.00,1.00,182.98,1153.97,545.95,606.02,2.00,6366.58,0.00,0.00
without_index_length_4000,8.00,1.00,181.99,1135.98,546.97,589.01,0.00,5.57,0.00,0.00
