Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
with_index_length_400,1.00,1.00,1090.21,4232.82,3265.64,960.18,6.99,420.44,0.00,0.00
with_index_length_400,2.00,1.00,1088.28,4167.14,3258.84,904.30,4.00,443.72,0.00,0.00
with_index_length_400,3.00,1.00,1085.93,4194.76,3248.79,940.97,5.00,443.72,0.00,0.00
with_index_length_400,4.00,1.00,1087.08,4292.31,3256.24,1031.06,5.00,398.38,0.00,0.00
with_index_length_400,5.00,1.00,1092.00,4323.94,3264.99,1052.95,6.00,398.38,0.00,0.00
with_index_length_400,6.00,1.00,1102.94,4340.85,3304.81,1032.04,4.00,405.60,0.00,0.00
with_index_length_400,7.00,1.00,1100.05,4295.13,3290.15,998.98,6.00,405.58,0.00,0.00
with_index_length_4000,1.00,1.00,354.72,1948.31,1065.15,880.16,3.00,2.91,0.00,0.00
with_index_length_4000,2.00,1.00,358.13,2009.77,1075.38,934.39,0.00,2.91,0.00,0.00
with_index_length_4000,3.00,1.00,357.00,1994.04,1069.99,924.05,0.00,2.91,0.00,0.00
with_index_length_4000,4.00,1.00,355.00,1995.96,1065.00,930.96,0.00,2.91,0.00,0.00
with_index_length_4000,5.00,1.00,358.00,1981.02,1072.01,907.01,2.00,4360.95,0.00,0.00
with_index_length_4000,6.00,1.00,357.00,2111.99,1068.99,1043.00,0.00,2.91,0.00,0.00
with_index_length_4000,7.00,1.00,359.00,2077.01,1077.99,999.02,0.00,2.91,0.00,0.00
with_index_length_4000,8.00,1.00,358.01,2010.05,1075.04,935.01,0.00,2.91,0.00,0.00
without_index_length_400,1.00,1.00,862.42,3585.37,2582.25,996.13,6.99,405.84,0.00,0.00
without_index_length_400,2.00,1.00,861.18,3603.96,2573.54,1024.42,6.00,413.19,0.00,0.00
without_index_length_400,3.00,1.00,858.00,3626.00,2568.01,1053.99,4.00,391.55,0.00,0.00
without_index_length_400,4.00,1.00,870.98,3646.93,2605.94,1034.99,6.00,384.56,0.00,0.00
without_index_length_400,5.00,1.00,854.02,3601.04,2556.07,1040.97,4.00,391.53,0.00,0.00
without_index_length_400,6.00,1.00,866.00,3616.03,2588.01,1022.02,6.00,398.62,0.00,0.00
without_index_length_400,7.00,1.00,859.95,3647.86,2569.86,1072.00,6.00,398.62,0.00,0.00
without_index_length_400,8.00,1.00,873.04,3653.09,2614.11,1034.98,4.00,398.62,0.00,0.00
without_index_length_4000,1.00,1.00,179.84,1570.58,541.52,1026.06,3.00,5.57,0.00,0.00
without_index_length_4000,2.00,1.00,183.06,1550.68,548.17,1002.51,0.00,5.67,0.00,0.00
without_index_length_4000,3.00,1.00,180.02,1580.98,539.05,1041.93,0.00,5.67,0.00,0.00
without_index_length_4000,4.00,1.00,182.00,1611.00,544.00,1065.00,2.00,3847.65,0.00,0.00
without_index_length_4000,5.00,1.00,180.99,1570.97,543.97,1027.00,0.00,5.57,0.00,0.00
without_index_length_4000,6.00,1.00,180.00,1596.01,540.00,1056.01,0.00,5.77,0.00,0.00
without_index_length_4000,7.00,1.00,182.02,1549.05,546.05,1003.00,0.00,5.67,0.00,0.00
without_index_length_4000,8.00,1.00,181.98,1525.87,542.95,980.92,2.00,3917.46,0.00,0.00
