Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
with_index_length_400_insert,1,1,2.00,967.18,0.00,960.18,6.99,419.45,0.00,0.00
with_index_length_400_insert,2,1,2.00,908.30,0.00,904.30,4.00,442.73,0.00,0.00
with_index_length_400_insert,3,1,3.00,945.97,0.00,940.97,5.00,442.73,0.00,0.00
with_index_length_400_insert,4,1,2.00,1036.07,0.00,1031.06,5.00,397.39,0.00,0.00
with_index_length_400_insert,5,1,3.00,1058.95,0.00,1052.95,6.00,397.39,0.00,0.00
with_index_length_400_insert,6,1,2.00,1036.04,0.00,1032.04,4.00,404.61,0.00,0.00
with_index_length_400_insert,7,1,3.00,1004.98,0.00,998.98,6.00,404.61,0.00,0.00
with_index_length_400_insert,8,1,2.00,1001.03,0.00,997.03,4.00,404.61,0.00,0.00
with_index_length_400_select,1,1,1088.21,3265.64,3265.64,0.00,0.00,0.99,0.00,0.00
with_index_length_400_select,2,1,1086.28,3258.84,3258.84,0.00,0.00,0.99,0.00,0.00
with_index_length_400_select,3,1,1082.93,3248.79,3248.79,0.00,0.00,0.99,0.00,0.00
with_index_length_400_select,4,1,1085.08,3256.24,3256.24,0.00,0.00,0.99,0.00,0.00
with_index_length_400_select,5,1,1089.00,3264.99,3264.99,0.00,0.00,0.99,0.00,0.00
with_index_length_400_select,6,1,1100.94,3304.81,3304.81,0.00,0.00,0.99,0.00,0.00
with_index_length_400_select,7,1,1097.05,3290.15,3290.15,0.00,0.00,0.97,0.00,0.00
with_index_length_4000_insert,1,1,0.00,883.16,0.00,880.16,3.00,0.00,0.00,0.00
with_index_length_4000_insert,2,1,0.00,934.39,0.00,934.39,0.00,0.00,0.00,0.00
with_index_length_4000_insert,3,1,0.00,924.05,0.00,924.05,0.00,0.00,0.00,0.00
with_index_length_4000_insert,4,1,0.00,930.96,0.00,930.96,0.00,0.00,0.00,0.00
with_index_length_4000_insert,5,1,1.00,909.01,0.00,907.01,2.00,4358.09,0.00,0.00
with_index_length_4000_insert,6,1,0.00,1043.00,0.00,1043.00,0.00,0.00,0.00,0.00
with_index_length_4000_insert,7,1,0.00,999.02,0.00,999.02,0.00,0.00,0.00,0.00
with_index_length_4000_insert,8,1,0.00,935.01,0.00,935.01,0.00,0.00,0.00,0.00
with_index_length_4000_select,1,1,354.72,1065.15,1065.15,0.00,0.00,2.91,0.00,0.00
with_index_length_4000_select,2,1,358.13,1075.38,1075.38,0.00,0.00,2.91,0.00,0.00
with_index_length_4000_select,3,1,357.00,1069.99,1069.99,0.00,0.00,2.91,0.00,0.00
with_index_length_4000_select,4,1,355.00,1065.00,1065.00,0.00,0.00,2.91,0.00,0.00
with_index_length_4000_select,5,1,357.00,1072.01,1072.01,0.00,0.00,2.86,0.00,0.00
with_index_length_4000_select,6,1,357.00,1068.99,1068.99,0.00,0.00,2.91,0.00,0.00
with_index_length_4000_select,7,1,359.00,1077.99,1077.99,0.00,0.00,2.91,0.00,0.00
with_index_length_4000_select,8,1,358.01,1075.04,1075.04,0.00,0.00,2.91,0.00,0.00
without_index_length_400_insert,1,1,2.00,1003.12,0.00,996.13,6.99,404.61,0.00,0.00
without_index_length_400_insert,2,1,3.00,1030.42,0.00,1024.42,6.00,411.96,0.00,0.00
without_index_length_400_insert,3,1,2.00,1057.99,0.00,1053.99,4.00,390.30,0.00,0.00
without_index_length_400_insert,4,1,3.00,1040.99,0.00,1034.99,6.00,383.33,0.00,0.00
without_index_length_400_insert,5,1,2.00,1044.97,0.00,1040.97,4.00,390.30,0.00,0.00
without_index_length_400_insert,6,1,3.00,1028.02,0.00,1022.02,6.00,397.39,0.00,0.00
without_index_length_400_insert,7,1,3.00,1078.00,0.00,1072.00,6.00,397.39,0.00,0.00
without_index_length_400_insert,8,1,2.00,1038.98,0.00,1034.98,4.00,397.39,0.00,0.00
without_index_length_400_select,1,1,860.42,2582.25,2582.25,0.00,0.00,1.23,0.00,0.00
without_index_length_400_select,2,1,858.18,2573.54,2573.54,0.00,0.00,1.23,0.00,0.00
without_index_length_400_select,3,1,856.00,2568.01,2568.01,0.00,0.00,1.25,0.00,0.00
without_index_length_400_select,4,1,867.98,2605.94,2605.94,0.00,0.00,1.23,0.00,0.00
without_index_length_400_select,5,1,852.02,2556.07,2556.07,0.00,0.00,1.23,0.00,0.00
without_index_length_400_select,6,1,863.00,2588.01,2588.01,0.00,0.00,1.23,0.00,0.00
without_index_length_400_select,7,1,856.95,2569.86,2569.86,0.00,0.00,1.23,0.00,0.00
without_index_length_400_select,8,1,871.04,2614.11,2614.11,0.00,0.00,1.23,0.00,0.00
without_index_length_4000_insert,1,1,0.00,1029.06,0.00,1026.06,3.00,0.00,0.00,0.00
without_index_length_4000_insert,2,1,0.00,1002.51,0.00,1002.51,0.00,0.00,0.00,0.00
without_index_length_4000_insert,3,1,0.00,1041.93,0.00,1041.93,0.00,0.00,0.00,0.00
without_index_length_4000_insert,4,1,1.00,1067.00,0.00,1065.00,2.00,3841.98,0.00,0.00
without_index_length_4000_insert,5,1,0.00,1027.00,0.00,1027.00,0.00,0.00,0.00,0.00
without_index_length_4000_insert,6,1,0.00,1056.01,0.00,1056.01,0.00,0.00,0.00,0.00
without_index_length_4000_insert,7,1,0.00,1003.00,0.00,1003.00,0.00,0.00,0.00,0.00
without_index_length_4000_insert,8,1,1.00,982.92,0.00,980.92,2.00,3911.79,0.00,0.00
without_index_length_4000_insert,9,1,0.00,1057.05,0.00,1057.05,0.00,0.00,0.00,0.00
without_index_length_4000_insert,10,1,0.00,1039.03,0.00,1039.03,0.00,0.00,0.00,0.00
without_index_length_4000_insert,11,1,0.00,1000.01,0.00,1000.01,0.00,0.00,0.00,0.00
without_index_length_4000_select,1,1,179.84,541.52,541.52,0.00,0.00,5.57,0.00,0.00
without_index_length_4000_select,2,1,183.06,548.17,548.17,0.00,0.00,5.67,0.00,0.00
without_index_length_4000_select,3,1,180.02,539.05,539.05,0.00,0.00,5.67,0.00,0.00
without_index_length_4000_select,4,1,181.00,544.00,544.00,0.00,0.00,5.67,0.00,0.00
without_index_length_4000_select,5,1,180.99,543.97,543.97,0.00,0.00,5.57,0.00,0.00
without_index_length_4000_select,6,1,180.00,540.00,540.00,0.00,0.00,5.77,0.00,0.00
without_index_length_4000_select,7,1,182.02,546.05,546.05,0.00,0.00,5.67,0.00,0.00
without_index_length_4000_select,8,1,180.98,542.95,542.95,0.00,0.00,5.67,0.00,0.00
