Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
with_index_length_400_insert,1,1,2.00,1195.71,0.00,1188.72,6.99,337.94,0.00,0.00
with_index_length_400_insert,2,1,3.00,1205.77,0.00,1199.76,6.00,350.33,0.00,0.00
with_index_length_400_insert,3,1,3.00,1197.96,0.00,1191.96,6.00,344.08,0.00,0.00
with_index_length_400_insert,4,1,3.00,1216.97,0.00,1210.97,6.00,337.94,0.00,0.00
with_index_length_400_insert,5,1,4.00,1228.04,0.00,1222.04,6.00,331.91,0.00,0.00
with_index_length_400_insert,6,1,3.00,1220.00,0.00,1212.00,8.00,331.91,0.00,0.00
with_index_length_400_insert,7,1,3.00,1238.91,0.00,1232.91,6.00,331.91,0.00,0.00
with_index_length_400_insert,8,1,3.00,1220.06,0.00,1214.06,6.00,331.91,0.00,0.00
with_index_length_400_select,1,1,1014.29,3043.86,3043.86,0.00,0.00,1.08,0.00,0.00
with_index_length_400_select,2,1,1051.21,3154.64,3154.64,0.00,0.00,1.03,0.00,0.00
with_index_length_400_select,3,1,1048.02,3143.06,3143.06,0.00,0.00,1.03,0.00,0.00
with_index_length_400_select,4,1,1058.00,3173.00,3173.00,0.00,0.00,1.01,0.00,0.00
with_index_length_400_select,5,1,1038.02,3115.07,3115.07,0.00,0.00,1.04,0.00,0.00
with_index_length_400_select,6,1,1034.91,3103.72,3103.72,0.00,0.00,1.04,0.00,0.00
with_index_length_400_select,7,1,1064.01,3194.03,3194.03,0.00,0.00,1.01,0.00,0.00
with_index_length_400_select,8,1,1054.10,3161.30,3161.30,0.00,0.00,1.01,0.00,0.00
with_index_length_4000_insert,1,1,0.00,1234.75,0.00,1231.75,3.00,0.00,0.00,0.00
with_index_length_4000_insert,2,1,0.00,1255.69,0.00,1255.69,0.00,0.00,0.00,0.00
with_index_length_4000_insert,3,1,0.00,1241.99,0.00,1241.99,0.00,0.00,0.00,0.00
with_index_length_4000_insert,4,1,1.00,1152.01,0.00,1150.01,2.00,3208.88,0.00,0.00
with_index_length_4000_insert,5,1,0.00,1232.98,0.00,1232.98,0.00,0.00,0.00,0.00
with_index_length_4000_insert,6,1,0.00,1258.03,0.00,1258.03,0.00,0.00,0.00,0.00
with_index_length_4000_insert,7,1,1.00,1132.05,0.00,1130.05,2.00,3267.19,0.00,0.00
with_index_length_4000_insert,8,1,0.00,1162.96,0.00,1162.96,0.00,0.00,0.00,0.00
with_index_length_4000_insert,9,1,0.00,1236.98,0.00,1236.98,0.00,0.00,0.00,0.00
with_index_length_4000_select,1,1,349.77,1051.30,1051.30,0.00,0.00,2.91,0.00,0.00
with_index_length_4000_select,2,1,352.07,1056.21,1056.21,0.00,0.00,2.97,0.00,0.00
with_index_length_4000_select,3,1,351.98,1053.95,1053.95,0.00,0.00,2.97,0.00,0.00
