Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
with_index_length_400,1,1,1064.10,4429.10,3183.30,1236.80,8.99,332.92,0.00,0.00,1245.80
with_index_length_400,2,1,1077.35,4493.68,3224.06,1263.62,6.00,321.18,0.00,0.00,1269.62
with_index_length_400,3,1,1075.02,4473.94,3215.05,1252.89,6.00,326.99,0.00,0.00,1258.89
with_index_length_400,4,1,1039.96,4407.87,3110.87,1291.00,6.00,315.66,0.00,0.00,1297.00
with_index_length_400,5,1,1011.99,4330.03,3026.98,1297.05,6.00,310.05,0.00,0.00,1303.05
with_index_length_400,6,1,1088.04,4536.12,3253.12,1276.00,7.00,321.16,0.00,0.00,1283.00
with_index_length_400,7,1,1036.00,4407.94,3099.00,1301.94,7.00,315.57,0.00,0.00,1308.94
with_index_length_400,8,1,1061.00,4469.03,3174.00,1289.03,6.00,309.88,0.00,0.00,1295.03
with_index_length_4000,1,1,353.76,2383.94,1062.27,1318.67,3.00,3.02,0.00,0.00,1321.67
with_index_length_4000,2,1,356.08,2398.84,1068.23,1330.61,0.00,2.97,0.00,0.00,1330.61
with_index_length_4000,3,1,345.02,2337.15,1036.06,1301.09,0.00,3.75,0.00,0.00,1301.09
with_index_length_4000,4,1,357.99,2268.91,1070.97,1195.94,2.00,3043.11,0.00,0.00,1197.94
with_index_length_4000,5,1,355.98,2387.96,1067.95,1320.01,0.00,3.07,0.00,0.00,1320.01
with_index_length_4000,6,1,355.03,2379.10,1064.08,1315.02,0.00,3.19,0.00,0.00,1315.02
with_index_length_4000,7,1,354.99,2263.91,1062.96,1198.95,2.00,3154.64,0.00,0.00,1200.95
with_index_length_4000,8,1,356.01,2368.05,1068.02,1300.03,0.00,2.97,0.00,0.00,1300.03
without_index_length_400,1,1,836.41,3847.01,2502.24,1335.78,8.99,304.60,0.00,0.00,1344.77
without_index_length_400,2,1,827.16,3821.03,2470.47,1344.56,6.00,299.24,0.00,0.00,1350.56
without_index_length_400,3,1,829.03,3789.14,2479.10,1304.04,6.00,315.75,0.00,0.00,1310.04
without_index_length_400,4,1,835.06,3846.08,2494.17,1343.91,8.00,304.60,0.00,0.00,1351.91
without_index_length_400,5,1,805.90,3757.69,2406.70,1344.99,6.00,304.67,0.00,0.00,1350.99
without_index_length_400,6,1,806.01,3739.09,2411.02,1322.07,6.00,310.21,0.00,0.00,1328.07
without_index_length_400,7,1,823.00,3800.04,2454.99,1337.05,8.00,304.63,0.00,0.00,1345.05
without_index_length_400,8,1,805.04,3716.11,2407.13,1302.98,6.00,310.18,0.00,0.00,1308.98
without_index_length_4000,1,1,174.88,1854.26,526.63,1324.64,3.00,5.99,0.00,0.00,1327.63
without_index_length_4000,2,1,177.03,1886.79,531.09,1355.70,0.00,5.77,0.00,0.00,1355.70
without_index_length_4000,3,1,175.01,1832.03,525.04,1306.99,0.00,6.21,0.00,0.00,1306.99
without_index_length_4000,4,1,175.00,1799.00,522.01,1274.99,2.00,2992.10,0.00,0.00,1276.99
without_index_length_4000,5,1,175.00,1859.01,523.00,1336.01,0.00,6.43,0.00,0.00,1336.01
without_index_length_4000,6,1,176.99,1875.99,530.96,1345.03,0.00,5.77,0.00,0.00,1345.03
without_index_length_4000,7,1,177.01,1825.01,530.02,1292.99,2.00,3045.91,0.00,0.00,1294.99
without_index_length_4000,8,1,175.99,1860.99,525.98,1335.01,0.00,5.99,0.00,0.00,1335.01
