Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
with_index_length_400_insert,1,1,1.00,760.11,0.00,755.12,4.99,450.77,0.00,0.00
with_index_length_400_insert,2,1,2.00,757.43,0.00,753.43,4.00,601.29,0.00,0.00
with_index_length_400_insert,3,1,2.00,738.95,0.00,734.95,4.00,601.29,0.00,0.00
with_index_length_400_insert,4,1,2.00,796.99,0.00,792.99,4.00,484.44,0.00,0.00
with_index_length_400_insert,5,1,2.00,845.00,0.00,841.00,4.00,511.33,0.00,0.00
with_index_length_400_insert,6,1,2.00,848.02,0.00,844.02,4.00,484.44,0.00,0.00
with_index_length_400_insert,7,1,2.00,846.07,0.00,842.06,4.00,511.33,0.00,0.00
with_index_length_400_insert,8,1,3.00,984.98,0.00,978.98,6.00,442.73,0.00,0.00
with_index_length_400_select,1,1,941.04,2824.13,2824.13,0.00,0.00,1.10,0.00,0.00
with_index_length_400_select,2,1,937.52,2812.55,2812.55,0.00,0.00,1.23,0.00,0.00
with_index_length_400_select,3,1,936.91,2811.74,2811.74,0.00,0.00,1.12,0.00,0.00
with_index_length_400_select,4,1,944.10,2832.31,2832.31,0.00,0.00,1.10,0.00,0.00
with_index_length_400_select,5,1,798.92,2396.75,2396.75,0.00,0.00,1.34,0.00,0.00
with_index_length_400_select,6,1,792.83,2377.48,2377.48,0.00,0.00,1.30,0.00,0.00
with_index_length_400_select,7,1,769.24,2307.73,2307.73,0.00,0.00,1.50,0.00,0.00
with_index_length_4000_insert,1,1,0.00,974.09,0.00,971.10,3.00,0.00,0.00,0.00
with_index_length_4000_insert,2,1,0.00,995.41,0.00,995.41,0.00,0.00,0.00,0.00
with_index_length_4000_insert,3,1,0.00,993.97,0.00,993.97,0.00,0.00,0.00,0.00
with_index_length_4000_insert,4,1,0.00,892.01,0.00,892.01,0.00,0.00,0.00,0.00
with_index_length_4000_insert,5,1,1.00,654.96,0.00,652.96,2.00,4203.93,0.00,0.00
with_index_length_4000_insert,6,1,0.00,697.11,0.00,697.11,0.00,0.00,0.00,0.00
with_index_length_4000_insert,7,1,0.00,718.89,0.00,718.89,0.00,0.00,0.00,0.00
with_index_length_4000_insert,8,1,0.00,698.09,0.00,698.09,0.00,0.00,0.00,0.00
with_index_length_4000_insert,9,1,0.00,723.94,0.00,723.94,0.00,0.00,0.00,0.00
with_index_length_4000_select,1,1,300.76,904.28,904.28,0.00,0.00,3.62,0.00,0.00
with_index_length_4000_select,2,1,312.09,935.28,935.28,0.00,0.00,3.25,0.00,0.00
with_index_length_4000_select,3,1,310.00,930.00,930.00,0.00,0.00,3.30,0.00,0.00
with_index_length_4000_select,4,1,309.00,928.01,928.01,0.00,0.00,3.62,0.00,0.00
with_index_length_4000_select,5,1,311.00,933.00,933.00,0.00,0.00,3.25,0.00,0.00
with_index_length_4000_select,6,1,310.98,932.93,932.93,0.00,0.00,3.36,0.00,0.00
with_index_length_4000_select,7,1,313.02,938.06,938.06,0.00,0.00,3.25,0.00,0.00
with_index_length_4000_select,8,1,312.99,938.97,938.97,0.00,0.00,3.25,0.00,0.00
without_index_length_400_insert,1,1,1.00,602.46,0.00,597.47,5.00,682.06,0.00,0.00
without_index_length_400_insert,2,1,2.00,703.30,0.00,699.30,4.00,612.21,0.00,0.00
without_index_length_400_insert,3,1,2.00,723.93,0.00,719.93,4.00,580.02,0.00,0.00
without_index_length_400_insert,4,1,2.00,825.07,0.00,821.07,4.00,511.33,0.00,0.00
without_index_length_400_insert,5,1,1.00,753.97,0.00,751.97,2.00,484.44,0.00,0.00
without_index_length_400_insert,6,1,2.00,703.00,0.00,699.00,4.00,590.56,0.00,0.00
without_index_length_400_insert,7,1,2.00,737.00,0.00,733.00,4.00,580.02,0.00,0.00
without_index_length_400_insert,8,1,2.00,721.01,0.00,717.01,4.00,569.67,0.00,0.00
without_index_length_400_select,1,1,771.38,2314.15,2314.15,0.00,0.00,1.32,0.00,0.00
without_index_length_400_select,2,1,764.20,2292.61,2292.61,0.00,0.00,1.34,0.00,0.00
without_index_length_400_select,3,1,764.94,2294.82,2294.82,0.00,0.00,1.34,0.00,0.00
without_index_length_400_select,4,1,769.08,2309.25,2309.25,0.00,0.00,1.34,0.00,0.00
without_index_length_400_select,5,1,772.00,2316.00,2316.00,0.00,0.00,1.37,0.00,0.00
without_index_length_400_select,6,1,776.04,2326.12,2326.12,0.00,0.00,1.34,0.00,0.00
without_index_length_400_select,7,1,776.96,2332.88,2332.88,0.00,0.00,1.32,0.00,0.00
without_index_length_400_select,8,1,775.97,2327.90,2327.90,0.00,0.00,1.32,0.00,0.00
without_index_length_4000_insert,1,1,0.00,743.25,0.00,740.25,3.00,0.00,0.00,0.00
without_index_length_4000_insert,2,1,0.00,746.36,0.00,746.36,0.00,0.00,0.00,0.00
without_index_length_4000_insert,3,1,0.00,760.89,0.00,760.89,0.00,0.00,0.00,0.00
without_index_length_4000_insert,4,1,0.00,743.11,0.00,743.11,0.00,0.00,0.00,0.00
without_index_length_4000_insert,5,1,0.00,705.03,0.00,705.03,0.00,0.00,0.00,0.00
without_index_length_4000_insert,6,1,1.00,681.00,0.00,679.00,2.00,5409.26,0.00,0.00
without_index_length_4000_insert,7,1,0.00,738.97,0.00,738.97,0.00,0.00,0.00,0.00
without_index_length_4000_insert,8,1,0.00,729.02,0.00,729.02,0.00,0.00,0.00,0.00
without_index_length_4000_insert,9,1,0.00,717.98,0.00,717.98,0.00,0.00,0.00,0.00
without_index_length_4000_insert,10,1,0.00,732.02,0.00,732.02,0.00,0.00,0.00,0.00
without_index_length_4000_select,1,1,164.84,495.53,495.53,0.00,0.00,6.09,0.00,0.00
