Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
with_index_500,2,4,2340.48,10752.02,7005.93,993.49,2752.60,582.13,10.99,0.00,3746.09
with_index_500,4,4,2331.31,10655.43,6968.94,940.75,2745.74,571.85,9.50,0.00,3686.49
with_index_500,6,4,2341.62,10773.28,7006.36,964.98,2801.94,551.70,8.50,0.00,3766.92
with_index_500,8,4,2360.40,10947.06,7058.70,1007.46,2880.90,541.85,11.50,0.00,3888.36
with_index_500,10,4,2361.55,10936.75,7060.64,1011.53,2864.58,551.66,15.50,0.00,3876.11
with_index_500,12,4,2364.45,10502.99,7075.36,866.03,2561.59,592.70,6.00,0.00,3427.63
with_index_500,14,4,2366.01,10889.81,7073.52,997.44,2818.84,592.70,13.00,0.00,3816.29
with_index_500,16,4,2362.03,11011.57,7062.10,1040.49,2908.98,561.61,15.00,0.00,3949.47
with_index_500,18,4,2365.49,10946.02,7078.46,1026.52,2841.04,551.63,12.50,0.00,3867.56
with_index_5000,2,4,575.73,5233.25,1729.20,875.51,2628.54,8.28,0.00,0.00,3504.05
with_index_5000,4,4,578.10,5045.38,1734.31,827.77,2483.30,8.43,0.00,0.00,3311.07
with_index_5000,6,4,581.52,5003.43,1738.57,825.96,2438.89,5927.00,4.00,0.00,3264.86
with_index_5000,8,4,581.50,5465.48,1745.50,941.50,2778.49,7.98,1.00,0.00,3719.98
with_index_5000,10,4,581.50,5493.17,1745.00,937.04,2811.13,7.98,0.00,0.00,3748.17
with_index_5000,12,4,576.45,5441.20,1721.86,960.96,2758.38,5417.69,5.00,0.00,3719.34
with_index_5000,14,4,569.55,5399.18,1709.15,922.51,2767.52,8.43,0.00,0.00,3690.03
with_index_5000,16,4,575.98,5519.40,1729.45,947.49,2842.46,8.43,0.00,0.00,3789.95
with_index_5000,18,4,584.51,5210.17,1746.53,871.53,2592.10,5515.67,2.50,0.00,3463.64
without_index_500,2,4,1690.30,8482.22,5054.41,862.07,2565.73,615.07,4.50,0.00,3427.81
without_index_500,4,4,1697.25,8516.58,5073.25,883.71,2559.62,615.12,8.00,0.00,3443.33
without_index_500,6,4,1701.49,8483.98,5080.98,863.00,2540.00,604.26,6.50,0.00,3403.00
without_index_500,8,4,1705.50,8481.94,5100.00,876.48,2505.46,637.57,10.50,0.00,3381.94
without_index_500,10,4,1710.99,8499.08,5114.46,862.53,2522.09,615.12,7.00,0.00,3384.62
without_index_500,12,4,1707.02,8582.63,5096.06,906.52,2580.05,615.12,11.50,0.00,3486.57
without_index_500,14,4,1705.52,8521.91,5098.57,889.46,2533.88,615.12,10.50,0.00,3423.34
without_index_500,16,4,1705.47,8539.51,5098.41,886.03,2555.07,637.52,9.50,0.00,3441.10
without_index_500,18,4,1707.51,8583.89,5099.53,903.96,2580.39,615.12,11.50,0.00,3484.36
without_index_5000,2,4,290.88,4709.59,875.64,956.99,2876.96,15.27,0.00,0.00,3833.95
without_index_5000,4,4,294.04,4826.26,881.13,986.28,2958.85,15.00,0.00,0.00,3945.13
without_index_5000,6,4,296.50,4602.94,883.50,935.49,2783.96,5139.81,2.50,0.00,3719.44
without_index_5000,8,4,294.50,4710.97,882.99,957.00,2870.99,14.73,0.00,0.00,3827.98
without_index_5000,10,4,293.50,4787.58,881.50,976.52,2929.56,14.73,0.00,0.00,3906.08
without_index_5000,12,4,296.50,4706.09,884.00,976.02,2846.06,5232.38,4.50,0.00,3822.09
without_index_5000,14,4,295.00,4720.67,885.00,958.92,2876.75,14.73,0.00,0.00,3835.67
without_index_5000,16,4,296.49,4623.16,883.48,944.05,2795.64,5232.65,3.50,0.00,3739.68
without_index_5000,18,4,293.01,4802.58,877.52,981.01,2944.04,15.00,0.00,0.00,3925.06
