Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
with_index_500,2,4,2316.07,9971.30,6931.22,770.64,2269.44,684.20,5.50,0.00,3040.08
with_index_500,4,4,2332.82,10239.05,6980.95,848.66,2409.44,648.37,10.50,0.00,3258.10
with_index_500,6,4,2332.02,10340.70,6979.56,849.04,2512.10,648.37,5.50,0.00,3361.14
with_index_500,8,4,2341.47,10310.24,7004.41,843.46,2462.37,625.47,8.00,0.00,3305.83
with_index_500,10,4,2312.52,10493.68,6915.55,970.04,2608.10,625.55,14.50,0.00,3578.13
with_index_500,12,4,2343.49,10707.03,7011.46,965.02,2730.55,582.16,12.00,0.00,3695.57
with_index_500,14,4,2341.99,10382.52,7006.46,900.02,2476.04,625.51,15.50,0.00,3376.06
with_index_500,16,4,2336.01,10291.00,6986.53,863.49,2440.98,660.11,11.50,0.00,3304.47
with_index_500,18,4,2351.00,10275.38,7034.50,869.97,2370.91,648.33,12.50,0.00,3240.88
with_index_5000,2,4,556.78,4958.18,1673.84,821.58,2462.75,8.58,0.00,0.00,3284.34
with_index_5000,4,4,566.56,4963.96,1697.18,816.70,2450.09,8.43,0.00,0.00,3266.78
with_index_5000,6,4,568.51,4863.53,1707.52,789.00,2367.01,8.28,0.00,0.00,3156.01
with_index_5000,8,4,567.97,4912.48,1697.91,850.02,2364.55,6255.67,6.00,0.00,3214.57
with_index_5000,10,4,566.02,4793.00,1697.06,773.99,2321.96,8.28,0.00,0.00,3095.94
with_index_5000,12,4,564.51,4869.94,1693.53,794.48,2381.93,8.58,0.00,0.00,3176.41
with_index_5000,14,4,562.98,5103.42,1683.43,904.50,2515.49,6369.34,5.50,0.00,3419.99
with_index_5000,16,4,565.03,5007.61,1695.58,828.01,2484.02,8.28,0.00,0.00,3312.03
with_index_5000,18,4,562.00,4816.03,1686.00,782.51,2347.53,8.43,0.00,0.00,3130.03
without_index_500,2,4,1650.78,8469.67,4936.85,967.04,2565.78,604.26,15.49,0.00,3532.82
without_index_500,4,4,1669.79,8506.22,4990.86,952.23,2563.13,626.30,15.50,0.00,3515.36
without_index_500,6,4,1653.50,8103.45,4943.50,806.99,2352.96,649.26,8.00,0.00,3159.95
without_index_500,8,4,1676.97,8201.46,5012.91,841.01,2347.54,685.03,13.00,0.00,3188.55
without_index_500,10,4,1647.04,8070.04,4923.11,832.48,2314.45,723.05,12.00,0.00,3146.93
without_index_500,12,4,1627.95,7956.83,4864.86,810.49,2281.48,673.19,10.50,0.00,3091.97
without_index_500,14,4,1680.03,8180.07,5022.08,836.50,2321.50,685.03,8.50,0.00,3157.99
without_index_500,16,4,1689.50,8223.07,5050.00,832.52,2340.55,672.75,9.00,0.00,3173.07
without_index_500,18,4,1685.51,8329.42,5032.53,882.47,2414.42,684.97,15.50,0.00,3296.89
without_index_5000,2,4,278.37,4116.31,836.11,818.55,2461.65,17.63,0.00,0.00,3280.20
without_index_5000,4,4,288.05,4085.64,864.66,805.24,2415.73,15.55,0.00,0.00,3220.98
without_index_5000,6,4,284.50,4219.97,854.01,841.49,2524.47,15.83,0.00,0.00,3365.96
without_index_5000,8,4,290.00,4209.45,864.50,839.49,2505.46,6150.91,2.00,0.00,3344.95
without_index_5000,10,4,287.99,4165.40,863.48,825.48,2476.44,15.00,0.00,0.00,3301.92
without_index_5000,12,4,287.01,3813.15,863.02,737.53,2212.60,15.27,0.00,0.00,2950.13
without_index_5000,14,4,289.50,4132.92,861.50,825.98,2445.44,6262.66,3.50,0.00,3271.42
without_index_5000,16,4,287.50,4124.46,860.50,815.99,2447.97,15.27,0.00,0.00,3263.96
without_index_5000,18,4,287.00,4369.17,861.00,877.04,2631.12,15.00,0.00,0.00,3508.17
