Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
with_index_500_insert,2,4,6.00,3040.08,0.00,770.64,2269.44,682.06,5.50,0.00
with_index_500_insert,4,4,6.00,3258.10,0.00,848.66,2409.44,646.19,10.50,0.00
with_index_500_insert,6,4,6.00,3361.14,0.00,849.04,2512.10,646.19,5.50,0.00
with_index_500_insert,8,4,6.00,3305.83,0.00,843.46,2462.37,623.33,8.00,0.00
with_index_500_insert,10,4,8.00,3578.13,0.00,970.04,2608.10,623.33,14.50,0.00
with_index_500_insert,12,4,6.00,3695.57,0.00,965.02,2730.55,580.02,12.00,0.00
with_index_500_insert,14,4,6.00,3376.06,0.00,900.02,2476.04,623.33,15.50,0.00
with_index_500_insert,16,4,8.00,3304.47,0.00,863.49,2440.98,657.93,11.50,0.00
with_index_500_insert,18,4,6.00,3240.88,0.00,869.97,2370.91,646.19,12.50,0.00
with_index_500_select,2,4,2310.07,6931.22,6931.22,0.00,0.00,2.14,0.00,0.00
with_index_500_select,4,4,2326.82,6980.95,6980.95,0.00,0.00,2.18,0.00,0.00
with_index_500_select,6,4,2326.02,6979.56,6979.56,0.00,0.00,2.18,0.00,0.00
with_index_500_select,8,4,2335.47,7004.41,7004.41,0.00,0.00,2.14,0.00,0.00
with_index_500_select,10,4,2304.52,6915.55,6915.55,0.00,0.00,2.22,0.00,0.00
with_index_500_select,12,4,2337.49,7011.46,7011.46,0.00,0.00,2.14,0.00,0.00
with_index_500_select,14,4,2335.99,7006.46,7006.46,0.00,0.00,2.18,0.00,0.00
with_index_500_select,16,4,2328.01,6986.53,6986.53,0.00,0.00,2.18,0.00,0.00
with_index_500_select,18,4,2345.00,7034.50,7034.50,0.00,0.00,2.14,0.00,0.00
with_index_5000_insert,2,4,0.00,3284.34,0.00,821.58,2462.75,0.00,0.00,0.00
with_index_5000_insert,4,4,0.00,3266.78,0.00,816.70,2450.09,0.00,0.00,0.00
with_index_5000_insert,6,4,0.00,3156.01,0.00,789.00,2367.01,0.00,0.00,0.00
with_index_5000_insert,8,4,2.00,3214.57,0.00,850.02,2364.55,6247.39,6.00,0.00
with_index_5000_insert,10,4,0.00,3095.94,0.00,773.99,2321.96,0.00,0.00,0.00
with_index_5000_insert,12,4,0.00,3176.41,0.00,794.48,2381.93,0.00,0.00,0.00
with_index_5000_insert,14,4,2.00,3419.99,0.00,904.50,2515.49,6360.91,5.50,0.00
with_index_5000_insert,16,4,0.00,3312.03,0.00,828.01,2484.02,0.00,0.00,0.00
with_index_5000_insert,18,4,0.00,3130.03,0.00,782.51,2347.53,0.00,0.00,0.00
