Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
with_index_insert,2,4,6440.89,19326.16,0.00,0.00,19326.16,0.81,0.00,0.00
with_index_insert,4,4,6501.79,19505.36,0.00,0.00,19505.36,0.80,0.00,0.00
with_index_insert,6,4,6492.78,19476.84,0.00,0.00,19476.84,0.80,0.00,0.00
with_index_insert,8,4,6663.46,19991.37,0.00,0.00,19991.37,0.78,0.00,0.00
with_index_insert,10,4,6399.02,19196.56,0.00,0.00,19196.56,0.83,0.00,0.00
with_index_insert,12,4,6671.53,20013.10,0.00,0.00,20013.10,0.78,0.00,0.00
with_index_insert,14,4,6710.89,20133.68,0.00,0.00,20133.68,0.80,0.00,0.00
with_index_insert,16,4,6837.43,20512.30,0.00,0.00,20512.30,0.77,0.00,0.00
with_index_insert,18,4,6780.17,20339.51,0.00,0.00,20339.51,0.77,0.00,0.00
with_index_select,2,4,4144.67,12434.50,12434.50,0.00,0.00,1.23,0.00,0.00
with_index_select,4,4,4216.68,12653.05,12653.05,0.00,0.00,1.21,0.00,0.00
with_index_select,6,4,4203.47,12609.90,12609.90,0.00,0.00,1.23,0.00,0.00
with_index_select,8,4,4203.53,12609.08,12609.08,0.00,0.00,1.21,0.00,0.00
with_index_select,10,4,4169.01,12508.03,12508.03,0.00,0.00,1.25,0.00,0.00
with_index_select,12,4,4215.96,12647.87,12647.87,0.00,0.00,1.21,0.00,0.00
with_index_select,14,4,4367.53,13102.59,13102.59,0.00,0.00,1.18,0.00,0.00
with_index_select,16,4,4274.97,12824.90,12824.90,0.00,0.00,1.21,0.00,0.00
with_index_select,18,4,4182.54,12547.11,12547.11,0.00,0.00,1.21,0.00,0.00
