Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
with_index_insert,2,4,6329.25,18989.25,0.00,0.00,18989.25,0.84,0.00,0.00
with_index_insert,4,4,6607.60,19823.31,0.00,0.00,19823.31,0.78,0.00,0.00
with_index_insert,6,4,6781.48,20344.94,0.00,0.00,20344.94,0.77,0.00,0.00
with_index_insert,8,4,6775.33,20326.48,0.00,0.00,20326.48,0.78,0.00,0.00
with_index_insert,10,4,6340.75,19021.74,0.00,0.00,19021.74,0.83,0.00,0.00
with_index_insert,12,4,6338.30,19014.39,0.00,0.00,19014.39,0.83,0.00,0.00
with_index_insert,14,4,6591.56,19774.69,0.00,0.00,19774.69,0.80,0.00,0.00
with_index_insert,16,4,6562.30,19686.89,0.00,0.00,19686.89,0.80,0.00,0.00
with_index_insert,18,4,6669.37,20007.11,0.00,0.00,20007.11,0.78,0.00,0.00
with_index_select,2,4,4159.11,12480.33,12480.33,0.00,0.00,1.23,0.00,0.00
with_index_select,4,4,4197.21,12591.13,12591.13,0.00,0.00,1.23,0.00,0.00
with_index_select,6,4,4210.93,12631.78,12631.78,0.00,0.00,1.23,0.00,0.00
with_index_select,8,4,4240.05,12719.16,12719.16,0.00,0.00,1.21,0.00,0.00
with_index_select,10,4,4186.49,12560.97,12560.97,0.00,0.00,1.23,0.00,0.00
with_index_select,12,4,4210.03,12629.09,12629.09,0.00,0.00,1.23,0.00,0.00
with_index_select,14,4,4189.99,12570.96,12570.96,0.00,0.00,1.25,0.00,0.00
with_index_select,16,4,4131.99,12395.47,12395.47,0.00,0.00,1.27,0.00,0.00
with_index_select,18,4,4191.48,12576.45,12576.45,0.00,0.00,1.23,0.00,0.00
