Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
with_index_insert,2,4,6376.57,19130.71,0.00,0.00,19130.71,0.81,0.00,0.00
with_index_insert,4,4,5786.41,17358.73,0.00,0.00,17358.73,0.99,0.00,0.00
with_index_insert,6,4,6222.58,18669.24,0.00,0.00,18669.24,0.89,0.00,0.00
with_index_insert,8,4,6456.48,19369.44,0.00,0.00,19369.44,0.80,0.00,0.00
with_index_insert,10,4,6541.98,19626.44,0.00,0.00,19626.44,0.80,0.00,0.00
with_index_insert,12,4,6503.56,19508.68,0.00,0.00,19508.68,0.80,0.00,0.00
with_index_insert,14,4,6636.01,19909.04,0.00,0.00,19909.04,0.78,0.00,0.00
with_index_insert,16,4,6417.12,19250.85,0.00,0.00,19250.85,0.84,0.00,0.00
with_index_insert,18,4,6706.89,20121.18,0.00,0.00,20121.18,0.77,0.00,0.00
with_index_select,2,4,4140.54,12423.13,12423.13,0.00,0.00,1.23,0.00,0.00
with_index_select,4,4,4196.21,12589.14,12589.14,0.00,0.00,1.21,0.00,0.00
with_index_select,6,4,4184.53,12553.58,12553.58,0.00,0.00,1.23,0.00,0.00
with_index_select,8,4,4201.50,12604.01,12604.01,0.00,0.00,1.23,0.00,0.00
with_index_select,10,4,4198.52,12596.56,12596.56,0.00,0.00,1.21,0.00,0.00
with_index_select,12,4,4220.98,12662.95,12662.95,0.00,0.00,1.21,0.00,0.00
with_index_select,14,4,4120.15,12360.45,12360.45,0.00,0.00,1.27,0.00,0.00
with_index_select,16,4,4121.99,12366.48,12366.48,0.00,0.00,1.32,0.00,0.00
with_index_select,18,4,4126.02,12376.57,12376.57,0.00,0.00,1.30,0.00,0.00
