Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
with_index_insert,2,4,6411.06,19237.19,0.00,0.00,19237.19,0.81,0.00,0.00
with_index_insert,4,4,6725.91,20175.23,0.00,0.00,20175.23,0.78,0.00,0.00
with_index_insert,6,4,6480.19,19441.57,0.00,0.00,19441.57,0.83,0.00,0.00
with_index_insert,8,4,6399.44,19198.33,0.00,0.00,19198.33,0.83,0.00,0.00
with_index_insert,10,4,6360.74,19082.21,0.00,0.00,19082.21,0.83,0.00,0.00
with_index_insert,12,4,6553.14,19657.91,0.00,0.00,19657.91,0.80,0.00,0.00
with_index_insert,14,4,6696.12,20089.86,0.00,0.00,20089.86,0.77,0.00,0.00
with_index_insert,16,4,6777.76,20332.79,0.00,0.00,20332.79,0.77,0.00,0.00
with_index_insert,18,4,6443.69,19330.07,0.00,0.00,19330.07,0.80,0.00,0.00
with_index_select,2,4,4108.75,12328.75,12328.75,0.00,0.00,1.25,0.00,0.00
with_index_select,4,4,4129.08,12387.74,12387.74,0.00,0.00,1.23,0.00,0.00
with_index_select,6,4,4156.02,12466.07,12466.07,0.00,0.00,1.23,0.00,0.00
with_index_select,8,4,4131.96,12396.38,12396.38,0.00,0.00,1.23,0.00,0.00
with_index_select,10,4,4087.52,12263.55,12263.55,0.00,0.00,1.30,0.00,0.00
with_index_select,12,4,4081.00,12242.50,12242.50,0.00,0.00,1.32,0.00,0.00
with_index_select,14,4,4083.06,12248.67,12248.67,0.00,0.00,1.27,0.00,0.00
with_index_select,16,4,4099.94,12300.81,12300.81,0.00,0.00,1.27,0.00,0.00
with_index_select,18,4,4103.04,12309.63,12309.63,0.00,0.00,1.30,0.00,0.00
