Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
with_index_insert,2,4,6528.07,19585.71,0.00,0.00,19585.71,0.83,0.00,0.00
with_index_insert,4,4,6764.97,20295.40,0.00,0.00,20295.40,0.78,0.00,0.00
with_index_insert,6,4,6502.66,19508.49,0.00,0.00,19508.49,0.81,0.00,0.00
with_index_insert,8,4,6888.38,20664.65,0.00,0.00,20664.65,0.75,0.00,0.00
with_index_insert,10,4,6580.05,19739.14,0.00,0.00,19739.14,0.83,0.00,0.00
with_index_insert,12,4,6642.56,19928.19,0.00,0.00,19928.19,0.78,0.00,0.00
with_index_insert,14,4,6352.13,19058.39,0.00,0.00,19058.39,0.83,0.00,0.00
with_index_insert,16,4,6612.12,19834.37,0.00,0.00,19834.37,0.78,0.00,0.00
with_index_insert,18,4,6475.72,19428.15,0.00,0.00,19428.15,0.80,0.00,0.00
with_index_select,2,4,4143.06,12432.18,12432.18,0.00,0.00,1.23,0.00,0.00
with_index_select,4,4,4167.71,12503.12,12503.12,0.00,0.00,1.23,0.00,0.00
with_index_select,6,4,4176.25,12527.25,12527.25,0.00,0.00,1.23,0.00,0.00
with_index_select,8,4,4171.25,12514.75,12514.75,0.00,0.00,1.23,0.00,0.00
with_index_select,10,4,4180.76,12540.78,12540.78,0.00,0.00,1.23,0.00,0.00
with_index_select,12,4,4145.24,12434.73,12434.73,0.00,0.00,1.25,0.00,0.00
with_index_select,14,4,4163.97,12492.91,12492.91,0.00,0.00,1.23,0.00,0.00
with_index_select,16,4,4158.54,12477.12,12477.12,0.00,0.00,1.23,0.00,0.00
with_index_select,18,4,4185.95,12558.86,12558.86,0.00,0.00,1.21,0.00,0.00
