Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
with_index_500,2,4,2311.06,11270.45,6911.67,1190.89,3167.89,495.42,19.99,0.00,4358.78
with_index_500,4,4,2328.31,11055.78,6959.94,1044.71,3051.13,513.51,10.00,0.00,4095.84
with_index_500,6,4,2312.04,11259.79,6913.11,1121.05,3225.63,504.42,12.50,0.00,4346.68
with_index_500,8,4,2351.39,11479.47,7029.17,1211.95,3238.36,486.58,19.00,0.00,4450.30
with_index_500,10,4,2333.11,11455.85,6975.82,1170.01,3310.02,477.97,14.00,0.00,4480.03
with_index_500,12,4,2353.02,11533.03,7029.57,1193.99,3309.47,495.38,19.00,0.00,4503.46
with_index_500,14,4,2350.98,11462.22,7027.94,1132.07,3302.21,477.93,9.50,0.00,4434.28
with_index_500,16,4,2345.48,11419.31,7011.94,1181.97,3225.40,513.51,17.50,0.00,4407.37
with_index_500,18,4,2358.51,11492.11,7053.03,1157.52,3281.56,486.55,17.00,0.00,4439.08
with_index_5000,2,4,574.25,5535.75,1725.74,951.00,2859.00,8.43,0.00,0.00,3810.01
with_index_5000,4,4,579.11,5357.80,1736.83,905.24,2715.73,8.43,0.00,0.00,3620.97
with_index_5000,6,4,582.48,5290.37,1741.45,890.48,2658.44,5417.54,2.00,0.00,3548.92
with_index_5000,8,4,580.01,5382.48,1740.52,910.49,2731.47,8.13,0.00,0.00,3641.96
with_index_5000,10,4,579.51,5420.03,1738.02,920.50,2761.51,8.13,0.00,0.00,3682.01
with_index_5000,12,4,581.50,5270.17,1738.49,904.05,2627.63,5515.67,5.50,0.00,3531.68
with_index_5000,14,4,577.51,5398.27,1732.52,916.44,2749.31,8.28,0.00,0.00,3665.75
with_index_5000,16,4,576.00,5363.34,1728.99,908.59,2725.76,8.28,0.00,0.00,3634.35
with_index_5000,18,4,576.98,5286.55,1723.44,893.40,2669.71,5616.04,1.00,0.00,3563.11
without_index_500,2,4,1683.81,8794.10,5036.44,963.90,2793.76,582.93,9.49,0.00,3757.66
without_index_500,4,4,1705.72,8739.45,5091.67,966.84,2680.94,582.93,15.51,0.00,3647.78
without_index_500,6,4,1702.01,8737.96,5087.52,943.48,2706.95,572.58,9.00,0.00,3650.44
without_index_500,8,4,1703.01,8657.64,5087.52,920.53,2649.59,593.47,12.00,0.00,3570.12
without_index_500,10,4,1696.00,8774.46,5069.01,954.49,2750.96,582.99,10.00,0.00,3705.45
without_index_500,12,4,1700.98,8786.87,5077.94,961.98,2746.95,572.64,8.50,0.00,3708.93
without_index_500,14,4,1696.03,8717.34,5070.58,953.57,2693.19,593.53,8.00,0.00,3646.76
without_index_500,16,4,1708.48,8669.77,5102.43,929.96,2637.38,615.07,12.50,0.00,3567.34
without_index_500,18,4,1697.99,8761.97,5074.47,963.50,2724.00,582.99,11.00,0.00,3687.50
without_index_5000,2,4,290.38,4649.05,873.15,942.48,2833.42,15.27,0.00,0.00,3775.90
without_index_5000,4,4,293.04,4570.39,879.13,922.81,2768.44,15.00,0.00,0.00,3691.26
without_index_5000,6,4,292.50,4436.95,869.50,895.99,2671.46,5424.81,2.50,0.00,3567.45
without_index_5000,8,4,288.49,4559.45,869.47,922.49,2767.48,15.55,0.00,0.00,3689.98
without_index_5000,10,4,293.01,4531.38,875.52,913.97,2741.90,15.00,0.00,0.00,3655.86
without_index_5000,12,4,295.50,4465.18,882.00,907.05,2676.13,5522.27,4.00,0.00,3583.18
without_index_5000,14,4,294.50,4638.81,883.01,938.95,2816.85,14.73,0.00,0.00,3755.80
without_index_5000,16,4,293.00,4622.45,880.50,935.49,2806.46,14.73,0.00,0.00,3741.95
without_index_5000,18,4,296.50,4570.65,882.00,942.54,2746.11,5423.99,5.50,0.00,3688.65
