Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
with_index_500,1,1,1027.30,4081.99,3077.91,998.09,5.99,503.28,0.00,0.00,1004.08
with_index_500,2,1,1050.19,4165.97,3144.57,1016.40,5.00,494.27,0.00,0.00,1021.40
with_index_500,3,1,1009.03,4073.18,3019.10,1050.08,4.00,494.28,0.00,0.00,1054.08
with_index_500,4,1,1058.97,4207.87,3172.90,1030.97,4.00,494.27,0.00,0.00,1034.97
with_index_500,5,1,1050.01,4156.04,3142.03,1010.01,4.00,494.27,0.00,0.00,1014.01
with_index_500,6,1,1041.03,4136.09,3118.08,1014.01,4.00,503.23,0.00,0.00,1018.01
with_index_500,7,1,1048.97,4168.86,3139.90,1024.96,4.00,485.47,0.00,0.00,1028.96
with_index_500,8,1,996.01,4045.00,2984.03,1056.97,4.00,494.51,0.00,0.00,1060.97
with_index_5000,1,1,298.81,1946.41,898.42,1044.99,3.00,3.49,0.00,0.00,1047.99
with_index_5000,2,1,302.05,1924.69,905.15,1019.54,0.00,3.49,0.00,0.00,1019.54
with_index_5000,3,1,302.00,1925.93,905.01,1020.92,0.00,3.49,0.00,0.00,1020.92
with_index_5000,4,1,299.01,1938.06,899.04,1039.02,0.00,3.49,0.00,0.00,1039.02
with_index_5000,5,1,301.98,1883.95,902.93,979.02,2.00,4858.80,0.00,0.00,981.02
with_index_5000,6,1,305.99,1940.94,916.97,1023.97,0.00,3.30,0.00,0.00,1023.97
with_index_5000,7,1,303.01,2000.05,909.03,1091.02,0.00,3.49,0.00,0.00,1091.02
with_index_5000,8,1,302.02,1965.02,906.05,1058.97,0.00,3.49,0.00,0.00,1058.97
without_index_500,1,1,785.34,3452.03,2351.02,1094.01,6.99,460.30,0.00,0.00,1101.01
without_index_500,2,1,772.25,3422.16,2311.75,1106.41,4.00,468.69,0.00,0.00,1110.41
without_index_500,3,1,790.99,3515.02,2366.98,1144.04,4.00,444.07,0.00,0.00,1148.04
without_index_500,4,1,783.06,3440.20,2343.17,1093.03,4.00,460.30,0.00,0.00,1097.03
without_index_500,5,1,769.94,3380.85,2298.82,1076.03,6.00,468.67,0.00,0.00,1082.03
without_index_500,6,1,784.04,3401.05,2346.13,1050.92,4.00,477.13,0.00,0.00,1054.92
without_index_500,7,1,795.01,3448.11,2380.03,1064.08,4.00,485.76,0.00,0.00,1068.08
without_index_5000,1,1,147.86,1524.47,444.59,1076.88,3.00,6.91,0.00,0.00,1079.88
without_index_5000,2,1,149.08,1517.85,448.24,1069.61,0.00,6.91,0.00,0.00,1069.61
without_index_5000,3,1,150.00,1556.03,450.00,1106.03,0.00,6.67,0.00,0.00,1106.03
without_index_5000,4,1,148.99,1531.95,444.97,1086.98,0.00,7.04,0.00,0.00,1086.98
without_index_5000,5,1,148.01,1428.02,443.03,982.99,2.00,4690.48,0.00,0.00,984.99
without_index_5000,6,1,149.00,1615.04,447.00,1168.04,0.00,6.91,0.00,0.00,1168.04
without_index_5000,7,1,147.98,1560.94,441.95,1118.99,0.00,7.04,0.00,0.00,1118.99
without_index_5000,8,1,144.00,1526.01,434.01,1092.00,0.00,8.28,0.00,0.00,1092.00
