Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
with_index_500,1,1,1020.14,4019.50,3059.43,955.07,5.00,531.12,0.00,0.00,960.07
with_index_500,2,1,1029.38,4063.67,3080.15,979.51,4.00,512.37,0.00,0.00,983.52
with_index_500,3,1,1020.00,4068.00,3056.01,1007.99,4.00,512.37,0.00,0.00,1011.99
with_index_500,4,1,1027.01,4087.06,3075.04,1008.02,4.00,512.39,0.00,0.00,1012.02
with_index_500,5,1,1014.95,4025.85,3038.86,982.99,4.00,521.68,0.00,0.00,986.99
with_index_500,6,1,1020.06,4017.15,3053.17,959.98,4.00,512.39,0.00,0.00,963.98
with_index_500,7,1,1029.06,4069.14,3082.17,982.97,4.00,531.12,0.00,0.00,986.97
with_index_500,8,1,1038.88,4121.62,3110.63,1006.99,4.00,512.36,0.00,0.00,1010.99
with_index_5000,1,1,288.77,1894.27,867.32,1023.95,3.00,3.62,0.00,0.00,1026.95
with_index_5000,2,1,289.08,1922.79,868.24,1054.55,0.00,3.62,0.00,0.00,1054.55
with_index_5000,3,1,294.00,1908.00,882.01,1025.99,0.00,3.62,0.00,0.00,1025.99
with_index_5000,4,1,295.02,1903.06,884.05,1019.01,0.00,3.55,0.00,0.00,1019.01
with_index_5000,5,1,296.00,1852.91,883.99,966.92,2.00,4858.86,0.00,0.00,968.92
with_index_5000,6,1,296.00,1868.11,888.99,979.12,0.00,3.43,0.00,0.00,979.12
with_index_5000,7,1,295.01,1885.04,886.03,999.01,0.00,3.55,0.00,0.00,999.01
with_index_5000,8,1,295.99,1896.93,886.96,1009.97,0.00,3.55,0.00,0.00,1009.97
without_index_500,1,1,771.48,3350.45,2310.43,1033.02,6.99,485.78,0.00,0.00,1040.02
without_index_500,2,1,778.17,3367.93,2327.50,1036.42,4.00,521.99,0.00,0.00,1040.43
without_index_500,3,1,774.01,3359.05,2317.03,1038.02,4.00,485.81,0.00,0.00,1042.02
without_index_500,4,1,773.00,3358.01,2310.99,1043.02,4.00,485.81,0.00,0.00,1047.02
without_index_500,5,1,769.96,3365.92,2305.89,1056.03,4.00,485.81,0.00,0.00,1060.03
without_index_500,6,1,772.06,3381.13,2310.18,1066.95,4.00,477.23,0.00,0.00,1070.95
without_index_500,7,1,773.94,3359.82,2315.81,1040.01,4.00,477.16,0.00,0.00,1044.01
without_index_5000,1,1,143.88,1446.67,431.64,1012.03,3.00,7.04,0.00,0.00,1015.03
without_index_5000,2,1,147.05,1464.63,441.16,1023.47,0.00,7.04,0.00,0.00,1023.47
without_index_5000,3,1,146.00,1504.00,440.01,1063.99,0.00,7.04,0.00,0.00,1063.99
without_index_5000,4,1,145.00,1497.01,435.00,1062.01,0.00,7.04,0.00,0.00,1062.01
without_index_5000,5,1,148.00,1403.04,439.00,962.04,2.00,4862.35,0.00,0.00,964.04
without_index_5000,6,1,146.00,1478.97,438.00,1040.97,0.00,7.04,0.00,0.00,1040.97
without_index_5000,7,1,145.00,1481.02,437.00,1044.02,0.00,7.04,0.00,0.00,1044.02
without_index_5000,8,1,147.99,1474.98,441.96,1033.02,0.00,6.91,0.00,0.00,1033.02
