Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
with_index_500_insert,1,1,1.00,960.07,0.00,955.07,5.00,530.08,0.00,0.00
with_index_500_insert,2,1,2.00,983.52,0.00,979.51,4.00,511.33,0.00,0.00
with_index_500_insert,3,1,2.00,1011.99,0.00,1007.99,4.00,511.33,0.00,0.00
with_index_500_insert,4,1,2.00,1012.02,0.00,1008.02,4.00,511.33,0.00,0.00
with_index_500_insert,5,1,2.00,986.99,0.00,982.99,4.00,520.62,0.00,0.00
with_index_500_insert,6,1,2.00,963.98,0.00,959.98,4.00,511.33,0.00,0.00
with_index_500_insert,7,1,2.00,986.97,0.00,982.97,4.00,530.08,0.00,0.00
with_index_500_insert,8,1,2.00,1010.99,0.00,1006.99,4.00,511.33,0.00,0.00
with_index_500_select,1,1,1019.14,3059.43,3059.43,0.00,0.00,1.04,0.00,0.00
with_index_500_select,2,1,1027.38,3080.15,3080.15,0.00,0.00,1.04,0.00,0.00
with_index_500_select,3,1,1018.00,3056.01,3056.01,0.00,0.00,1.04,0.00,0.00
with_index_500_select,4,1,1025.01,3075.04,3075.04,0.00,0.00,1.06,0.00,0.00
with_index_500_select,5,1,1012.95,3038.86,3038.86,0.00,0.00,1.06,0.00,0.00
with_index_500_select,6,1,1018.06,3053.17,3053.17,0.00,0.00,1.06,0.00,0.00
with_index_500_select,7,1,1027.06,3082.17,3082.17,0.00,0.00,1.04,0.00,0.00
with_index_500_select,8,1,1036.88,3110.63,3110.63,0.00,0.00,1.03,0.00,0.00
with_index_5000_insert,1,1,0.00,1026.95,0.00,1023.95,3.00,0.00,0.00,0.00
with_index_5000_insert,2,1,0.00,1054.55,0.00,1054.55,0.00,0.00,0.00,0.00
with_index_5000_insert,3,1,0.00,1025.99,0.00,1025.99,0.00,0.00,0.00,0.00
with_index_5000_insert,4,1,0.00,1019.01,0.00,1019.01,0.00,0.00,0.00,0.00
with_index_5000_insert,5,1,1.00,968.92,0.00,966.92,2.00,4855.31,0.00,0.00
with_index_5000_insert,6,1,0.00,979.12,0.00,979.12,0.00,0.00,0.00,0.00
with_index_5000_insert,7,1,0.00,999.01,0.00,999.01,0.00,0.00,0.00,0.00
with_index_5000_insert,8,1,0.00,1009.97,0.00,1009.97,0.00,0.00,0.00,0.00
with_index_5000_insert,9,1,0.00,1021.98,0.00,1021.98,0.00,0.00,0.00,0.00
with_index_5000_select,1,1,288.77,867.32,867.32,0.00,0.00,3.62,0.00,0.00
with_index_5000_select,2,1,289.08,868.24,868.24,0.00,0.00,3.62,0.00,0.00
with_index_5000_select,3,1,294.00,882.01,882.01,0.00,0.00,3.62,0.00,0.00
with_index_5000_select,4,1,295.02,884.05,884.05,0.00,0.00,3.55,0.00,0.00
with_index_5000_select,5,1,295.00,883.99,883.99,0.00,0.00,3.55,0.00,0.00
with_index_5000_select,6,1,296.00,888.99,888.99,0.00,0.00,3.43,0.00,0.00
with_index_5000_select,7,1,295.01,886.03,886.03,0.00,0.00,3.55,0.00,0.00
with_index_5000_select,8,1,295.99,886.96,886.96,0.00,0.00,3.55,0.00,0.00
without_index_500_insert,1,1,2.00,1040.02,0.00,1033.02,6.99,484.44,0.00,0.00
without_index_500_insert,2,1,2.00,1040.43,0.00,1036.42,4.00,520.62,0.00,0.00
without_index_500_insert,3,1,2.00,1042.02,0.00,1038.02,4.00,484.44,0.00,0.00
without_index_500_insert,4,1,2.00,1047.02,0.00,1043.02,4.00,484.44,0.00,0.00
without_index_500_insert,5,1,2.00,1060.03,0.00,1056.03,4.00,484.44,0.00,0.00
without_index_500_insert,6,1,2.00,1070.95,0.00,1066.95,4.00,475.79,0.00,0.00
without_index_500_insert,7,1,2.00,1044.01,0.00,1040.01,4.00,475.79,0.00,0.00
without_index_500_insert,8,1,2.00,1048.05,0.00,1044.05,4.00,484.44,0.00,0.00
without_index_500_select,1,1,769.48,2310.43,2310.43,0.00,0.00,1.34,0.00,0.00
without_index_500_select,2,1,776.17,2327.50,2327.50,0.00,0.00,1.37,0.00,0.00
without_index_500_select,3,1,772.01,2317.03,2317.03,0.00,0.00,1.37,0.00,0.00
without_index_500_select,4,1,771.00,2310.99,2310.99,0.00,0.00,1.37,0.00,0.00
without_index_500_select,5,1,767.96,2305.89,2305.89,0.00,0.00,1.37,0.00,0.00
without_index_500_select,6,1,770.06,2310.18,2310.18,0.00,0.00,1.44,0.00,0.00
without_index_500_select,7,1,771.94,2315.81,2315.81,0.00,0.00,1.37,0.00,0.00
without_index_5000_insert,1,1,0.00,1015.03,0.00,1012.03,3.00,0.00,0.00,0.00
without_index_5000_insert,2,1,0.00,1023.47,0.00,1023.47,0.00,0.00,0.00,0.00
without_index_5000_insert,3,1,0.00,1063.99,0.00,1063.99,0.00,0.00,0.00,0.00
without_index_5000_insert,4,1,0.00,1062.01,0.00,1062.01,0.00,0.00,0.00,0.00
without_index_5000_insert,5,1,1.00,964.04,0.00,962.04,2.00,4855.31,0.00,0.00
without_index_5000_insert,6,1,0.00,1040.97,0.00,1040.97,0.00,0.00,0.00,0.00
without_index_5000_insert,7,1,0.00,1044.02,0.00,1044.02,0.00,0.00,0.00,0.00
without_index_5000_insert,8,1,0.00,1033.02,0.00,1033.02,0.00,0.00,0.00,0.00
without_index_5000_insert,9,1,0.00,1027.02,0.00,1027.02,0.00,0.00,0.00,0.00
without_index_5000_select,1,1,143.88,431.64,431.64,0.00,0.00,7.04,0.00,0.00
without_index_5000_select,2,1,147.05,441.16,441.16,0.00,0.00,7.04,0.00,0.00
without_index_5000_select,3,1,146.00,440.01,440.01,0.00,0.00,7.04,0.00,0.00
without_index_5000_select,4,1,145.00,435.00,435.00,0.00,0.00,7.04,0.00,0.00
without_index_5000_select,5,1,147.00,439.00,439.00,0.00,0.00,7.04,0.00,0.00
without_index_5000_select,6,1,146.00,438.00,438.00,0.00,0.00,7.04,0.00,0.00
without_index_5000_select,7,1,145.00,437.00,437.00,0.00,0.00,7.04,0.00,0.00
without_index_5000_select,8,1,147.99,441.96,441.96,0.00,0.00,6.91,0.00,0.00
