Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
with_index_400_insert,1,1,2.00,1066.81,0.00,1059.82,6.99,383.33,0.00,0.00
with_index_400_insert,2,1,3.00,1062.68,0.00,1056.67,6.00,390.30,0.00,0.00
with_index_400_insert,3,1,2.00,1016.88,0.00,1012.88,4.00,419.45,0.00,0.00
with_index_400_insert,4,1,3.00,1132.01,0.00,1126.01,6.00,369.77,0.00,0.00
with_index_400_insert,5,1,3.00,1130.09,0.00,1124.09,6.00,369.77,0.00,0.00
with_index_400_insert,6,1,3.00,1186.97,0.00,1180.97,6.00,350.33,0.00,0.00
with_index_400_insert,7,1,3.00,1159.96,0.00,1153.96,6.00,363.18,0.00,0.00
with_index_400_insert,8,1,3.00,1149.97,0.00,1143.97,6.00,356.70,0.00,0.00
with_index_400_select,1,1,1049.25,3147.75,3147.75,0.00,0.00,1.01,0.00,0.00
with_index_400_select,2,1,1060.13,3181.39,3181.39,0.00,0.00,1.03,0.00,0.00
with_index_400_select,3,1,1067.15,3200.45,3200.45,0.00,0.00,1.01,0.00,0.00
with_index_400_select,4,1,1046.84,3142.52,3142.52,0.00,0.00,1.03,0.00,0.00
with_index_400_select,5,1,1057.15,3170.45,3170.45,0.00,0.00,1.03,0.00,0.00
with_index_400_select,6,1,1052.00,3154.99,3154.99,0.00,0.00,1.01,0.00,0.00
with_index_400_select,7,1,1055.98,3168.95,3168.95,0.00,0.00,1.01,0.00,0.00
with_index_400_select,8,1,1055.95,3167.84,3167.84,0.00,0.00,1.01,0.00,0.00
with_index_4000_insert,1,1,0.00,1116.87,0.00,1113.87,3.00,0.00,0.00,0.00
with_index_4000_insert,2,1,0.00,1152.66,0.00,1152.66,0.00,0.00,0.00,0.00
with_index_4000_insert,3,1,0.00,1203.99,0.00,1203.99,0.00,0.00,0.00,0.00
with_index_4000_insert,4,1,1.00,1014.01,0.00,1012.01,2.00,3448.53,0.00,0.00
with_index_4000_insert,5,1,0.00,1195.89,0.00,1195.89,0.00,0.00,0.00,0.00
with_index_4000_insert,6,1,0.00,1203.05,0.00,1203.05,0.00,0.00,0.00,0.00
with_index_4000_insert,7,1,1.00,1118.05,0.00,1117.05,1.00,3511.19,0.00,0.00
with_index_4000_insert,8,1,0.00,1085.98,0.00,1084.98,1.00,0.00,0.00,0.00
with_index_4000_insert,9,1,0.00,1146.98,0.00,1146.98,0.00,0.00,0.00,0.00
with_index_4000_insert,10,1,0.00,1159.96,0.00,1159.96,0.00,0.00,0.00,0.00
with_index_4000_select,1,1,345.71,1038.11,1038.11,0.00,0.00,3.19,0.00,0.00
with_index_4000_select,2,1,357.16,1072.47,1072.47,0.00,0.00,2.97,0.00,0.00
with_index_4000_select,3,1,352.95,1056.85,1056.85,0.00,0.00,3.13,0.00,0.00
with_index_4000_select,4,1,353.03,1061.10,1061.10,0.00,0.00,3.07,0.00,0.00
with_index_4000_select,5,1,349.01,1046.02,1046.02,0.00,0.00,3.19,0.00,0.00
with_index_4000_select,6,1,345.97,1037.91,1037.91,0.00,0.00,3.43,0.00,0.00
with_index_4000_select,7,1,351.01,1053.03,1053.03,0.00,0.00,3.19,0.00,0.00
with_index_4000_select,8,1,350.03,1051.08,1051.08,0.00,0.00,3.25,0.00,0.00
without_index_400_insert,1,1,3.00,1232.66,0.00,1223.67,8.99,325.98,0.00,0.00
without_index_400_insert,2,1,1.00,712.45,0.00,710.45,2.00,549.52,0.00,0.00
without_index_400_insert,3,1,2.00,845.97,0.00,841.97,4.00,539.71,0.00,0.00
without_index_400_insert,4,1,3.00,1097.09,0.00,1091.09,6.00,549.52,0.00,0.00
without_index_400_insert,5,1,3.00,1104.87,0.00,1098.87,6.00,376.49,0.00,0.00
without_index_400_insert,6,1,3.00,1115.02,0.00,1109.02,6.00,369.77,0.00,0.00
without_index_400_insert,7,1,3.00,1162.99,0.00,1156.99,6.00,383.33,0.00,0.00
without_index_400_insert,8,1,3.00,1203.98,0.00,1197.98,6.00,344.08,0.00,0.00
without_index_400_select,1,1,814.40,2443.20,2443.20,0.00,0.00,1.32,0.00,0.00
without_index_400_select,2,1,817.22,2451.67,2451.67,0.00,0.00,1.34,0.00,0.00
without_index_400_select,3,1,814.02,2444.05,2444.05,0.00,0.00,1.37,0.00,0.00
