Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
with_index_500_insert,1,1,1.00,897.15,0.00,892.15,5.00,580.02,0.00,0.00
with_index_500_insert,2,1,2.00,812.40,0.00,808.40,4.00,623.33,0.00,0.00
with_index_500_insert,3,1,1.00,707.96,0.00,705.96,2.00,694.45,0.00,0.00
with_index_500_insert,4,1,2.00,676.01,0.00,672.01,4.00,746.32,0.00,0.00
with_index_500_insert,5,1,1.00,702.99,0.00,700.99,2.00,694.45,0.00,0.00
with_index_500_insert,6,1,2.00,895.96,0.00,891.96,4.00,694.45,0.00,0.00
with_index_500_insert,7,1,1.00,799.07,0.00,797.07,2.00,539.71,0.00,0.00
with_index_500_insert,8,1,2.00,739.97,0.00,735.97,4.00,707.07,0.00,0.00
with_index_500_select,1,1,1004.32,3013.97,3013.97,0.00,0.00,1.06,0.00,0.00
with_index_500_select,2,1,1018.17,3054.51,3054.51,0.00,0.00,1.04,0.00,0.00
with_index_500_select,3,1,1003.04,3010.12,3010.12,0.00,0.00,1.04,0.00,0.00
with_index_500_select,4,1,955.01,2864.04,2864.04,0.00,0.00,1.30,0.00,0.00
with_index_500_select,5,1,946.01,2837.03,2837.03,0.00,0.00,1.32,0.00,0.00
with_index_500_select,6,1,1011.97,3035.91,3035.91,0.00,0.00,1.06,0.00,0.00
with_index_500_select,7,1,1016.91,3052.74,3052.74,0.00,0.00,1.04,0.00,0.00
with_index_500_select,8,1,1008.06,3024.19,3024.19,0.00,0.00,1.06,0.00,0.00
with_index_5000_insert,1,1,0.00,1071.06,0.00,1068.07,3.00,0.00,0.00,0.00
with_index_5000_insert,2,1,0.00,1121.52,0.00,1121.52,0.00,0.00,0.00,0.00
with_index_5000_insert,3,1,0.00,1084.94,0.00,1084.94,0.00,0.00,0.00,0.00
with_index_5000_insert,4,1,0.00,1081.04,0.00,1081.04,0.00,0.00,0.00,0.00
with_index_5000_insert,5,1,1.00,946.96,0.00,944.96,2.00,4599.99,0.00,0.00
with_index_5000_insert,6,1,0.00,1002.03,0.00,1002.03,0.00,0.00,0.00,0.00
with_index_5000_insert,7,1,0.00,1029.98,0.00,1029.98,0.00,0.00,0.00,0.00
