Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
with_index_500_insert,1,1,1.00,699.37,0.00,694.38,5.00,682.06,0.00,0.00
with_index_500_insert,2,1,1.00,628.24,0.00,626.24,2.00,759.88,0.00,0.00
with_index_500_insert,3,1,1.00,626.03,0.00,624.03,2.00,831.46,0.00,0.00
with_index_500_insert,4,1,2.00,619.96,0.00,615.96,4.00,816.63,0.00,0.00
with_index_500_insert,5,1,1.00,789.05,0.00,787.05,2.00,657.93,0.00,0.00
with_index_500_insert,6,1,2.00,710.97,0.00,706.97,4.00,682.06,0.00,0.00
with_index_500_insert,7,1,1.00,756.00,0.00,754.00,2.00,669.89,0.00,0.00
with_index_500_insert,8,1,1.00,690.99,0.00,688.99,2.00,719.92,0.00,0.00
with_index_500_select,1,1,998.32,2996.96,2996.96,0.00,0.00,1.14,0.00,0.00
with_index_500_select,2,1,1024.22,3071.66,3071.66,0.00,0.00,1.04,0.00,0.00
with_index_500_select,3,1,1003.01,3010.02,3010.02,0.00,0.00,1.06,0.00,0.00
with_index_500_select,4,1,1003.98,3009.94,3009.94,0.00,0.00,1.10,0.00,0.00
with_index_500_select,5,1,1017.01,3053.04,3053.04,0.00,0.00,1.06,0.00,0.00
with_index_500_select,6,1,1036.95,3109.86,3109.86,0.00,0.00,1.03,0.00,0.00
with_index_500_select,7,1,1037.94,3114.83,3114.83,0.00,0.00,1.04,0.00,0.00
with_index_500_select,8,1,1036.12,3106.36,3106.36,0.00,0.00,1.03,0.00,0.00
with_index_5000_insert,1,1,0.00,810.23,0.00,807.23,3.00,0.00,0.00,0.00
with_index_5000_insert,2,1,0.00,1073.48,0.00,1073.48,0.00,0.00,0.00,0.00
with_index_5000_insert,3,1,0.00,1115.97,0.00,1115.97,0.00,0.00,0.00,0.00
with_index_5000_insert,4,1,0.00,1102.01,0.00,1102.01,0.00,0.00,0.00,0.00
with_index_5000_insert,5,1,1.00,1004.95,0.00,1002.95,2.00,4768.67,0.00,0.00
with_index_5000_insert,6,1,0.00,831.02,0.00,831.02,0.00,0.00,0.00,0.00
with_index_5000_insert,7,1,0.00,652.02,0.00,652.02,0.00,0.00,0.00,0.00
with_index_5000_insert,8,1,0.00,738.00,0.00,738.00,0.00,0.00,0.00,0.00
with_index_5000_insert,9,1,0.00,657.03,0.00,657.03,0.00,0.00,0.00,0.00
with_index_5000_insert,10,1,0.00,730.98,0.00,730.98,0.00,0.00,0.00,0.00
with_index_5000_insert,11,1,0.00,608.98,0.00,608.98,0.00,0.00,0.00,0.00
with_index_5000_select,1,1,295.77,888.32,888.32,0.00,0.00,3.55,0.00,0.00
with_index_5000_select,2,1,297.08,891.23,891.23,0.00,0.00,3.55,0.00,0.00
with_index_5000_select,3,1,296.00,888.00,888.00,0.00,0.00,3.68,0.00,0.00
with_index_5000_select,4,1,300.01,900.03,900.03,0.00,0.00,3.55,0.00,0.00
with_index_5000_select,5,1,301.99,905.98,905.98,0.00,0.00,3.36,0.00,0.00
with_index_5000_select,6,1,298.00,894.01,894.01,0.00,0.00,3.55,0.00,0.00
with_index_5000_select,7,1,298.00,893.99,893.99,0.00,0.00,3.55,0.00,0.00
without_index_500_insert,1,1,1.00,646.35,0.00,641.36,4.99,773.68,0.00,0.00
without_index_500_insert,2,1,1.00,683.39,0.00,681.39,2.00,773.68,0.00,0.00
without_index_500_insert,3,1,2.00,718.99,0.00,714.99,4.00,719.92,0.00,0.00
without_index_500_insert,4,1,1.00,578.00,0.00,576.00,2.00,846.57,0.00,0.00
without_index_500_insert,5,1,1.00,540.99,0.00,538.99,2.00,943.16,0.00,0.00
without_index_500_insert,6,1,1.00,701.98,0.00,699.98,2.00,816.63,0.00,0.00
without_index_500_insert,7,1,2.00,1093.00,0.00,1089.00,4.00,634.66,0.00,0.00
without_index_500_insert,8,1,2.00,808.06,0.00,804.06,4.00,623.33,0.00,0.00
without_index_500_select,1,1,768.48,2305.43,2305.43,0.00,0.00,1.37,0.00,0.00
without_index_500_select,2,1,769.16,2307.47,2307.47,0.00,0.00,1.39,0.00,0.00
without_index_500_select,3,1,773.03,2319.08,2319.08,0.00,0.00,1.37,0.00,0.00
without_index_500_select,4,1,775.00,2327.00,2327.00,0.00,0.00,1.37,0.00,0.00
without_index_500_select,5,1,769.02,2307.06,2307.06,0.00,0.00,1.39,0.00,0.00
without_index_500_select,6,1,773.99,2320.97,2320.97,0.00,0.00,1.37,0.00,0.00
without_index_500_select,7,1,786.99,2361.97,2361.97,0.00,0.00,1.34,0.00,0.00
