Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
with_index_500_insert,1,1,1.00,884.16,0.00,879.16,5.00,569.67,0.00,0.00
with_index_500_insert,2,1,2.00,850.39,0.00,846.39,4.00,580.02,0.00,0.00
with_index_500_insert,3,1,2.00,882.98,0.00,878.98,4.00,612.21,0.00,0.00
with_index_500_insert,4,1,2.00,947.02,0.00,943.02,4.00,559.50,0.00,0.00
with_index_500_insert,5,1,1.00,932.94,0.00,930.94,2.00,549.52,0.00,0.00
with_index_500_insert,6,1,2.00,922.08,0.00,918.08,4.00,549.52,0.00,0.00
with_index_500_insert,7,1,2.00,1039.98,0.00,1035.98,4.00,520.62,0.00,0.00
with_index_500_insert,8,1,2.00,987.00,0.00,983.00,4.00,511.33,0.00,0.00
with_index_500_select,1,1,974.28,2923.82,2923.82,0.00,0.00,1.08,0.00,0.00
with_index_500_select,2,1,984.30,2952.89,2952.89,0.00,0.00,1.08,0.00,0.00
with_index_500_select,3,1,965.99,2896.98,2896.98,0.00,0.00,1.16,0.00,0.00
with_index_500_select,4,1,999.01,2999.02,2999.02,0.00,0.00,1.06,0.00,0.00
with_index_500_select,5,1,986.93,2960.78,2960.78,0.00,0.00,1.08,0.00,0.00
with_index_500_select,6,1,990.08,2969.23,2969.23,0.00,0.00,1.08,0.00,0.00
with_index_500_select,7,1,977.95,2933.85,2933.85,0.00,0.00,1.08,0.00,0.00
with_index_5000_insert,1,1,0.00,893.22,0.00,890.22,3.00,0.00,0.00,0.00
with_index_5000_insert,2,1,0.00,855.40,0.00,855.40,0.00,0.00,0.00,0.00
with_index_5000_insert,3,1,0.00,859.96,0.00,859.96,0.00,0.00,0.00,0.00
with_index_5000_insert,4,1,0.00,865.02,0.00,865.02,0.00,0.00,0.00,0.00
with_index_5000_insert,5,1,0.00,885.00,0.00,885.00,0.00,0.00,0.00,0.00
with_index_5000_insert,6,1,1.00,852.97,0.00,850.97,2.00,5709.50,0.00,0.00
with_index_5000_insert,7,1,0.00,876.01,0.00,876.01,0.00,0.00,0.00,0.00
with_index_5000_insert,8,1,0.00,891.98,0.00,891.98,0.00,0.00,0.00,0.00
with_index_5000_insert,9,1,0.00,890.05,0.00,890.05,0.00,0.00,0.00,0.00
