Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
with_index_500,2,4,2313.51,10458.89,6925.04,930.07,2603.78,709.25,10.99,0.00,3533.85
with_index_500,4,4,2336.95,10748.50,6988.34,976.17,2783.99,648.37,12.00,0.00,3760.16
with_index_500,6,4,2326.94,10646.00,6960.31,951.05,2734.64,660.11,10.50,0.00,3685.69
with_index_500,8,4,2341.00,10883.83,6999.51,1066.45,2817.87,551.70,19.50,0.00,3884.32
with_index_500,10,4,2316.50,10531.58,6932.99,915.02,2683.57,684.32,7.00,0.00,3598.59
with_index_500,12,4,2357.51,10920.34,7047.54,1012.95,2859.85,561.64,14.50,0.00,3872.80
with_index_500,14,4,2199.49,10011.09,6580.98,890.53,2539.58,722.40,10.50,0.00,3430.11
with_index_500,16,4,2369.55,10579.20,7082.64,919.01,2577.54,660.04,14.00,0.00,3496.56
with_index_500,18,4,2335.46,10077.30,6989.88,785.98,2301.44,696.63,6.00,0.00,3087.42
with_index_5000,2,4,574.28,4926.67,1726.35,799.58,2400.74,8.74,0.00,0.00,3200.32
with_index_5000,4,4,581.57,5131.09,1744.20,846.72,2540.17,8.43,0.00,0.00,3386.89
with_index_5000,6,4,581.49,4704.42,1744.46,739.99,2219.97,8.28,0.00,0.00,2959.96
with_index_5000,8,4,585.52,4634.09,1750.05,749.51,2134.53,6369.19,5.00,0.00,2884.04
with_index_5000,10,4,581.40,4863.69,1743.70,780.00,2339.99,7.98,0.00,0.00,3119.99
with_index_5000,12,4,584.10,4863.85,1751.81,778.01,2334.03,8.28,0.00,0.00,3112.04
with_index_5000,14,4,580.50,4497.60,1737.01,701.02,2059.57,6602.44,4.00,0.00,2760.59
with_index_5000,16,4,585.49,4735.41,1755.47,744.99,2234.96,8.13,0.00,0.00,2979.94
with_index_5000,18,4,575.00,5460.51,1726.51,933.50,2800.50,8.58,0.00,0.00,3734.00
without_index_500,2,4,1683.27,8611.49,5033.32,936.02,2642.15,593.47,11.49,0.00,3578.17
without_index_500,4,4,1697.30,8465.81,5074.39,892.74,2498.68,649.16,11.50,0.00,3391.42
without_index_500,6,4,1688.47,8459.43,5047.42,905.50,2506.50,649.16,12.50,0.00,3412.01
without_index_500,8,4,1699.49,8400.82,5074.47,871.46,2454.89,637.63,12.50,0.00,3326.35
without_index_500,10,4,1706.01,8303.66,5099.52,829.54,2374.61,672.80,7.50,0.00,3204.14
without_index_500,12,4,1700.50,8312.01,5082.51,827.50,2402.00,660.84,8.00,0.00,3229.50
without_index_500,14,4,1703.99,8264.82,5094.96,833.96,2335.90,709.98,10.50,0.00,3169.86
without_index_500,16,4,1690.00,8311.50,5052.99,849.00,2409.51,685.03,9.00,0.00,3258.51
without_index_500,18,4,1703.49,8245.12,5090.48,817.03,2337.60,672.86,9.00,0.00,3154.64
without_index_5000,2,4,291.38,3829.17,875.13,736.64,2217.41,14.73,0.00,0.00,2954.04
without_index_5000,4,4,289.54,3778.41,869.12,727.70,2181.59,15.27,0.00,0.00,2909.29
without_index_5000,6,4,293.50,3732.48,882.49,712.50,2137.49,15.00,0.00,0.00,2849.99
without_index_5000,8,4,295.51,4669.92,879.02,950.98,2839.93,6609.43,2.00,0.00,3790.90
without_index_5000,10,4,293.00,4257.10,879.00,844.53,2533.58,15.00,0.00,0.00,3378.10
without_index_5000,12,4,293.99,4332.42,882.48,862.49,2587.46,15.00,0.00,0.00,3449.94
without_index_5000,14,4,294.50,4547.37,876.51,919.46,2751.39,5724.77,1.50,0.00,3670.86
without_index_5000,16,4,292.50,4313.04,877.01,859.01,2577.02,15.27,0.00,0.00,3436.03
without_index_5000,18,4,296.50,4496.47,883.51,908.99,2703.97,5622.61,3.00,0.00,3612.96
