Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
with_index_500,2,4,2327.00,10366.27,6965.51,896.04,2504.72,614.35,12.99,0.00,3400.76
with_index_500,4,4,2367.35,10561.40,7084.54,893.22,2583.64,592.70,9.00,0.00,3476.86
with_index_500,6,4,2360.48,10537.80,7056.43,893.97,2587.40,648.33,9.50,0.00,3481.37
with_index_500,8,4,2336.54,10593.15,6992.11,943.01,2658.03,582.20,12.50,0.00,3601.04
with_index_500,10,4,2364.49,10757.18,7068.96,971.56,2716.66,614.32,13.00,0.00,3688.22
with_index_500,12,4,2369.02,10652.51,7089.56,920.99,2641.96,571.81,11.00,0.00,3562.95
with_index_500,14,4,2380.00,10748.45,7117.01,937.48,2693.95,592.67,12.50,0.00,3631.44
with_index_500,16,4,2345.50,10731.46,7017.00,975.49,2738.97,592.74,13.00,0.00,3714.46
with_index_500,18,4,2368.46,10598.54,7086.38,930.04,2582.11,592.70,10.50,0.00,3512.16
with_index_5000,2,4,567.78,5268.44,1705.83,889.03,2673.58,8.74,0.00,0.00,3562.61
with_index_5000,4,4,571.58,5181.63,1715.24,866.72,2599.67,8.74,0.00,0.00,3466.39
with_index_5000,6,4,574.00,5180.05,1716.99,869.51,2593.54,5616.35,2.00,0.00,3463.06
with_index_5000,8,4,565.02,5342.02,1694.06,911.99,2735.97,9.39,0.00,0.00,3647.96
with_index_5000,10,4,575.94,5381.28,1725.32,913.99,2741.97,8.74,0.00,0.00,3655.96
with_index_5000,12,4,569.53,5097.17,1704.60,848.52,2544.05,5616.19,2.00,0.00,3392.57
with_index_5000,14,4,571.01,5312.08,1714.02,899.52,2698.55,8.74,0.00,0.00,3598.06
with_index_5000,16,4,575.00,5318.96,1723.00,898.99,2696.97,8.58,0.00,0.00,3595.96
with_index_5000,18,4,575.50,5092.34,1721.50,846.46,2524.38,5718.56,2.00,0.00,3370.84
without_index_500,2,4,1622.80,8453.05,4853.41,967.50,2632.14,604.54,15.49,0.00,3599.64
without_index_500,4,4,1666.78,8629.79,4981.34,951.25,2697.20,572.80,9.50,0.00,3648.45
without_index_500,6,4,1661.98,8693.51,4961.94,1001.02,2730.55,583.15,14.50,0.00,3731.57
without_index_500,8,4,1661.49,8691.34,4960.48,1013.46,2717.40,583.27,15.50,0.00,3730.86
without_index_500,10,4,1660.49,8729.03,4963.47,1012.52,2753.04,593.75,15.50,0.00,3765.56
without_index_500,12,4,1671.52,8608.54,4990.07,941.49,2676.98,583.04,12.50,0.00,3618.47
without_index_500,14,4,1667.48,8833.35,4983.94,1005.48,2843.93,572.74,10.50,0.00,3849.41
without_index_500,16,4,1670.55,8672.73,4987.15,993.52,2692.06,604.42,14.00,0.00,3685.58
without_index_500,18,4,1655.46,8601.36,4949.87,938.50,2712.99,583.15,9.00,0.00,3651.49
without_index_5000,2,4,286.89,4156.73,862.66,822.02,2472.05,16.12,0.00,0.00,3294.07
without_index_5000,4,4,289.54,4416.16,869.13,886.76,2660.27,17.01,0.00,0.00,3547.03
without_index_5000,6,4,294.00,4369.16,875.50,900.04,2593.62,5829.36,6.50,0.00,3493.66
without_index_5000,8,4,291.50,4461.04,874.99,896.51,2689.54,15.83,0.00,0.00,3586.05
without_index_5000,10,4,292.00,4479.87,874.01,901.46,2704.39,16.41,0.00,0.00,3605.86
without_index_5000,12,4,291.50,4360.12,869.50,883.53,2607.09,5623.44,4.00,0.00,3490.62
without_index_5000,14,4,291.50,4615.03,874.99,935.01,2805.03,16.41,0.00,0.00,3740.04
without_index_5000,16,4,290.50,4419.83,872.01,886.96,2660.87,16.12,0.00,0.00,3547.82
without_index_5000,18,4,291.00,4438.15,867.00,896.54,2674.61,5623.16,2.00,0.00,3571.15
