Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
with_index_500_insert,2,4,6.00,3400.76,0.00,896.04,2504.72,612.21,12.99,0.00
with_index_500_insert,4,4,6.00,3476.86,0.00,893.22,2583.64,590.56,9.00,0.00
with_index_500_insert,6,4,8.00,3481.37,0.00,893.97,2587.40,646.19,9.50,0.00
with_index_500_insert,8,4,6.00,3601.04,0.00,943.01,2658.03,580.02,12.50,0.00
with_index_500_insert,10,4,8.00,3688.22,0.00,971.56,2716.66,612.21,13.00,0.00
with_index_500_insert,12,4,6.00,3562.95,0.00,920.99,2641.96,569.67,11.00,0.00
with_index_500_insert,14,4,8.00,3631.44,0.00,937.48,2693.95,590.56,12.50,0.00
with_index_500_insert,16,4,6.00,3714.46,0.00,975.49,2738.97,590.56,13.00,0.00
with_index_500_insert,18,4,6.00,3512.16,0.00,930.04,2582.11,590.56,10.50,0.00
with_index_500_select,2,4,2321.00,6965.51,6965.51,0.00,0.00,2.14,0.00,0.00
with_index_500_select,4,4,2361.35,7084.54,7084.54,0.00,0.00,2.14,0.00,0.00
with_index_500_select,6,4,2352.48,7056.43,7056.43,0.00,0.00,2.14,0.00,0.00
with_index_500_select,8,4,2330.54,6992.11,6992.11,0.00,0.00,2.18,0.00,0.00
with_index_500_select,10,4,2356.49,7068.96,7068.96,0.00,0.00,2.11,0.00,0.00
with_index_500_select,12,4,2363.02,7089.56,7089.56,0.00,0.00,2.14,0.00,0.00
with_index_500_select,14,4,2372.00,7117.01,7117.01,0.00,0.00,2.11,0.00,0.00
with_index_500_select,16,4,2339.50,7017.00,7017.00,0.00,0.00,2.18,0.00,0.00
with_index_500_select,18,4,2362.46,7086.38,7086.38,0.00,0.00,2.14,0.00,0.00
with_index_5000_insert,2,4,0.00,3562.61,0.00,889.03,2673.58,0.00,0.00,0.00
with_index_5000_insert,4,4,0.00,3466.39,0.00,866.72,2599.67,0.00,0.00,0.00
with_index_5000_insert,6,4,2.00,3463.06,0.00,869.51,2593.54,5607.61,2.00,0.00
with_index_5000_insert,8,4,0.00,3647.96,0.00,911.99,2735.97,0.00,0.00,0.00
with_index_5000_insert,10,4,0.00,3655.96,0.00,913.99,2741.97,0.00,0.00,0.00
with_index_5000_insert,12,4,2.00,3392.57,0.00,848.52,2544.05,5607.61,2.00,0.00
with_index_5000_insert,14,4,0.00,3598.06,0.00,899.52,2698.55,0.00,0.00,0.00
with_index_5000_insert,16,4,0.00,3595.96,0.00,898.99,2696.97,0.00,0.00,0.00
with_index_5000_insert,18,4,2.00,3370.84,0.00,846.46,2524.38,5709.50,2.00,0.00
with_index_5000_insert,20,4,0.00,3530.13,0.00,882.53,2647.60,0.00,0.00,0.00
with_index_5000_insert,22,4,0.00,3583.90,0.00,895.98,2687.93,0.00,0.00,0.00
with_index_5000_select,2,4,567.78,1705.83,1705.83,0.00,0.00,8.74,0.00,0.00
with_index_5000_select,4,4,571.58,1715.24,1715.24,0.00,0.00,8.74,0.00,0.00
with_index_5000_select,6,4,572.00,1716.99,1716.99,0.00,0.00,8.74,0.00,0.00
with_index_5000_select,8,4,565.02,1694.06,1694.06,0.00,0.00,9.39,0.00,0.00
with_index_5000_select,10,4,575.94,1725.32,1725.32,0.00,0.00,8.74,0.00,0.00
with_index_5000_select,12,4,567.53,1704.60,1704.60,0.00,0.00,8.58,0.00,0.00
with_index_5000_select,14,4,571.01,1714.02,1714.02,0.00,0.00,8.74,0.00,0.00
with_index_5000_select,16,4,575.00,1723.00,1723.00,0.00,0.00,8.58,0.00,0.00
with_index_5000_select,18,4,573.50,1721.50,1721.50,0.00,0.00,9.06,0.00,0.00
without_index_500_insert,2,4,6.00,3599.64,0.00,967.50,2632.14,601.29,15.49,0.00
without_index_500_insert,4,4,6.00,3648.45,0.00,951.25,2697.20,569.67,9.50,0.00
without_index_500_insert,6,4,8.00,3731.57,0.00,1001.02,2730.55,580.02,14.50,0.00
without_index_500_insert,8,4,8.00,3730.86,0.00,1013.46,2717.40,580.02,15.50,0.00
without_index_500_insert,10,4,6.00,3765.56,0.00,1012.52,2753.04,590.56,15.50,0.00
without_index_500_insert,12,4,8.00,3618.47,0.00,941.49,2676.98,580.02,12.50,0.00
without_index_500_insert,14,4,6.00,3849.41,0.00,1005.48,2843.93,569.67,10.50,0.00
without_index_500_insert,16,4,8.00,3685.58,0.00,993.52,2692.06,601.29,14.00,0.00
without_index_500_insert,18,4,6.00,3651.49,0.00,938.50,2712.99,580.02,9.00,0.00
without_index_500_select,2,4,1616.80,4853.41,4853.41,0.00,0.00,3.25,0.00,0.00
without_index_500_select,4,4,1660.78,4981.34,4981.34,0.00,0.00,3.13,0.00,0.00
without_index_500_select,6,4,1653.98,4961.94,4961.94,0.00,0.00,3.13,0.00,0.00
without_index_500_select,8,4,1653.49,4960.48,4960.48,0.00,0.00,3.25,0.00,0.00
without_index_500_select,10,4,1654.49,4963.47,4963.47,0.00,0.00,3.19,0.00,0.00
without_index_500_select,12,4,1663.52,4990.07,4990.07,0.00,0.00,3.02,0.00,0.00
without_index_500_select,14,4,1661.48,4983.94,4983.94,0.00,0.00,3.07,0.00,0.00
without_index_500_select,16,4,1662.55,4987.15,4987.15,0.00,0.00,3.13,0.00,0.00
without_index_500_select,18,4,1649.46,4949.87,4949.87,0.00,0.00,3.13,0.00,0.00
without_index_5000_insert,2,4,0.00,3294.07,0.00,822.02,2472.05,0.00,0.00,0.00
without_index_5000_insert,4,4,0.00,3547.03,0.00,886.76,2660.27,0.00,0.00,0.00
without_index_5000_insert,6,4,2.00,3493.66,0.00,900.04,2593.62,5813.24,6.50,0.00
without_index_5000_insert,8,4,0.00,3586.05,0.00,896.51,2689.54,0.00,0.00,0.00
without_index_5000_insert,10,4,0.00,3605.86,0.00,901.46,2704.39,0.00,0.00,0.00
without_index_5000_insert,12,4,2.00,3490.62,0.00,883.53,2607.09,5607.61,4.00,0.00
without_index_5000_insert,14,4,0.00,3740.04,0.00,935.01,2805.03,0.00,0.00,0.00
without_index_5000_insert,16,4,0.00,3547.82,0.00,886.96,2660.87,0.00,0.00,0.00
without_index_5000_insert,18,4,2.00,3571.15,0.00,896.54,2674.61,5607.61,2.00,0.00
without_index_5000_insert,20,4,0.00,3734.30,0.00,933.45,2800.85,0.00,0.00,0.00
without_index_5000_insert,22,4,0.00,3839.66,0.00,960.04,2879.62,0.00,0.00,0.00
without_index_5000_select,2,4,286.89,862.66,862.66,0.00,0.00,16.12,0.00,0.00
without_index_5000_select,4,4,289.54,869.13,869.13,0.00,0.00,17.01,0.00,0.00
without_index_5000_select,6,4,292.00,875.50,875.50,0.00,0.00,16.12,0.00,0.00
without_index_5000_select,8,4,291.50,874.99,874.99,0.00,0.00,15.83,0.00,0.00
without_index_5000_select,10,4,292.00,874.01,874.01,0.00,0.00,16.41,0.00,0.00
without_index_5000_select,12,4,289.50,869.50,869.50,0.00,0.00,15.83,0.00,0.00
without_index_5000_select,14,4,291.50,874.99,874.99,0.00,0.00,16.41,0.00,0.00
without_index_5000_select,16,4,290.50,872.01,872.01,0.00,0.00,16.12,0.00,0.00
without_index_5000_select,18,4,289.00,867.00,867.00,0.00,0.00,15.55,0.00,0.00
