Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
with_index_500_insert,2,4,4.00,3112.49,0.00,825.10,2287.39,682.06,10.00,0.00
with_index_500_insert,4,4,8.00,3122.25,0.00,813.20,2309.06,682.06,11.50,0.00
with_index_500_insert,6,4,6.00,3225.04,0.00,843.51,2381.53,682.06,9.00,0.00
with_index_500_insert,8,4,6.00,3266.01,0.00,866.00,2400.01,669.89,12.00,0.00
with_index_500_insert,10,4,6.00,3167.92,0.00,818.48,2349.44,682.06,10.00,0.00
with_index_500_insert,12,4,6.00,3153.31,0.00,805.95,2347.36,682.06,8.50,0.00
with_index_500_insert,14,4,6.00,3165.18,0.00,813.05,2352.13,669.89,9.50,0.00
with_index_500_insert,16,4,6.00,3112.01,0.00,797.00,2315.00,669.89,7.50,0.00
with_index_500_insert,18,4,6.00,3175.45,0.00,846.49,2328.96,682.06,12.00,0.00
with_index_500_select,2,4,2346.99,7042.98,7042.98,0.00,0.00,2.14,0.00,0.00
with_index_500_select,4,4,2333.36,7000.59,7000.59,0.00,0.00,2.22,0.00,0.00
with_index_500_select,6,4,2386.01,7158.02,7158.02,0.00,0.00,2.11,0.00,0.00
with_index_500_select,8,4,2387.00,7160.49,7160.49,0.00,0.00,2.11,0.00,0.00
with_index_500_select,10,4,2401.01,7203.03,7203.03,0.00,0.00,2.07,0.00,0.00
with_index_500_select,12,4,2391.49,7174.96,7174.96,0.00,0.00,2.11,0.00,0.00
with_index_500_select,14,4,2405.01,7216.53,7216.53,0.00,0.00,2.07,0.00,0.00
with_index_500_select,16,4,2399.11,7196.84,7196.84,0.00,0.00,2.11,0.00,0.00
with_index_500_select,18,4,2399.38,7197.14,7197.14,0.00,0.00,2.07,0.00,0.00
with_index_5000_insert,2,4,0.00,3089.97,0.00,777.61,2312.35,0.00,1.00,0.00
with_index_5000_insert,4,4,0.00,3116.91,0.00,779.23,2337.68,0.00,0.00,0.00
with_index_5000_insert,6,4,0.00,3011.90,0.00,752.98,2258.93,0.00,0.00,0.00
with_index_5000_insert,8,4,2.00,2974.96,0.00,761.49,2213.47,6594.16,4.50,0.00
with_index_5000_insert,10,4,0.00,3106.61,0.00,776.53,2330.09,0.00,0.00,0.00
with_index_5000_insert,12,4,0.00,3413.92,0.00,853.48,2560.44,0.00,0.00,0.00
with_index_5000_insert,14,4,2.00,3015.03,0.00,757.51,2257.52,6360.91,2.00,0.00
with_index_5000_insert,16,4,0.00,3031.97,0.00,757.99,2273.98,0.00,0.00,0.00
with_index_5000_insert,18,4,0.00,3240.02,0.00,810.01,2430.02,0.00,0.00,0.00
with_index_5000_select,2,4,570.27,1713.81,1713.81,0.00,0.00,8.28,0.00,0.00
with_index_5000_select,4,4,577.08,1730.73,1730.73,0.00,0.00,8.13,0.00,0.00
with_index_5000_select,6,4,577.01,1731.52,1731.52,0.00,0.00,7.98,0.00,0.00
with_index_5000_select,8,4,578.98,1736.45,1736.45,0.00,0.00,8.13,0.00,0.00
with_index_5000_select,10,4,577.01,1730.54,1730.54,0.00,0.00,8.13,0.00,0.00
with_index_5000_select,12,4,576.99,1730.96,1730.96,0.00,0.00,8.13,0.00,0.00
with_index_5000_select,14,4,579.02,1737.05,1737.05,0.00,0.00,8.13,0.00,0.00
with_index_5000_select,16,4,576.48,1729.43,1729.43,0.00,0.00,8.13,0.00,0.00
with_index_5000_select,18,4,573.48,1721.94,1721.94,0.00,0.00,8.28,0.00,0.00
without_index_500_insert,2,4,6.00,3551.39,0.00,928.45,2622.94,601.29,10.49,0.00
without_index_500_insert,4,4,6.00,3381.68,0.00,873.80,2507.87,612.21,9.50,0.00
without_index_500_insert,6,4,6.00,3154.55,0.00,815.51,2339.04,634.66,11.00,0.00
without_index_500_insert,8,4,6.00,3163.85,0.00,822.96,2340.89,719.92,10.00,0.00
without_index_500_insert,10,4,6.00,3121.09,0.00,807.52,2313.57,719.92,9.50,0.00
without_index_500_insert,12,4,6.00,3273.03,0.00,843.51,2429.52,669.89,9.00,0.00
without_index_500_insert,14,4,8.00,3203.78,0.00,831.44,2372.33,657.93,13.00,0.00
without_index_500_insert,16,4,6.00,3134.65,0.00,830.54,2304.11,682.06,13.00,0.00
without_index_500_insert,18,4,6.00,3187.91,0.00,833.48,2354.43,657.93,8.00,0.00
without_index_500_select,2,4,1683.31,5051.42,5051.42,0.00,0.00,2.91,0.00,0.00
without_index_500_select,4,4,1699.24,5097.73,5097.73,0.00,0.00,2.91,0.00,0.00
without_index_500_select,6,4,1702.50,5108.51,5108.51,0.00,0.00,2.91,0.00,0.00
without_index_500_select,8,4,1703.50,5110.00,5110.00,0.00,0.00,2.91,0.00,0.00
without_index_500_select,10,4,1703.51,5110.54,5110.54,0.00,0.00,2.86,0.00,0.00
without_index_500_select,12,4,1693.01,5078.02,5078.02,0.00,0.00,2.91,0.00,0.00
without_index_500_select,14,4,1701.54,5106.12,5106.12,0.00,0.00,2.91,0.00,0.00
without_index_500_select,16,4,1699.44,5097.31,5097.31,0.00,0.00,2.86,0.00,0.00
without_index_500_select,18,4,1696.52,5090.56,5090.56,0.00,0.00,2.86,0.00,0.00
without_index_5000_insert,2,4,0.00,3316.53,0.00,827.63,2488.90,0.00,0.00,0.00
without_index_5000_insert,4,4,0.00,3448.71,0.00,862.18,2586.53,0.00,0.00,0.00
