Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
with_index_500,2,4,2359.92,10849.31,7062.26,977.50,2809.56,551.63,9.99,0.00,3787.05
with_index_500,4,4,2332.42,11077.68,6974.26,1064.24,3039.18,551.74,14.50,0.00,4103.42
with_index_500,6,4,2366.02,10865.12,7073.06,974.51,2817.54,561.64,11.00,0.00,3792.06
with_index_500,8,4,2380.43,10926.67,7118.80,993.46,2814.40,561.61,11.50,0.00,3807.87
with_index_500,10,4,2374.54,11043.89,7106.62,1025.57,2911.70,532.19,13.00,0.00,3937.27
with_index_500,12,4,2386.00,10799.88,7132.99,955.47,2711.42,571.78,12.00,0.00,3666.89
with_index_500,14,4,2386.60,11033.65,7135.81,1044.46,2853.38,551.66,15.50,0.00,3897.84
with_index_500,16,4,2362.38,10933.24,7071.15,1011.02,2851.07,551.70,7.50,0.00,3862.09
with_index_500,18,4,2314.99,10705.14,6918.48,970.54,2816.12,551.82,10.00,0.00,3786.66
with_index_5000,2,4,570.29,5303.40,1713.36,896.01,2694.03,8.28,0.00,0.00,3590.04
with_index_5000,4,4,578.08,5105.29,1734.24,842.76,2528.28,8.28,0.00,0.00,3371.05
with_index_5000,6,4,581.47,4984.88,1737.92,819.49,2427.47,5821.22,3.00,0.00,3246.96
with_index_5000,8,4,578.52,5217.95,1736.56,870.47,2610.92,8.28,0.00,0.00,3481.39
with_index_5000,10,4,580.46,5232.90,1740.39,873.00,2619.50,7.98,0.00,0.00,3492.51
with_index_5000,12,4,581.54,5120.21,1739.13,848.52,2532.56,5821.52,2.00,0.00,3381.08
with_index_5000,14,4,574.99,5233.46,1725.47,877.00,2631.00,8.43,0.00,0.00,3507.99
with_index_5000,16,4,580.49,5192.94,1740.97,862.99,2588.97,8.13,0.00,0.00,3451.97
with_index_5000,18,4,572.51,5070.48,1711.53,841.49,2517.46,5821.98,1.50,0.00,3358.95
without_index_500,2,4,1681.80,8968.46,5029.90,1022.00,2916.57,532.99,12.49,0.00,3938.56
without_index_500,4,4,1710.23,8985.15,5105.18,1031.76,2848.21,552.43,12.50,0.00,3879.97
without_index_500,6,4,1696.58,8828.10,5066.73,968.47,2792.91,582.99,10.50,0.00,3761.37
without_index_500,8,4,1696.41,9006.61,5065.72,1038.47,2902.42,542.73,12.00,0.00,3940.89
without_index_500,10,4,1707.00,8928.69,5102.51,999.05,2827.13,542.62,10.50,0.00,3826.18
without_index_500,12,4,1708.49,9045.04,5102.98,1026.52,2915.55,532.94,12.50,0.00,3942.06
without_index_500,14,4,1704.01,9052.80,5088.02,1044.44,2920.34,532.99,14.50,0.00,3964.78
without_index_500,16,4,1710.01,9073.12,5106.02,1049.03,2918.07,523.48,12.50,0.00,3967.10
without_index_500,18,4,1685.98,9038.59,5033.95,1043.04,2961.60,572.69,14.00,0.00,4004.64
without_index_5000,2,4,289.88,4493.70,870.14,904.52,2719.04,15.55,0.00,0.00,3623.56
without_index_5000,4,4,291.55,4481.12,876.14,901.25,2703.74,15.55,0.00,0.00,3604.98
without_index_5000,6,4,295.99,4303.41,881.98,856.98,2564.45,5622.61,1.00,0.00,3421.43
without_index_5000,8,4,292.00,4310.11,876.01,858.52,2575.57,15.27,0.00,0.00,3434.10
without_index_5000,10,4,293.50,4433.51,881.51,888.00,2664.00,14.73,0.00,0.00,3552.00
without_index_5000,12,4,295.49,4253.49,880.98,870.50,2502.01,5724.50,4.00,0.00,3372.51
without_index_5000,14,4,295.00,4433.96,882.01,887.99,2663.97,14.73,0.00,0.00,3551.95
without_index_5000,16,4,291.50,4309.60,875.50,858.52,2575.57,15.00,0.00,0.00,3434.10
without_index_5000,18,4,295.00,4103.91,881.49,813.48,2408.94,5933.87,3.50,0.00,3222.42
