Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
with_index_500_insert,2,4,6.00,3787.05,0.00,977.50,2809.56,549.52,9.99,0.00
with_index_500_insert,4,4,8.00,4103.42,0.00,1064.24,3039.18,549.52,14.50,0.00
with_index_500_insert,6,4,8.00,3792.06,0.00,974.51,2817.54,559.50,11.00,0.00
with_index_500_insert,8,4,8.00,3807.87,0.00,993.46,2814.40,559.50,11.50,0.00
with_index_500_insert,10,4,6.00,3937.27,0.00,1025.57,2911.70,530.08,13.00,0.00
with_index_500_insert,12,4,8.00,3666.89,0.00,955.47,2711.42,569.67,12.00,0.00
with_index_500_insert,14,4,8.00,3897.84,0.00,1044.46,2853.38,549.52,15.50,0.00
with_index_500_insert,16,4,6.00,3862.09,0.00,1011.02,2851.07,549.52,7.50,0.00
with_index_500_insert,18,4,8.00,3786.66,0.00,970.54,2816.12,549.52,10.00,0.00
with_index_500_select,2,4,2353.92,7062.26,7062.26,0.00,0.00,2.11,0.00,0.00
with_index_500_select,4,4,2324.42,6974.26,6974.26,0.00,0.00,2.22,0.00,0.00
with_index_500_select,6,4,2358.02,7073.06,7073.06,0.00,0.00,2.14,0.00,0.00
with_index_500_select,8,4,2372.43,7118.80,7118.80,0.00,0.00,2.11,0.00,0.00
with_index_500_select,10,4,2368.54,7106.62,7106.62,0.00,0.00,2.11,0.00,0.00
with_index_500_select,12,4,2378.00,7132.99,7132.99,0.00,0.00,2.11,0.00,0.00
with_index_500_select,14,4,2378.60,7135.81,7135.81,0.00,0.00,2.14,0.00,0.00
with_index_500_select,16,4,2356.38,7071.15,7071.15,0.00,0.00,2.18,0.00,0.00
with_index_500_select,18,4,2306.99,6918.48,6918.48,0.00,0.00,2.30,0.00,0.00
with_index_5000_insert,2,4,0.00,3590.04,0.00,896.01,2694.03,0.00,0.00,0.00
with_index_5000_insert,4,4,0.00,3371.05,0.00,842.76,2528.28,0.00,0.00,0.00
with_index_5000_insert,6,4,2.00,3246.96,0.00,819.49,2427.47,5813.24,3.00,0.00
with_index_5000_insert,8,4,0.00,3481.39,0.00,870.47,2610.92,0.00,0.00,0.00
with_index_5000_insert,10,4,0.00,3492.51,0.00,873.00,2619.50,0.00,0.00,0.00
with_index_5000_insert,12,4,2.00,3381.08,0.00,848.52,2532.56,5813.24,2.00,0.00
with_index_5000_insert,14,4,0.00,3507.99,0.00,877.00,2631.00,0.00,0.00,0.00
with_index_5000_insert,16,4,0.00,3451.97,0.00,862.99,2588.97,0.00,0.00,0.00
with_index_5000_insert,18,4,2.00,3358.95,0.00,841.49,2517.46,5813.24,1.50,0.00
with_index_5000_insert,20,4,0.00,3404.15,0.00,851.04,2553.11,0.00,0.00,0.00
with_index_5000_insert,22,4,0.00,3427.92,0.00,856.98,2570.94,0.00,0.00,0.00
with_index_5000_select,2,4,570.29,1713.36,1713.36,0.00,0.00,8.28,0.00,0.00
with_index_5000_select,4,4,578.08,1734.24,1734.24,0.00,0.00,8.28,0.00,0.00
with_index_5000_select,6,4,579.47,1737.92,1737.92,0.00,0.00,7.98,0.00,0.00
with_index_5000_select,8,4,578.52,1736.56,1736.56,0.00,0.00,8.28,0.00,0.00
with_index_5000_select,10,4,580.46,1740.39,1740.39,0.00,0.00,7.98,0.00,0.00
with_index_5000_select,12,4,579.54,1739.13,1739.13,0.00,0.00,8.28,0.00,0.00
with_index_5000_select,14,4,574.99,1725.47,1725.47,0.00,0.00,8.43,0.00,0.00
with_index_5000_select,16,4,580.49,1740.97,1740.97,0.00,0.00,8.13,0.00,0.00
with_index_5000_select,18,4,570.51,1711.53,1711.53,0.00,0.00,8.74,0.00,0.00
without_index_500_insert,2,4,6.00,3938.56,0.00,1022.00,2916.57,530.08,12.49,0.00
without_index_500_insert,4,4,8.00,3879.97,0.00,1031.76,2848.21,549.52,12.50,0.00
without_index_500_insert,6,4,8.00,3761.37,0.00,968.47,2792.91,580.02,10.50,0.00
without_index_500_insert,8,4,8.00,3940.89,0.00,1038.47,2902.42,539.71,12.00,0.00
without_index_500_insert,10,4,6.00,3826.18,0.00,999.05,2827.13,539.71,10.50,0.00
without_index_500_insert,12,4,8.00,3942.06,0.00,1026.52,2915.55,530.08,12.50,0.00
without_index_500_insert,14,4,8.00,3964.78,0.00,1044.44,2920.34,530.08,14.50,0.00
without_index_500_insert,16,4,8.00,3967.10,0.00,1049.03,2918.07,520.62,12.50,0.00
without_index_500_insert,18,4,8.00,4004.64,0.00,1043.04,2961.60,569.67,14.00,0.00
without_index_500_select,2,4,1675.80,5029.90,5029.90,0.00,0.00,2.91,0.00,0.00
without_index_500_select,4,4,1702.23,5105.18,5105.18,0.00,0.00,2.91,0.00,0.00
without_index_500_select,6,4,1688.58,5066.73,5066.73,0.00,0.00,2.97,0.00,0.00
without_index_500_select,8,4,1688.41,5065.72,5065.72,0.00,0.00,3.02,0.00,0.00
without_index_500_select,10,4,1701.00,5102.51,5102.51,0.00,0.00,2.91,0.00,0.00
without_index_500_select,12,4,1700.49,5102.98,5102.98,0.00,0.00,2.86,0.00,0.00
without_index_500_select,14,4,1696.01,5088.02,5088.02,0.00,0.00,2.91,0.00,0.00
