Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
with_index_500,2,4,2332.01,9819.22,6986.04,761.65,2071.54,775.82,10.00,0.00,2833.18
with_index_500,4,4,2347.35,9688.62,7025.05,680.15,1983.42,775.86,7.50,0.00,2663.57
with_index_500,6,4,2316.43,9835.72,6929.78,776.48,2129.46,762.14,13.00,0.00,2905.94
with_index_500,8,4,2355.11,9758.87,7054.85,678.01,2026.02,775.82,4.50,0.00,2704.02
with_index_500,10,4,2363.48,9660.05,7071.94,680.03,1908.08,818.77,8.50,0.00,2588.11
with_index_500,12,4,2373.62,9732.35,7107.85,678.50,1946.00,789.85,7.00,0.00,2624.50
with_index_500,14,4,2366.38,9673.60,7083.13,663.49,1926.98,804.19,7.00,0.00,2590.47
with_index_500,16,4,2364.00,9741.93,7080.49,685.98,1975.45,789.88,6.00,0.00,2661.44
with_index_500,18,4,2369.53,9936.18,7089.08,753.03,2094.08,775.79,11.50,0.00,2847.10
with_index_5000,2,4,567.77,4386.48,1705.82,668.67,2011.99,8.43,0.00,0.00,2680.66
with_index_5000,4,4,571.53,4594.84,1714.08,720.19,2160.57,8.43,0.00,0.00,2880.76
with_index_5000,6,4,575.54,4430.08,1728.12,675.49,2026.47,8.13,0.00,0.00,2701.96
with_index_5000,8,4,581.51,4457.58,1738.03,710.51,2009.03,7223.52,5.00,0.00,2719.55
with_index_5000,10,4,576.50,4664.44,1730.49,733.49,2200.46,8.13,0.00,0.00,2933.95
with_index_5000,12,4,579.48,4606.84,1736.95,717.47,2152.41,8.28,0.00,0.00,2869.89
with_index_5000,14,4,579.02,4674.61,1737.05,734.01,2203.54,8.13,0.00,0.00,2937.56
with_index_5000,16,4,579.00,4389.46,1730.99,689.99,1968.48,6968.45,4.50,0.00,2658.47
with_index_5000,18,4,576.00,4673.09,1727.01,736.52,2209.56,8.28,0.00,0.00,2946.08
without_index_500,2,4,1679.80,8131.27,5029.89,820.57,2280.81,735.97,9.50,0.00,3101.38
without_index_500,4,4,1707.75,8149.50,5105.74,795.70,2248.06,684.92,10.00,0.00,3043.76
without_index_500,6,4,1703.51,8774.08,5085.04,991.01,2698.03,685.03,15.00,0.00,3689.04
without_index_500,8,4,1717.01,8996.81,5126.03,1063.44,2807.34,552.38,17.50,0.00,3870.78
without_index_500,10,4,1707.00,8531.26,5104.01,874.06,2553.18,604.20,8.00,0.00,3427.25
without_index_500,12,4,1700.00,8289.83,5082.99,855.96,2350.88,722.89,14.00,0.00,3206.84
without_index_500,14,4,1681.50,7853.49,5027.01,723.49,2102.98,749.34,7.00,0.00,2826.48
without_index_500,16,4,1707.00,8299.04,5100.99,828.01,2370.04,672.75,9.50,0.00,3198.05
without_index_500,18,4,1706.00,8239.07,5102.01,818.51,2318.54,684.97,9.50,0.00,3137.06
without_index_5000,2,4,285.88,3652.26,860.13,697.66,2094.47,15.55,0.00,0.00,2792.13
without_index_5000,4,4,288.55,3966.84,866.16,774.67,2326.01,16.12,0.00,0.00,3100.68
without_index_5000,6,4,294.00,3876.39,882.00,748.97,2245.42,15.00,0.00,0.00,2994.39
without_index_5000,8,4,296.99,3859.62,883.46,773.04,2203.12,6728.70,5.50,0.00,2976.16
without_index_5000,10,4,293.51,3810.01,882.04,731.99,2195.98,14.73,0.00,0.00,2927.97
without_index_5000,12,4,293.50,3751.91,879.99,717.98,2153.94,15.00,0.00,0.00,2871.92
without_index_5000,14,4,296.00,3771.61,881.01,733.53,2157.07,6975.44,4.00,0.00,2890.60
without_index_5000,16,4,294.00,4243.36,881.50,840.46,2521.39,15.27,0.00,0.00,3361.86
without_index_5000,18,4,292.50,4106.66,878.50,807.04,2421.12,15.00,0.00,0.00,3228.16
