Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
with_index_500_insert,2,4,4.00,2833.18,0.00,761.65,2071.54,773.68,10.00,0.00
with_index_500_insert,4,4,6.00,2663.57,0.00,680.15,1983.42,773.68,7.50,0.00
with_index_500_insert,6,4,6.00,2905.94,0.00,776.48,2129.46,759.88,13.00,0.00
with_index_500_insert,8,4,4.00,2704.02,0.00,678.01,2026.02,773.68,4.50,0.00
with_index_500_insert,10,4,6.00,2588.11,0.00,680.03,1908.08,816.63,8.50,0.00
with_index_500_insert,12,4,4.00,2624.50,0.00,678.50,1946.00,787.74,7.00,0.00
with_index_500_insert,14,4,6.00,2590.47,0.00,663.49,1926.98,802.05,7.00,0.00
with_index_500_insert,16,4,4.00,2661.44,0.00,685.98,1975.45,787.74,6.00,0.00
with_index_500_insert,18,4,6.00,2847.10,0.00,753.03,2094.08,773.68,11.50,0.00
with_index_500_select,2,4,2328.01,6986.04,6986.04,0.00,0.00,2.14,0.00,0.00
with_index_500_select,4,4,2341.35,7025.05,7025.05,0.00,0.00,2.18,0.00,0.00
with_index_500_select,6,4,2310.43,6929.78,6929.78,0.00,0.00,2.26,0.00,0.00
with_index_500_select,8,4,2351.11,7054.85,7054.85,0.00,0.00,2.14,0.00,0.00
with_index_500_select,10,4,2357.48,7071.94,7071.94,0.00,0.00,2.14,0.00,0.00
with_index_500_select,12,4,2369.62,7107.85,7107.85,0.00,0.00,2.11,0.00,0.00
with_index_500_select,14,4,2360.38,7083.13,7083.13,0.00,0.00,2.14,0.00,0.00
with_index_500_select,16,4,2360.00,7080.49,7080.49,0.00,0.00,2.14,0.00,0.00
with_index_500_select,18,4,2363.53,7089.08,7089.08,0.00,0.00,2.11,0.00,0.00
with_index_5000_insert,2,4,0.00,2680.66,0.00,668.67,2011.99,0.00,0.00,0.00
with_index_5000_insert,4,4,0.00,2880.76,0.00,720.19,2160.57,0.00,0.00,0.00
with_index_5000_insert,6,4,0.00,2701.96,0.00,675.49,2026.47,0.00,0.00,0.00
with_index_5000_insert,8,4,2.00,2719.55,0.00,710.51,2009.03,7215.39,5.00,0.00
with_index_5000_insert,10,4,0.00,2933.95,0.00,733.49,2200.46,0.00,0.00,0.00
with_index_5000_insert,12,4,0.00,2869.89,0.00,717.47,2152.41,0.00,0.00,0.00
with_index_5000_insert,14,4,0.00,2937.56,0.00,734.01,2203.54,0.00,0.00,0.00
with_index_5000_insert,16,4,2.00,2658.47,0.00,689.99,1968.48,6960.17,4.50,0.00
