Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
with_index_500,2,4,2279.08,9910.08,6827.23,822.06,2260.79,722.18,9.49,0.00,3082.85
with_index_500,4,4,2289.30,10068.67,6844.40,846.20,2378.07,672.19,13.00,0.00,3224.27
with_index_500,6,4,2294.54,10248.61,6866.12,857.00,2525.49,648.49,7.00,0.00,3382.49
with_index_500,8,4,2293.95,10190.50,6862.86,885.04,2442.61,648.54,13.00,0.00,3327.64
with_index_500,10,4,2311.83,9990.88,6915.99,779.97,2294.92,672.15,6.00,0.00,3074.89
with_index_500,12,4,2309.13,9607.37,6911.38,708.00,1987.99,818.93,11.00,0.00,2695.99
with_index_500,14,4,2327.13,9491.43,6969.38,633.01,1889.04,818.89,3.00,0.00,2522.05
with_index_500,16,4,2315.91,10283.20,6923.72,850.00,2509.49,775.94,7.00,0.00,3359.48
with_index_500,18,4,2333.48,10431.09,6981.94,932.04,2517.11,636.88,16.50,0.00,3449.15
with_index_5000,2,4,568.77,4883.63,1709.29,793.09,2381.26,8.74,0.00,0.00,3174.34
with_index_5000,4,4,575.08,4674.04,1725.23,737.20,2211.61,8.28,0.00,0.00,2948.81
with_index_5000,6,4,577.47,4220.43,1732.41,622.01,1866.02,8.28,0.00,0.00,2488.02
with_index_5000,8,4,573.53,4327.00,1713.60,686.47,1926.92,7095.06,5.50,0.00,2613.40
with_index_5000,10,4,576.92,4751.23,1731.26,754.99,2264.98,8.13,0.00,0.00,3019.97
with_index_5000,12,4,576.07,4611.78,1727.71,721.02,2163.05,8.28,0.00,0.00,2884.07
with_index_5000,14,4,573.51,4759.05,1716.03,761.00,2282.01,6844.39,1.00,0.00,3043.02
with_index_5000,16,4,576.00,4829.89,1727.99,775.48,2326.43,8.43,0.00,0.00,3101.90
with_index_5000,18,4,577.00,4744.19,1730.00,753.55,2260.64,8.28,0.00,0.00,3014.19
without_index_500,2,4,1659.81,7983.03,4969.44,769.64,2243.95,710.04,7.00,0.00,3013.59
without_index_500,4,4,1674.25,8027.46,5005.24,826.20,2196.03,722.94,16.00,0.00,3022.22
without_index_500,6,4,1682.03,7953.55,5027.60,786.49,2139.47,722.94,14.50,0.00,2925.95
without_index_500,8,4,1689.47,8122.87,5049.41,873.49,2199.97,790.71,17.00,0.00,3073.46
without_index_500,10,4,1702.01,8213.01,5087.03,800.99,2324.98,697.36,6.50,0.00,3125.98
without_index_500,12,4,1692.98,8198.58,5063.95,834.04,2300.60,684.97,12.00,0.00,3134.63
without_index_500,14,4,1691.54,8220.11,5056.12,872.00,2291.99,697.36,14.50,0.00,3163.99
without_index_500,16,4,1694.97,8081.42,5066.42,773.50,2241.50,697.36,9.50,0.00,3015.00
without_index_500,18,4,1688.98,7959.42,5049.93,752.50,2156.99,849.54,9.50,0.00,2909.49
without_index_5000,2,4,290.38,4426.93,872.65,887.07,2667.21,15.00,0.00,0.00,3554.28
without_index_5000,4,4,292.04,4071.90,877.12,798.69,2396.08,15.27,0.00,0.00,3194.78
without_index_5000,6,4,294.49,3654.56,884.48,692.52,2077.56,14.73,0.00,0.00,2770.08
without_index_5000,8,4,296.01,3416.02,880.52,680.00,1855.50,6375.91,6.00,0.00,2535.50
without_index_5000,10,4,294.00,4115.43,881.49,808.48,2425.45,15.00,0.00,0.00,3233.94
without_index_5000,12,4,295.50,3953.02,885.01,767.00,2301.01,14.73,0.00,0.00,3068.01
without_index_5000,14,4,292.00,3784.90,873.00,731.48,2180.43,6729.52,2.00,0.00,2911.90
without_index_5000,16,4,294.98,4125.52,882.43,810.52,2432.57,14.73,0.00,0.00,3243.09
without_index_5000,18,4,293.53,3590.10,882.08,677.00,2031.01,15.00,0.00,0.00,2708.02
