Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
with_index_500,2,4,2303.53,10358.62,6893.58,937.97,2527.07,614.43,15.49,0.00,3465.04
with_index_500,4,4,2320.85,10779.75,6946.56,1003.31,2829.87,582.37,11.50,0.00,3833.19
with_index_500,6,4,2360.55,11078.55,7055.65,1057.47,2965.42,551.74,14.50,0.00,4022.90
with_index_500,8,4,2356.44,11012.01,7045.33,1043.05,2923.63,541.89,12.00,0.00,3966.68
with_index_500,10,4,2378.03,10613.50,7110.58,911.48,2591.44,603.47,13.00,0.00,3502.92
with_index_500,12,4,2373.01,10577.58,7102.02,878.52,2597.05,614.35,7.00,0.00,3475.56
with_index_500,14,4,2347.48,10679.32,7025.44,973.97,2679.91,625.55,12.50,0.00,3653.88
with_index_500,16,4,2367.50,10411.58,7077.01,914.02,2420.55,684.28,18.00,0.00,3334.57
with_index_500,18,4,2370.49,10742.88,7092.98,968.47,2681.43,614.39,13.50,0.00,3649.90
with_index_5000,2,4,567.26,5276.82,1704.27,899.51,2673.04,8.58,1.00,0.00,3572.55
with_index_5000,4,4,573.58,5229.64,1720.74,877.23,2631.68,8.28,0.00,0.00,3508.90
with_index_5000,6,4,577.00,5183.47,1724.99,914.50,2543.99,5616.04,6.50,0.00,3458.48
with_index_5000,8,4,575.02,5135.19,1725.06,852.53,2557.60,8.28,0.00,0.00,3410.13
with_index_5000,10,4,573.49,5495.37,1721.48,943.47,2830.42,8.28,0.00,0.00,3773.89
with_index_5000,12,4,575.01,5237.59,1718.52,883.52,2635.55,5717.63,2.00,0.00,3519.07
with_index_5000,14,4,569.47,5417.86,1707.92,927.49,2782.46,8.74,0.00,0.00,3709.94
with_index_5000,16,4,559.97,5175.41,1679.42,874.00,2621.99,8.90,0.00,0.00,3495.99
with_index_5000,18,4,572.05,5256.64,1709.65,930.00,2616.99,5616.19,6.00,0.00,3546.99
without_index_500,2,4,1687.28,8392.09,5047.83,872.05,2472.21,672.75,11.49,0.00,3344.26
without_index_500,4,4,1704.27,8439.23,5092.81,845.73,2500.68,649.10,5.00,0.00,3346.42
without_index_500,6,4,1696.00,8414.48,5070.49,856.50,2487.50,672.80,7.50,0.00,3343.99
without_index_500,8,4,1702.51,8409.10,5089.52,855.02,2464.56,649.10,9.50,0.00,3319.58
without_index_500,10,4,1709.02,8414.98,5102.55,842.48,2469.95,637.57,8.50,0.00,3312.43
without_index_500,12,4,1708.49,8398.46,5108.46,856.50,2433.50,672.80,9.50,0.00,3290.00
without_index_500,14,4,1708.49,8401.40,5106.97,844.98,2449.45,637.57,8.00,0.00,3294.43
without_index_500,16,4,1703.01,8367.03,5089.53,834.50,2443.00,649.05,8.50,0.00,3277.50
without_index_500,18,4,1689.48,8311.54,5049.95,842.52,2419.06,722.89,8.50,0.00,3261.59
without_index_5000,2,4,290.38,4305.86,872.15,857.05,2576.65,15.00,0.00,0.00,3433.71
without_index_5000,4,4,292.52,4218.97,879.57,834.72,2504.67,15.00,0.00,0.00,3339.40
without_index_5000,6,4,291.52,4099.58,867.56,807.51,2424.52,6041.68,0.00,0.00,3232.02
without_index_5000,8,4,292.50,4069.88,878.51,844.46,2346.90,14.73,5.00,0.00,3191.37
without_index_5000,10,4,294.00,4201.65,881.50,830.04,2490.11,15.00,0.00,0.00,3320.15
without_index_5000,12,4,294.00,4009.44,881.50,781.99,2345.96,14.73,0.00,0.00,3127.94
without_index_5000,14,4,297.00,4156.06,885.00,821.01,2450.04,6262.12,2.00,0.00,3271.06
without_index_5000,16,4,294.01,4178.02,882.03,824.00,2472.00,15.00,0.00,0.00,3295.99
without_index_5000,18,4,293.99,4353.41,881.46,867.99,2603.96,15.00,0.00,0.00,3471.95
