Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
with_index_500_insert,2,4,4.00,2078.40,0.00,537.72,1540.69,1304.21,6.50,0.00
with_index_500_insert,4,4,4.00,2809.36,0.00,720.72,2088.64,773.68,6.50,0.00
with_index_500_insert,6,4,6.00,2875.80,0.00,772.45,2103.35,746.32,11.00,0.00
with_index_500_insert,8,4,6.00,3229.19,0.00,828.55,2400.64,682.06,8.50,0.00
with_index_500_insert,10,4,6.00,2973.97,0.00,771.99,2201.98,694.45,10.00,0.00
with_index_500_insert,12,4,6.00,2857.05,0.00,732.51,2124.54,719.92,8.00,0.00
with_index_500_insert,14,4,6.00,2715.33,0.00,695.96,2019.37,773.68,7.00,0.00
with_index_500_insert,16,4,4.00,2805.65,0.00,720.54,2085.11,759.88,6.50,0.00
with_index_500_insert,18,4,6.00,2917.48,0.00,784.00,2133.49,759.88,15.50,0.00
with_index_500_select,2,4,2336.97,7010.91,7010.91,0.00,0.00,2.11,0.00,0.00
with_index_500_select,4,4,2354.89,7066.16,7066.16,0.00,0.00,2.14,0.00,0.00
with_index_500_select,6,4,2347.50,7043.49,7043.49,0.00,0.00,2.14,0.00,0.00
with_index_500_select,8,4,2359.08,7078.23,7078.23,0.00,0.00,2.14,0.00,0.00
with_index_500_select,10,4,2359.49,7077.98,7077.98,0.00,0.00,2.14,0.00,0.00
with_index_500_select,12,4,2353.44,7059.81,7059.81,0.00,0.00,2.14,0.00,0.00
with_index_500_select,14,4,2370.46,7111.37,7111.37,0.00,0.00,2.11,0.00,0.00
with_index_500_select,16,4,2365.53,7095.58,7095.58,0.00,0.00,2.11,0.00,0.00
with_index_500_select,18,4,2359.00,7077.50,7077.50,0.00,0.00,2.14,0.00,0.00
with_index_5000_insert,2,4,0.00,2688.77,0.00,670.69,2018.08,0.00,0.00,0.00
with_index_5000_insert,4,4,0.00,2488.44,0.00,622.11,1866.33,0.00,0.00,0.00
with_index_5000_insert,6,4,0.00,2833.97,0.00,708.49,2125.47,0.00,0.00,0.00
with_index_5000_insert,8,4,2.00,2569.12,0.00,661.53,1907.59,7479.98,5.00,0.00
with_index_5000_insert,10,4,0.00,2531.90,0.00,632.97,1898.92,0.00,0.00,0.00
with_index_5000_insert,12,4,0.00,2677.98,0.00,669.49,2008.48,0.00,0.00,0.00
with_index_5000_insert,14,4,0.00,2625.99,0.00,656.50,1969.49,0.00,0.00,0.00
with_index_5000_insert,16,4,2.00,2662.15,0.00,705.54,1956.61,7615.89,6.00,0.00
with_index_5000_insert,18,4,0.00,2708.34,0.00,677.46,2030.88,0.00,0.00,0.00
with_index_5000_insert,20,4,0.00,3173.71,0.00,793.05,2380.66,0.00,0.00,0.00
with_index_5000_select,2,4,574.77,1727.80,1727.80,0.00,0.00,8.43,0.00,0.00
with_index_5000_select,4,4,581.10,1741.79,1741.79,0.00,0.00,8.28,0.00,0.00
with_index_5000_select,6,4,574.98,1724.45,1724.45,0.00,0.00,8.58,0.00,0.00
with_index_5000_select,8,4,580.52,1743.55,1743.55,0.00,0.00,8.28,0.00,0.00
with_index_5000_select,10,4,576.47,1727.91,1727.91,0.00,0.00,8.43,0.00,0.00
with_index_5000_select,12,4,574.03,1723.08,1723.08,0.00,0.00,8.58,0.00,0.00
with_index_5000_select,14,4,584.01,1750.54,1750.54,0.00,0.00,7.98,0.00,0.00
with_index_5000_select,16,4,566.27,1698.80,1698.80,0.00,0.00,9.06,0.00,0.00
with_index_5000_select,18,4,580.22,1741.16,1741.16,0.00,0.00,8.13,0.00,0.00
without_index_500_insert,2,4,6.00,3182.61,0.00,822.64,2359.97,694.45,9.00,0.00
without_index_500_insert,4,4,6.00,3068.94,0.00,798.61,2270.32,694.45,8.50,0.00
without_index_500_insert,6,4,4.00,3102.50,0.00,821.50,2281.00,759.88,10.50,0.00
without_index_500_insert,8,4,6.00,3082.68,0.00,797.05,2285.63,657.93,9.50,0.00
without_index_500_insert,10,4,8.00,3194.78,0.00,831.94,2362.84,746.32,10.00,0.00
without_index_500_insert,12,4,6.00,3028.13,0.00,773.53,2254.60,719.92,8.50,0.00
without_index_500_insert,14,4,6.00,3500.49,0.00,938.50,2562.00,719.92,16.00,0.00
without_index_500_insert,16,4,6.00,3686.37,0.00,956.97,2729.40,569.67,10.00,0.00
without_index_500_insert,18,4,6.00,3143.00,0.00,832.50,2310.50,682.06,10.50,0.00
without_index_500_select,2,4,1638.22,4918.16,4918.16,0.00,0.00,3.07,0.00,0.00
without_index_500_select,4,4,1661.31,4981.42,4981.42,0.00,0.00,3.07,0.00,0.00
without_index_500_select,6,4,1666.00,4998.50,4998.50,0.00,0.00,3.07,0.00,0.00
without_index_500_select,8,4,1670.01,5009.04,5009.04,0.00,0.00,3.02,0.00,0.00
without_index_500_select,10,4,1643.51,4932.03,4932.03,0.00,0.00,3.19,0.00,0.00
without_index_500_select,12,4,1661.88,4986.14,4986.14,0.00,0.00,3.07,0.00,0.00
without_index_500_select,14,4,1677.67,5032.00,5032.00,0.00,0.00,3.07,0.00,0.00
without_index_500_select,16,4,1689.43,5069.30,5069.30,0.00,0.00,2.91,0.00,0.00
