Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs,WriteOnly
with_index_500,2,4,2339.99,10018.21,7010.48,771.17,2236.55,696.59,7.00,0.00,3007.73
with_index_500,4,4,2325.83,10051.13,6959.00,810.66,2281.46,672.15,10.50,0.00,3092.13
with_index_500,6,4,2351.56,10199.59,7036.67,831.48,2331.44,660.19,11.50,0.00,3162.92
with_index_500,8,4,2394.48,10348.91,7159.45,839.99,2349.47,672.07,13.50,0.00,3189.46
with_index_500,10,4,2372.02,10225.04,7099.07,827.99,2297.98,696.63,10.00,0.00,3125.97
with_index_500,12,4,2389.96,10301.44,7149.88,812.52,2339.05,672.07,5.50,0.00,3151.56
with_index_500,14,4,2373.53,10173.67,7104.58,795.52,2273.57,696.63,9.00,0.00,3069.09
with_index_500,16,4,2382.00,10065.93,7127.01,749.98,2188.94,722.06,7.00,0.00,2938.92
with_index_500,18,4,2384.96,10319.80,7138.39,843.98,2337.43,672.07,15.50,0.00,3181.41
with_index_5000,2,4,573.75,4977.48,1723.25,812.06,2442.17,8.28,0.00,0.00,3254.23
with_index_5000,4,4,577.08,4896.11,1731.75,791.21,2373.14,8.43,0.00,0.00,3164.36
with_index_5000,6,4,576.50,4695.55,1729.01,741.51,2225.03,8.28,0.00,0.00,2966.54
with_index_5000,8,4,566.50,4596.51,1693.49,729.51,2173.52,6369.81,2.00,0.00,2903.02
with_index_5000,10,4,579.02,4829.89,1738.55,772.96,2318.38,8.43,0.00,0.00,3091.34
with_index_5000,12,4,583.00,4721.52,1749.00,743.00,2229.51,8.13,0.00,0.00,2972.52
with_index_5000,14,4,585.99,4661.14,1751.96,730.55,2178.64,6721.95,2.00,0.00,2909.18
with_index_5000,16,4,581.48,4817.87,1743.93,768.49,2305.46,8.28,0.00,0.00,3073.94
with_index_5000,18,4,582.54,4841.13,1747.11,773.51,2320.52,8.13,0.00,0.00,3094.02
without_index_500,2,4,1678.27,8142.19,5017.31,802.58,2322.30,672.80,8.00,0.00,3124.88
without_index_500,4,4,1690.77,8141.66,5054.82,802.22,2284.62,697.36,9.00,0.00,3086.84
without_index_500,6,4,1689.99,8177.43,5051.47,807.99,2317.97,735.97,10.50,0.00,3125.96
without_index_500,8,4,1699.49,8570.09,5081.96,942.04,2546.10,626.24,16.50,0.00,3488.13
without_index_500,10,4,1703.51,8342.50,5093.02,826.50,2422.99,637.57,6.50,0.00,3249.48
without_index_500,12,4,1698.05,8277.44,5075.66,845.44,2356.34,672.80,13.50,0.00,3201.78
without_index_500,14,4,1690.87,8380.14,5053.61,874.51,2452.02,637.63,11.00,0.00,3326.53
without_index_500,16,4,1703.59,8275.83,5095.28,825.01,2355.54,672.80,11.50,0.00,3180.55
without_index_500,18,4,1700.50,8314.59,5082.99,829.02,2402.57,660.84,9.00,0.00,3231.60
without_index_5000,2,4,288.88,4251.41,867.14,844.57,2539.70,15.55,0.00,0.00,3384.27
without_index_5000,4,4,285.04,4137.94,857.13,820.20,2460.61,17.01,0.00,0.00,3280.81
without_index_5000,6,4,293.48,3924.90,880.95,760.99,2282.96,15.00,0.00,0.00,3043.95
without_index_5000,8,4,297.52,4041.62,884.55,814.02,2343.05,6262.12,5.50,0.00,3157.07
without_index_5000,10,4,295.00,4035.05,885.00,787.51,2362.53,15.00,0.00,0.00,3150.05
without_index_5000,12,4,294.50,4305.91,884.00,855.48,2566.44,15.27,0.00,0.00,3421.91
without_index_5000,14,4,295.49,3896.09,880.97,771.53,2243.59,6150.91,4.50,0.00,3015.12
without_index_5000,16,4,296.01,4134.45,886.52,811.98,2435.95,14.73,0.00,0.00,3247.93
without_index_5000,18,4,294.50,4330.98,885.00,861.49,2584.48,14.73,0.00,0.00,3445.98
