Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
with_index_500_insert,2,4,4.00,2792.09,0.00,704.14,2087.94,802.05,4.50,0.00
with_index_500_insert,4,4,6.00,3106.35,0.00,836.23,2270.12,646.19,13.00,0.00
with_index_500_insert,6,4,6.00,2588.85,0.00,679.46,1909.39,846.57,11.00,0.00
with_index_500_insert,8,4,4.00,2532.13,0.00,657.03,1875.09,802.05,6.50,0.00
with_index_500_insert,10,4,6.00,2505.95,0.00,646.49,1859.47,909.80,7.50,0.00
with_index_500_insert,12,4,4.00,2404.04,0.00,604.01,1800.03,877.61,3.00,0.00
with_index_500_insert,14,4,4.00,2482.97,0.00,640.99,1841.98,846.57,8.00,0.00
with_index_500_insert,16,4,6.00,2719.45,0.00,698.99,2020.46,787.74,8.50,0.00
with_index_500_insert,18,4,6.00,3411.01,0.00,929.00,2482.01,646.19,15.00,0.00
with_index_500_select,2,4,2301.51,6906.53,6906.53,0.00,0.00,2.26,0.00,0.00
with_index_500_select,4,4,2340.88,7021.63,7021.63,0.00,0.00,2.18,0.00,0.00
with_index_500_select,6,4,2324.47,6974.41,6974.41,0.00,0.00,2.22,0.00,0.00
with_index_500_select,8,4,2340.06,7020.17,7020.17,0.00,0.00,2.18,0.00,0.00
with_index_500_select,10,4,2349.39,7048.67,7048.67,0.00,0.00,2.18,0.00,0.00
with_index_500_select,12,4,2310.09,6929.76,6929.76,0.00,0.00,2.26,0.00,0.00
with_index_500_select,14,4,2330.45,6991.34,6991.34,0.00,0.00,2.18,0.00,0.00
with_index_500_select,16,4,2342.55,7028.16,7028.16,0.00,0.00,2.18,0.00,0.00
with_index_500_select,18,4,2349.98,7049.93,7049.93,0.00,0.00,2.18,0.00,0.00
with_index_5000_insert,2,4,0.00,2576.89,0.00,645.72,1931.17,0.00,0.00,0.00
with_index_5000_insert,4,4,0.00,2840.48,0.00,710.12,2130.36,0.00,0.00,0.00
with_index_5000_insert,6,4,0.00,2904.15,0.00,726.04,2178.11,0.00,0.00,0.00
with_index_5000_insert,8,4,2.00,2607.46,0.00,676.49,1930.97,7215.39,5.50,0.00
with_index_5000_insert,10,4,0.00,2630.00,0.00,657.50,1972.50,0.00,0.00,0.00
with_index_5000_insert,12,4,0.00,2619.85,0.00,654.96,1964.89,0.00,0.00,0.00
with_index_5000_insert,14,4,0.00,3619.98,0.00,904.99,2714.98,0.00,0.00,0.00
with_index_5000_insert,16,4,2.00,3267.15,0.00,819.04,2448.11,6960.17,1.00,0.00
with_index_5000_insert,18,4,0.00,2750.06,0.00,687.52,2062.55,0.00,0.00,0.00
with_index_5000_insert,20,4,0.00,2499.99,0.00,625.00,1874.99,0.00,0.00,0.00
with_index_5000_select,2,4,562.71,1691.14,1691.14,0.00,0.00,8.43,0.00,0.00
with_index_5000_select,4,4,549.13,1647.88,1647.88,0.00,0.00,9.73,0.00,0.00
with_index_5000_select,6,4,570.99,1712.48,1712.48,0.00,0.00,8.28,0.00,0.00
with_index_5000_select,8,4,573.00,1718.99,1718.99,0.00,0.00,8.28,0.00,0.00
