Script,Time (s),Threads,TPS,QPS,Reads,Writes,Other,Latency (ms;95%),ErrPs,ReconnPs
int_column_insert,1,1,0.00,817.30,0.00,814.30,3.00,0.00,0.00,0.00
int_column_insert,2,1,0.00,934.36,0.00,934.36,0.00,0.00,0.00,0.00
int_column_insert,3,1,0.00,901.02,0.00,901.02,0.00,0.00,0.00,0.00
int_column_insert,4,1,0.00,861.99,0.00,861.99,0.00,0.00,0.00,0.00
int_column_insert,5,1,1.00,860.00,0.00,858.00,2.00,4517.90,0.00,0.00
int_column_insert,6,1,0.00,978.94,0.00,978.94,0.00,0.00,0.00,0.00
int_column_insert,7,1,0.00,904.02,0.00,904.02,0.00,0.00,0.00,0.00
int_column_insert,8,1,0.00,936.99,0.00,936.99,0.00,0.00,0.00,0.00
int_column_select_int_desc_sort,1,1,269.77,269.77,269.77,0.00,0.00,4.10,0.00,0.00
int_column_select_int_desc_sort,2,1,278.11,278.11,278.11,0.00,0.00,3.75,0.00,0.00
int_column_select_int_desc_sort,3,1,272.99,272.99,272.99,0.00,0.00,4.10,0.00,0.00
int_column_select_int_desc_sort,4,1,271.01,271.01,271.01,0.00,0.00,4.10,0.00,0.00
int_column_select_int_desc_sort,5,1,269.00,269.00,269.00,0.00,0.00,4.10,0.00,0.00
int_column_select_int_desc_sort,6,1,275.01,275.01,275.01,0.00,0.00,3.82,0.00,0.00
int_column_select_int_desc_sort,7,1,259.00,259.00,259.00,0.00,0.00,4.41,0.00,0.00
int_column_select_int_desc_sort,8,1,269.99,269.99,269.99,0.00,0.00,4.10,0.00,0.00
int_column_select_int_simple_filter,1,1,4991.51,4991.51,4991.51,0.00,0.00,0.22,0.00,0.00
int_column_select_int_simple_filter,2,1,5006.08,5007.08,5007.08,0.00,0.00,0.22,0.00,0.00
int_column_select_int_simple_filter,3,1,4950.81,4949.81,4949.81,0.00,0.00,0.23,0.00,0.00
int_column_select_int_simple_filter,4,1,5021.16,5021.16,5021.16,0.00,0.00,0.22,0.00,0.00
int_column_select_int_simple_filter,5,1,5025.06,5025.06,5025.06,0.00,0.00,0.22,0.00,0.00
int_column_select_int_simple_filter,6,1,4992.99,4992.99,4992.99,0.00,0.00,0.23,0.00,0.00
int_column_select_int_simple_filter,7,1,4903.73,4903.73,4903.73,0.00,0.00,0.23,0.00,0.00
char_column_insert,1,1,0.00,1011.06,0.00,1008.06,3.00,0.00,0.00,0.00
char_column_insert,2,1,0.00,1062.44,0.00,1062.44,0.00,0.00,0.00,0.00
char_column_insert,3,1,0.00,900.99,0.00,900.99,0.00,0.00,0.00,0.00
char_column_insert,4,1,0.00,934.07,0.00,934.07,0.00,0.00,0.00,0.00
char_column_insert,5,1,1.00,848.00,0.00,846.00,2.00,4128.91,0.00,0.00
char_column_insert,6,1,0.00,920.98,0.00,920.98,0.00,0.00,0.00,0.00
char_column_insert,7,1,0.00,933.01,0.00,933.01,0.00,0.00,0.00,0.00
char_column_insert,8,1,0.00,967.96,0.00,967.96,0.00,0.00,0.00,0.00
char_column_select_char_desc_sort,1,1,259.79,259.79,259.79,0.00,0.00,4.18,0.00,0.00
char_column_select_char_desc_sort,2,1,262.08,262.08,262.08,0.00,0.00,4.18,0.00,0.00
char_column_select_char_desc_sort,3,1,263.01,263.01,263.01,0.00,0.00,3.96,0.00,0.00
char_column_select_char_desc_sort,4,1,263.99,263.99,263.99,0.00,0.00,4.03,0.00,0.00
char_column_select_char_desc_sort,5,1,261.01,261.01,261.01,0.00,0.00,4.18,0.00,0.00
char_column_select_char_desc_sort,6,1,257.99,257.99,257.99,0.00,0.00,4.25,0.00,0.00
char_column_select_char_desc_sort,7,1,264.00,264.00,264.00,0.00,0.00,4.10,0.00,0.00
char_column_select_char_desc_sort,8,1,263.01,263.01,263.01,0.00,0.00,3.89,0.00,0.00
char_column_select_char_simple_filter,1,1,4968.63,4968.63,4968.63,0.00,0.00,0.23,0.00,0.00
char_column_select_char_simple_filter,2,1,5047.90,5047.90,5047.90,0.00,0.00,0.22,0.00,0.00
char_column_select_char_simple_filter,3,1,5065.13,5065.13,5065.13,0.00,0.00,0.22,0.00,0.00
char_column_select_char_simple_filter,4,1,4941.71,4941.71,4941.71,0.00,0.00,0.23,0.00,0.00
char_column_select_char_simple_filter,5,1,4934.29,4934.29,4934.29,0.00,0.00,0.23,0.00,0.00
char_column_select_char_simple_filter,6,1,5021.69,5021.69,5021.69,0.00,0.00,0.22,0.00,0.00
char_column_select_char_simple_filter,7,1,5003.34,5003.34,5003.34,0.00,0.00,0.22,0.00,0.00
